timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/27 18:06:30.142, P8, 36, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 10.15 W
2016/11/27 18:06:31.147, P2, 37, 18 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.51 W
2016/11/27 18:06:32.150, P2, 37, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.77 W
2016/11/27 18:06:33.152, P2, 38, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.06 W
2016/11/27 18:06:34.155, P2, 38, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.76 W
2016/11/27 18:06:35.157, P2, 38, 9 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.02 W
2016/11/27 18:06:36.159, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.44 W
2016/11/27 18:06:37.162, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.34 W
2016/11/27 18:06:38.164, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.35 W
2016/11/27 18:06:39.168, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.35 W
2016/11/27 18:06:40.171, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.34 W
2016/11/27 18:06:41.174, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.34 W
2016/11/27 18:06:42.177, P2, 38, 0 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.34 W
2016/11/27 18:06:43.180, P2, 38, 5 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.71 W
2016/11/27 18:06:44.182, P2, 38, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.79 W
2016/11/27 18:06:45.185, P2, 38, 9 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.87 W
2016/11/27 18:06:46.187, P2, 38, 9 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.96 W
2016/11/27 18:06:47.190, P2, 38, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.97 W
2016/11/27 18:06:48.192, P2, 39, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.07 W
2016/11/27 18:06:49.194, P2, 39, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.07 W
2016/11/27 18:06:50.197, P2, 39, 11 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.07 W
2016/11/27 18:06:51.199, P2, 39, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.07 W
2016/11/27 18:06:52.201, P2, 39, 10 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 39.43 W
2016/11/27 18:06:53.204, P2, 40, 11 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.95 W
