timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/24 12:22:01.618, P8, 34, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.86 W
2016/11/24 12:22:02.621, P2, 36, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.58 W
2016/11/24 12:22:03.623, P2, 36, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.65 W
2016/11/24 12:22:04.626, P2, 36, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.65 W
2016/11/24 12:22:05.628, P2, 36, 8 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.67 W
2016/11/24 12:22:06.631, P2, 36, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.66 W
2016/11/24 12:22:07.633, P2, 36, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.65 W
2016/11/24 12:22:08.635, P2, 37, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.66 W
2016/11/24 12:22:09.637, P2, 37, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.67 W
2016/11/24 12:22:10.640, P2, 37, 8 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.77 W
2016/11/24 12:22:11.642, P2, 37, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.57 W
2016/11/24 12:22:12.645, P2, 37, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.66 W
2016/11/24 12:22:13.647, P2, 37, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.03 W
2016/11/24 12:22:14.649, P2, 37, 3 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.55 W
2016/11/24 12:22:15.652, P2, 37, 2 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.45 W
2016/11/24 12:22:16.654, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.44 W
2016/11/24 12:22:17.658, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.63 W
2016/11/24 12:22:18.660, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.35 W
2016/11/24 12:22:19.663, P2, 37, 5 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.71 W
2016/11/24 12:22:20.666, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.73 W
2016/11/24 12:22:21.668, P2, 37, 2 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.44 W
2016/11/24 12:22:22.670, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.37 W
2016/11/24 12:22:23.674, P2, 37, 6 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.64 W
2016/11/24 12:22:24.676, P2, 37, 5 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.55 W
2016/11/24 12:22:25.678, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.35 W
2016/11/24 12:22:26.681, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.34 W
2016/11/24 12:22:27.684, P2, 37, 0 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.34 W
2016/11/24 12:22:28.687, P2, 37, 6 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.20 W
2016/11/24 12:22:29.689, P2, 37, 9 %, 791 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.48 W
