timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/26 17:33:59.302, P8, 35, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.96 W
2016/11/26 17:34:00.305, P2, 36, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.96 W
2016/11/26 17:34:01.308, P2, 36, 11 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.97 W
2016/11/26 17:34:02.310, P2, 37, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.95 W
2016/11/26 17:34:03.313, P2, 37, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.96 W
2016/11/26 17:34:04.315, P2, 37, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.86 W
2016/11/26 17:34:05.317, P2, 37, 11 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.04 W
2016/11/26 17:34:06.320, P2, 37, 10 %, 856 MiB, 1058 MHz, 1290 MHz, 1290 MHz, 20 %, 35.20 W
2016/11/26 17:34:07.322, P2, 38, 10 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 40.70 W
2016/11/26 17:34:08.326, P2, 38, 9 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 40.79 W
2016/11/26 17:34:09.328, P2, 38, 10 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 41.08 W
2016/11/26 17:34:10.331, P2, 38, 9 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 40.99 W
2016/11/26 17:34:11.333, P2, 38, 11 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 40.89 W
2016/11/26 17:34:12.335, P2, 38, 10 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 40.98 W
2016/11/26 17:34:13.338, P2, 38, 10 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 40.99 W
2016/11/26 17:34:14.340, P2, 38, 3 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 39.94 W
2016/11/26 17:34:15.343, P2, 38, 4 %, 856 MiB, 1120 MHz, 1366 MHz, 1366 MHz, 20 %, 39.65 W
2016/11/26 17:34:16.345, P2, 38, 2 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.71 W
2016/11/26 17:34:17.348, P2, 38, 4 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.73 W
2016/11/26 17:34:18.351, P2, 38, 9 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.76 W
2016/11/26 17:34:19.354, P2, 38, 5 %, 550 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.01 W
