timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/27 23:08:32.489, P8, 35, 0 %, 42 MiB, 405 MHz, 135 MHz, 135 MHz, 20 %, 9.96 W
2016/11/27 23:08:33.493, P2, 36, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.88 W
2016/11/27 23:08:34.495, P2, 36, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.05 W
2016/11/27 23:08:35.498, P2, 36, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.85 W
2016/11/27 23:08:36.500, P2, 36, 11 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.05 W
2016/11/27 23:08:37.502, P2, 36, 3 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.48 W
2016/11/27 23:08:38.505, P2, 37, 11 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.96 W
2016/11/27 23:08:39.507, P2, 36, 10 %, 856 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.96 W
2016/11/27 23:08:40.509, P2, 37, 10 %, 856 MiB, 1089 MHz, 1328 MHz, 1328 MHz, 20 %, 36.56 W
2016/11/27 23:08:41.512, P2, 38, 10 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.86 W
2016/11/27 23:08:42.514, P2, 38, 10 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.67 W
2016/11/27 23:08:43.517, P2, 38, 9 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.78 W
2016/11/27 23:08:44.519, P2, 38, 2 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.88 W
2016/11/27 23:08:45.522, P2, 38, 10 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.88 W
2016/11/27 23:08:46.524, P2, 39, 11 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.06 W
2016/11/27 23:08:47.526, P2, 38, 0 %, 856 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 42.64 W
