timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/25 11:38:26.793, P0, 39, 0 %, 42 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.38 W
2016/11/25 11:38:27.796, P0, 40, 0 %, 42 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.49 W
2016/11/25 11:38:28.799, P0, 39, 0 %, 42 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.49 W
2016/11/25 11:38:29.802, P2, 40, 6 %, 274 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.12 W
2016/11/25 11:38:30.805, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.25 W
2016/11/25 11:38:31.808, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.35 W
2016/11/25 11:38:32.810, P2, 40, 9 %, 544 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.16 W
2016/11/25 11:38:33.812, P2, 40, 9 %, 544 MiB, 1058 MHz, 1290 MHz, 1290 MHz, 20 %, 35.61 W
2016/11/25 11:38:34.815, P2, 41, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.84 W
2016/11/25 11:38:35.818, P2, 41, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.84 W
2016/11/25 11:38:36.821, P2, 41, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.95 W
2016/11/25 11:38:37.824, P2, 41, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.94 W
2016/11/25 11:38:38.826, P2, 41, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 42.23 W
2016/11/25 11:38:39.829, P2, 41, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.85 W
2016/11/25 11:38:40.832, P2, 42, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.94 W
2016/11/25 11:38:41.835, P2, 42, 0 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 41.84 W
2016/11/25 11:38:42.838, P2, 42, 2 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.70 W
2016/11/25 11:38:43.841, P2, 42, 8 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.55 W
2016/11/25 11:38:44.843, P2, 42, 9 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.24 W
2016/11/25 11:38:45.845, P2, 42, 9 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.06 W
2016/11/25 11:38:46.848, P2, 42, 9 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.96 W
2016/11/25 11:38:47.850, P2, 42, 8 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.25 W
2016/11/25 11:38:48.852, P2, 42, 9 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.36 W
2016/11/25 11:38:49.856, P2, 42, 9 %, 544 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 44.07 W
