timestamp, pstate, temperature.gpu, utilization.gpu [%], memory.used [MiB], clocks.current.video [MHz], clocks.current.graphics [MHz], clocks.current.sm [MHz], fan.speed [%], power.draw [W]
2016/11/28 04:13:40.129, P0, 41, 0 %, 42 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 42.84 W
2016/11/28 04:13:41.132, P0, 41, 0 %, 42 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 42.84 W
2016/11/28 04:13:42.135, P0, 41, 0 %, 42 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 42.84 W
2016/11/28 04:13:43.137, P2, 40, 0 %, 42 MiB, 797 MHz, 974 MHz, 974 MHz, 20 %, 31.29 W
2016/11/28 04:13:44.140, P2, 40, 0 %, 42 MiB, 797 MHz, 974 MHz, 974 MHz, 20 %, 31.29 W
2016/11/28 04:13:45.143, P2, 40, 0 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.44 W
2016/11/28 04:13:46.146, P2, 40, 0 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.44 W
2016/11/28 04:13:47.149, P2, 40, 0 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.35 W
2016/11/28 04:13:48.152, P2, 40, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.98 W
2016/11/28 04:13:49.155, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.26 W
2016/11/28 04:13:50.157, P2, 40, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.36 W
2016/11/28 04:13:51.160, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.16 W
2016/11/28 04:13:52.162, P2, 40, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.36 W
2016/11/28 04:13:53.164, P2, 40, 1 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.53 W
2016/11/28 04:13:54.167, P2, 40, 0 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.36 W
2016/11/28 04:13:55.170, P2, 40, 0 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.45 W
2016/11/28 04:13:56.173, P2, 40, 0 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 32.36 W
2016/11/28 04:13:57.176, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.97 W
2016/11/28 04:13:58.178, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.17 W
2016/11/28 04:13:59.181, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.07 W
2016/11/28 04:14:00.183, P2, 41, 9 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.97 W
2016/11/28 04:14:01.186, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 33.97 W
2016/11/28 04:14:02.188, P2, 41, 10 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.07 W
2016/11/28 04:14:03.190, P2, 41, 9 %, 571 MiB, 996 MHz, 1215 MHz, 1215 MHz, 20 %, 34.15 W
2016/11/28 04:14:04.193, P2, 42, 9 %, 571 MiB, 1141 MHz, 1392 MHz, 1392 MHz, 20 %, 43.68 W
