System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
20:52:50:486,840601999634938,1.0005,3468,3.0308,3.0311,0.8420,0.7873,0.7874,0.2187,0.0000,0.0000,0.0000,
20:52:51:488,840605204909600,2.0022,868,1.3608,4.3922,1.2201,0.0178,0.8051,0.2236,0.0000,0.0000,0.0000,
20:52:52:489,840608409366492,3.0036,952,1.3047,5.6975,1.5826,0.0001,0.8052,0.2237,0.0000,0.0000,0.0000,
20:52:53:491,840611614554112,4.0052,911,1.3188,7.0167,1.9491,0.0040,0.8093,0.2248,0.0000,0.0000,0.0000,
20:52:54:492,840614817141178,5.0060,3576,11.7725,18.7937,5.2205,6.7118,7.5237,2.0899,0.0000,0.0000,0.0000,
20:52:55:492,840618019124078,6.0066,3596,12.3097,31.1057,8.6405,6.5192,14.0441,3.9011,0.0000,0.0000,0.0000,
20:52:56:493,840621221376865,7.0073,3559,13.8190,44.9278,12.4799,5.8027,19.8481,5.5134,0.0000,0.0000,0.0000,
20:52:57:494,840624423315290,8.0079,3570,12.8491,57.7792,16.0498,5.2635,25.1126,6.9757,0.0000,0.0000,0.0000,
20:52:58:494,840627625369902,9.0086,3378,12.7255,70.5074,19.5854,5.1756,30.2894,8.4137,0.0000,0.0000,0.0000,
20:52:59:495,840630827404276,10.0092,3598,13.8001,84.3102,23.4195,5.7964,36.0870,10.0242,0.0000,0.0000,0.0000,
20:53:00:496,840634030384834,11.0101,2894,9.2005,93.5128,25.9758,3.5423,39.6300,11.0083,0.0000,0.0000,0.0000,
20:53:01:497,840637236004356,12.0119,823,1.3071,94.8203,26.3390,0.0014,39.6314,11.0087,0.0000,0.0000,0.0000,
20:53:02:500,840640442578416,13.0139,1171,1.4135,96.2344,26.7318,0.0237,39.6551,11.0153,0.0000,0.0000,0.0000,
20:53:03:769,840644506324754,14.2839,884,1.3034,97.8878,27.1910,0.0004,39.6556,11.0154,0.0000,0.0000,0.0000,
20:53:04:770,840647709025181,15.2847,3243,11.3430,109.2356,30.3432,4.5300,44.1875,12.2743,0.0000,0.0000,0.0000,
20:53:05:771,840650911077640,16.2854,3595,13.4977,122.7360,34.0933,5.5885,49.7772,13.8270,0.0000,0.0000,0.0000,
20:53:06:772,840654113041361,17.2860,3598,13.9168,136.6554,37.9598,5.9422,55.7205,15.4779,0.0000,0.0000,0.0000,
20:53:07:772,840657315035802,18.2866,3598,13.8450,150.5031,41.8064,5.7686,61.4902,17.0806,0.0000,0.0000,0.0000,
20:53:08:773,840660517195019,19.2873,3592,13.7293,164.2350,45.6208,5.6492,67.1404,18.6501,0.0000,0.0000,0.0000,
20:53:09:773,840663719161146,20.2879,3599,13.5831,177.8207,49.3946,5.6143,72.7559,20.2100,0.0000,0.0000,0.0000,
20:53:10:774,840666921176762,21.2885,3312,13.2805,191.1038,53.0844,5.4608,78.2177,21.7271,0.0000,0.0000,0.0000,
20:53:11:775,840670123179851,22.2892,3592,13.2802,204.3866,56.7741,5.4670,83.6859,23.2461,0.0000,0.0000,0.0000,
20:53:12:775,840673325156820,23.2898,3599,13.9597,218.3489,60.6525,5.8514,89.5384,24.8718,0.0000,0.0000,0.0000,
20:53:13:776,840676527158461,24.2904,3453,14.5236,232.8754,64.6876,6.4581,95.9978,26.6661,0.0000,0.0000,0.0000,
