System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
03:50:48:86,367891039256353,1.0010,2614,2.5084,2.5085,0.6968,0.5120,0.5121,0.1422,0.0000,0.0000,0.0000,
03:50:49:87,367894242410536,2.0020,2469,1.8300,4.3391,1.2053,0.1662,0.6783,0.1884,0.0000,0.0000,0.0000,
03:50:50:88,367897447898984,3.0037,831,1.2914,5.6309,1.5641,0.0006,0.6790,0.1886,0.0000,0.0000,0.0000,
03:50:51:101,367900687467212,4.0161,876,1.3166,6.9586,1.9329,0.0005,0.6794,0.1887,0.0000,0.0000,0.0000,
03:50:52:101,367903890191796,5.0169,3546,14.5724,21.5374,5.9826,8.3985,9.0816,2.5227,0.0000,0.0000,0.0000,
03:50:53:102,367907092205032,6.0175,3584,13.9521,35.4922,9.8589,6.0666,15.1494,4.2082,0.0000,0.0000,0.0000,
03:50:54:103,367910294229975,7.0182,3592,13.7863,49.2814,13.6893,5.7916,20.9421,5.8173,0.0000,0.0000,0.0000,
03:50:55:103,367913496310408,8.0188,3589,13.9090,63.1932,17.5537,5.8618,26.8052,7.4459,0.0000,0.0000,0.0000,
03:50:56:104,367916698433579,9.0195,3597,12.8085,76.0045,21.1124,5.2642,32.0705,8.9085,0.0000,0.0000,0.0000,
03:50:57:105,367919900439944,10.0201,2959,12.4967,88.5038,24.5844,5.2747,37.3463,10.3740,0.0000,0.0000,0.0000,
03:50:58:107,367923106315952,11.0219,2303,1.9723,90.4765,25.1324,0.2178,37.5641,10.4345,0.0000,0.0000,0.0000,
03:50:59:108,367926312463578,12.0239,1101,1.3254,91.8026,25.5007,0.0035,37.5676,10.4355,0.0000,0.0000,0.0000,
03:51:00:110,367929517698270,13.0255,923,1.3186,93.1218,25.8672,0.0004,37.5681,10.4356,0.0000,0.0000,0.0000,
03:51:01:389,367933609714288,14.3042,894,1.3039,94.7869,26.3297,0.0006,37.5688,10.4358,0.0000,0.0000,0.0000,
03:51:02:390,367936812552718,15.3052,3492,11.7459,106.5389,29.5941,4.6594,42.2307,11.7308,0.0000,0.0000,0.0000,
03:51:03:390,367940014576910,16.3058,3600,12.6817,119.2230,33.1175,5.1302,47.3619,13.1561,0.0000,0.0000,0.0000,
03:51:04:391,367943216581969,17.3064,3573,14.0669,133.2929,37.0258,6.0087,53.3719,14.8255,0.0000,0.0000,0.0000,
03:51:05:392,367946418576538,18.3071,3595,13.5887,146.8842,40.8012,5.7262,59.0992,16.4164,0.0000,0.0000,0.0000,
03:51:06:392,367949620600340,19.3077,3600,13.6548,160.5418,44.5949,5.6261,64.7264,17.9796,0.0000,0.0000,0.0000,
03:51:07:393,367952822699415,20.3083,3600,13.5895,174.1340,48.3705,5.6006,70.3281,19.5356,0.0000,0.0000,0.0000,
03:51:08:394,367956024686891,21.3090,3598,13.4819,187.6185,52.1163,5.5642,75.8934,21.0815,0.0000,0.0000,0.0000,
03:51:09:394,367959226722656,22.3096,3586,14.0085,201.6299,56.0083,6.0045,81.8992,22.7498,0.0000,0.0000,0.0000,
03:51:10:395,367962428803118,23.3103,3598,9.3036,210.9354,58.5932,3.6686,85.5685,23.7690,0.0000,0.0000,0.0000,
03:51:11:395,367965630839424,24.3109,3598,13.5652,224.5034,62.3620,5.6012,91.1708,25.3252,0.0000,0.0000,0.0000,
