System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
06:25:52:972,397666629712398,1.0005,3592,20.7238,20.7255,5.7571,11.5096,11.5105,3.1974,0.0000,0.0000,0.0000,
06:25:53:972,397669831821608,2.0012,3584,13.7322,34.4608,9.5724,5.7594,17.2712,4.7975,0.0000,0.0000,0.0000,
06:25:54:973,397673033914784,3.0019,3599,13.8275,48.2910,13.4142,5.8034,23.0757,6.4099,0.0000,0.0000,0.0000,
06:25:55:974,397676235930187,4.0025,3584,13.8260,62.1197,17.2555,5.8263,28.9031,8.0286,0.0000,0.0000,0.0000,
06:25:56:975,397679441252740,5.0041,1204,3.9494,66.0699,18.3528,1.2559,30.1593,8.3776,0.0000,0.0000,0.0000,
06:25:57:976,397682644317692,6.0051,1647,1.4005,67.4711,18.7420,0.0217,30.1810,8.3836,0.0000,0.0000,0.0000,
06:25:58:977,397685846442816,7.0058,2814,2.9582,70.4301,19.5639,0.7704,30.9515,8.5976,0.0000,0.0000,0.0000,
06:25:59:978,397689048589920,8.0065,2033,2.0250,72.4555,20.1265,0.2185,31.1700,8.6583,0.0000,0.0000,0.0000,
06:26:00:979,397692251818315,9.0075,3373,2.5076,74.9636,20.8232,0.4383,31.6084,8.7801,0.0000,0.0000,0.0000,
06:26:02:274,397696397086848,10.3029,801,1.2909,76.6337,21.2871,0.0009,31.6096,8.7804,0.0000,0.0000,0.0000,
06:26:03:276,397699603774512,11.3049,906,1.2969,77.9312,21.6476,0.0002,31.6097,8.7805,0.0000,0.0000,0.0000,
06:26:04:278,397702809245011,12.3067,919,1.3153,79.2472,22.0131,0.0001,31.6099,8.7805,0.0000,0.0000,0.0000,
06:26:05:279,397706011738592,13.3074,2809,2.6153,81.8634,22.7398,0.5832,32.1933,8.9426,0.0000,0.0000,0.0000,
06:26:06:279,397709213798816,14.3081,3598,14.0998,95.9660,26.6572,5.9563,38.1508,10.5974,0.0000,0.0000,0.0000,
06:26:07:280,397712415783191,15.3087,3597,13.6558,109.6245,30.4513,5.6437,43.7955,12.1654,0.0000,0.0000,0.0000,
06:26:08:281,397715617812628,16.3094,3581,12.9217,122.5490,34.0414,5.2704,49.0671,13.6297,0.0000,0.0000,0.0000,
06:26:09:281,397718820199056,17.3101,3001,10.8743,133.4254,37.0626,4.2430,53.3110,14.8086,0.0000,0.0000,0.0000,
06:26:10:282,397722022295485,18.3108,3598,13.4675,146.8961,40.8045,5.6549,58.9672,16.3798,0.0000,0.0000,0.0000,
06:26:11:283,397725224300168,19.3114,3589,8.0874,154.9850,43.0514,3.0043,61.9721,17.2145,0.0000,0.0000,0.0000,
06:26:12:283,397728426305835,20.3120,3600,13.7912,168.7791,46.8831,5.7138,67.6871,18.8020,0.0000,0.0000,0.0000,
06:26:13:284,397731628294411,21.3126,3560,13.1323,181.9139,50.5317,5.3834,73.0715,20.2976,0.0000,0.0000,0.0000,
06:26:14:285,397734830902786,22.3134,3566,9.3766,191.2924,53.1368,3.6687,76.7410,21.3169,0.0000,0.0000,0.0000,
06:26:15:285,397738033080404,23.3141,3594,13.0557,204.3514,56.7643,5.3413,82.0837,22.8010,0.0000,0.0000,0.0000,
06:26:16:286,397741235224523,24.3148,3591,14.0909,218.4449,60.6792,5.9573,88.0421,24.4561,0.0000,0.0000,0.0000,
