System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
10:47:35:479,724394155859544,1.0006,3129,2.3420,2.3422,0.6506,0.3501,0.3502,0.0973,0.0000,0.0000,0.0000,
10:47:36:481,724397359418096,2.0017,1257,1.4103,3.7527,1.0424,0.0320,0.3822,0.1062,0.0000,0.0000,0.0000,
10:47:37:481,724400561970074,3.0025,3423,7.0906,10.8460,3.0128,3.6669,4.0505,1.1251,0.0000,0.0000,0.0000,
10:47:38:482,724403764102048,4.0031,3600,18.0238,28.8742,8.0206,9.1229,13.1756,3.6599,0.0000,0.0000,0.0000,
10:47:39:483,724406966140160,5.0038,3592,13.8227,42.6998,11.8610,5.8123,18.9891,5.2747,0.0000,0.0000,0.0000,
10:47:40:483,724410168164424,6.0044,3595,14.1262,56.8289,15.7858,5.9954,24.9857,6.9405,0.0000,0.0000,0.0000,
10:47:41:484,724413370231566,7.0051,3598,13.7916,70.6231,19.6175,5.7971,30.7839,8.5511,0.0000,0.0000,0.0000,
10:47:42:486,724416575670220,8.0068,1645,7.3819,78.0067,21.6685,2.8730,33.6577,9.3493,0.0000,0.0000,0.0000,
10:47:43:791,724420753384526,9.3123,2452,1.5177,79.9869,22.2186,0.0717,33.7512,9.3753,0.0000,0.0000,0.0000,
10:47:44:792,724423957330647,10.3135,1030,1.3796,81.3669,22.6019,0.0171,33.7683,9.3801,0.0000,0.0000,0.0000,
10:47:45:794,724427163624464,11.3155,888,1.3165,82.6839,22.9677,0.0017,33.7700,9.3806,0.0000,0.0000,0.0000,
10:47:46:797,724430370953792,12.3178,1030,1.3091,83.9936,23.3316,0.0002,33.7702,9.3806,0.0000,0.0000,0.0000,
10:47:47:799,724433577202180,13.3197,897,1.3452,85.3395,23.7054,0.0069,33.7771,9.3825,0.0000,0.0000,0.0000,
10:47:48:854,724436953535112,14.3749,2736,4.5290,90.1158,25.0322,1.3991,35.2526,9.7924,0.0000,0.0000,0.0000,
10:47:49:854,724440155576378,15.3755,3570,13.2255,103.3441,28.7067,5.4256,40.6793,11.2998,0.0000,0.0000,0.0000,
10:47:50:855,724443357565966,16.3761,3500,12.9147,116.2614,32.2948,5.2548,45.9352,12.7598,0.0000,0.0000,0.0000,
10:47:51:856,724446559577524,17.3768,3498,12.7088,128.9727,35.8257,5.1582,51.0944,14.1929,0.0000,0.0000,0.0000,
10:47:52:856,724449761601291,18.3774,3400,11.8676,140.8427,39.1230,4.7293,55.8246,15.5068,0.0000,0.0000,0.0000,
10:47:53:857,724452963780849,19.3781,3594,13.5566,154.4022,42.8895,5.5886,61.4145,17.0596,0.0000,0.0000,0.0000,
10:47:54:858,724456165781352,20.3787,3593,13.6758,168.0806,46.6890,5.6550,67.0706,18.6307,0.0000,0.0000,0.0000,
10:47:55:858,724459367762696,21.3793,3594,13.7934,181.8766,50.5213,5.6961,72.7679,20.2133,0.0000,0.0000,0.0000,
10:47:56:859,724462569739214,22.3799,3599,13.7233,195.6025,54.3340,5.6846,78.4536,21.7927,0.0000,0.0000,0.0000,
10:47:57:860,724465771901736,23.3806,3599,13.7124,209.3177,58.1438,5.7350,84.1898,23.3860,0.0000,0.0000,0.0000,
10:47:58:860,724468974024843,24.3813,3447,13.0106,222.3315,61.7587,5.4090,89.6000,24.8889,0.0000,0.0000,0.0000,
