System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
08:44:20:161,1253688329914144,1.0017,867,1.6740,1.6742,0.4651,0.1183,0.1183,0.0329,0.0000,0.0000,0.0000,
08:44:21:163,1253691534532672,2.0032,2006,1.3614,3.0363,0.8434,0.0191,0.1374,0.0382,0.0000,0.0000,0.0000,
08:44:22:163,1253694736693230,3.0039,3599,22.0101,25.0519,6.9589,12.5500,12.6906,3.5252,0.0000,0.0000,0.0000,
08:44:23:164,1253697938709070,4.0045,3600,14.1696,39.2244,10.8957,6.2567,18.9485,5.2635,0.0000,0.0000,0.0000,
08:44:24:165,1253701140795191,5.0052,3595,13.9716,53.1988,14.7774,5.9060,24.8557,6.9043,0.0000,0.0000,0.0000,
08:44:25:165,1253704342880939,6.0058,3594,13.8143,67.0162,18.6156,5.8003,30.6573,8.5159,0.0000,0.0000,0.0000,
08:44:26:166,1253707544876410,7.0065,3589,10.4905,77.5089,21.5303,4.2553,34.9135,9.6982,0.0000,0.0000,0.0000,
08:44:27:168,1253710750167486,8.0081,819,1.4972,79.0065,21.9462,0.0704,34.9839,9.7177,0.0000,0.0000,0.0000,
08:44:28:169,1253713954259256,9.0094,1266,1.3388,80.3458,22.3183,0.0056,34.9895,9.7193,0.0000,0.0000,0.0000,
08:44:29:170,1253717158709580,10.0108,1131,2.0126,82.3590,22.8775,0.3047,35.2943,9.8040,0.0000,0.0000,0.0000,
08:44:30:172,1253720364466564,11.0126,920,1.3014,83.6609,23.2391,0.0001,35.2944,9.8040,0.0000,0.0000,0.0000,
08:44:31:457,1253724474999800,12.2971,2793,1.8346,86.0165,23.8935,0.1514,35.4887,9.8580,0.0000,0.0000,0.0000,
08:44:32:458,1253727680334920,13.2988,874,1.3619,87.3788,24.2719,0.0112,35.4999,9.8611,0.0000,0.0000,0.0000,
08:44:33:459,1253730883172337,14.2997,3590,9.2446,96.6273,26.8409,3.8766,39.3782,10.9384,0.0000,0.0000,0.0000,
08:44:34:460,1253734085522542,15.3004,3576,14.6428,111.2740,30.9094,6.5502,45.9301,12.7584,0.0000,0.0000,0.0000,
08:44:35:461,1253737287777143,16.3011,3574,14.7118,125.9889,34.9969,6.5650,52.4965,14.5824,0.0000,0.0000,0.0000,
08:44:36:461,1253740489737736,17.3018,3592,14.3941,140.3857,38.9960,6.4510,58.9487,16.3746,0.0000,0.0000,0.0000,
08:44:37:462,1253743691832509,18.3024,3581,14.7239,155.1123,43.0868,6.4611,65.4109,18.1697,0.0000,0.0000,0.0000,
08:44:38:463,1253746894044081,19.3031,3594,8.7908,163.9053,45.5292,3.6561,69.0679,19.1855,0.0000,0.0000,0.0000,
08:44:39:463,1253750096912820,20.3040,2744,8.9542,172.8613,48.0170,3.3702,72.4388,20.1219,0.0000,0.0000,0.0000,
08:44:40:464,1253753299124081,21.3047,3594,13.5685,186.4334,51.7871,5.6028,78.0431,21.6786,0.0000,0.0000,0.0000,
08:44:41:465,1253756501218984,22.3053,3599,13.6835,200.1198,55.5888,5.6686,83.7129,23.2536,0.0000,0.0000,0.0000,
08:44:42:466,1253759703890075,23.3062,2137,8.7043,208.8259,58.0072,3.2546,86.9682,24.1578,0.0000,0.0000,0.0000,
08:44:43:468,1253762910996574,24.3084,3586,9.4856,218.3137,60.6427,3.7340,90.7031,25.1953,0.0000,0.0000,0.0000,
08:44:44:469,1253766112985489,25.3090,3578,14.0415,232.3579,64.5439,5.9231,96.6273,26.8409,0.0000,0.0000,0.0000,
