System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
20:52:19:117,840501618529920,1.0005,3597,19.5236,19.5253,5.4237,10.2935,10.2944,2.8595,0.0000,0.0000,0.0000,
20:52:20:118,840504820563604,2.0012,3597,9.1281,28.6554,7.9598,3.4699,13.7651,3.8236,0.0000,0.0000,0.0000,
20:52:21:118,840508022563912,3.0018,3561,12.2067,40.8646,11.3513,4.7023,18.4683,5.1301,0.0000,0.0000,0.0000,
20:52:22:119,840511224594880,4.0024,3598,13.2155,54.0829,15.0230,5.2396,23.7090,6.5858,0.0000,0.0000,0.0000,
20:52:23:119,840514426561713,5.0031,3596,13.3478,67.4332,18.7315,5.2950,29.0050,8.0569,0.0000,0.0000,0.0000,
20:52:24:120,840517628531118,6.0037,3600,13.1361,80.5718,22.3811,5.2030,34.2090,9.5025,0.0000,0.0000,0.0000,
20:52:25:121,840520830536058,7.0043,3571,12.8833,93.4576,25.9605,5.0579,39.2679,10.9077,0.0000,0.0000,0.0000,
20:52:26:121,840524032874496,8.0050,3598,13.4722,106.9334,29.7037,5.3347,44.6040,12.3900,0.0000,0.0000,0.0000,
20:52:27:122,840527234990769,9.0057,3590,13.3337,120.2702,33.4084,5.4041,50.0093,13.8915,0.0000,0.0000,0.0000,
20:52:28:123,840530437161540,10.0064,3417,12.3167,132.5893,36.8304,4.7965,54.8068,15.2241,0.0000,0.0000,0.0000,
20:52:29:123,840533639170295,11.0070,3596,13.4021,145.9941,40.5539,5.4755,60.2833,16.7454,0.0000,0.0000,0.0000,
20:52:30:124,840536841232695,12.0076,3594,13.3446,159.3413,44.2615,5.3166,65.6010,18.2225,0.0000,0.0000,0.0000,
20:52:31:125,840540043191854,13.0083,3597,14.0201,173.3641,48.1567,5.8760,71.4781,19.8550,0.0000,0.0000,0.0000,
20:52:32:125,840543245119272,14.0089,3593,13.3046,186.6711,51.8531,5.3193,76.7984,21.3329,0.0000,0.0000,0.0000,
20:52:33:126,840546447157006,15.0095,3598,13.3310,200.0048,55.5569,5.2998,82.0992,22.8053,0.0000,0.0000,0.0000,
