System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
16:05:09:395,232407436328872,1.0005,3559,18.6528,18.6542,5.1817,9.6723,9.6730,2.6870,0.0000,0.0000,0.0000,
16:05:10:396,232410638477047,2.0012,3596,13.9062,32.5636,9.0454,5.8535,15.5278,4.3133,0.0000,0.0000,0.0000,
16:05:11:396,232413840538609,3.0018,3598,13.4414,46.0079,12.7800,5.4405,20.9695,5.8249,0.0000,0.0000,0.0000,
16:05:12:397,232417042854525,4.0026,3596,13.5466,59.5575,16.5437,5.5056,26.4763,7.3545,0.0000,0.0000,0.0000,
16:05:13:398,232420244933582,5.0032,3595,13.2321,72.7924,20.2201,5.4133,31.8907,8.8585,0.0000,0.0000,0.0000,
16:05:14:398,232423447027656,6.0039,3592,13.4578,86.2532,23.9592,5.4630,37.3550,10.3764,0.0000,0.0000,0.0000,
16:05:15:399,232426649033111,7.0045,3597,13.1686,99.4245,27.6179,5.4458,42.8019,11.8894,0.0000,0.0000,0.0000,
16:05:16:400,232429851025754,8.0051,3589,13.0269,112.4539,31.2372,5.1933,47.9962,13.3323,0.0000,0.0000,0.0000,
16:05:17:400,232433053031799,9.0058,3599,12.4255,124.8818,34.6894,4.8470,52.8441,14.6789,0.0000,0.0000,0.0000,
16:05:18:401,232436255131572,10.0064,3599,13.2621,138.1467,38.3741,5.2146,58.0598,16.1277,0.0000,0.0000,0.0000,
16:05:19:402,232439457247927,11.0071,3599,13.0811,151.2310,42.0086,5.1186,63.1796,17.5499,0.0000,0.0000,0.0000,
16:05:20:402,232442659392247,12.0078,3599,10.0987,161.3317,44.8144,3.6114,66.7917,18.5532,0.0000,0.0000,0.0000,
16:05:21:403,232445861384087,13.0084,3539,12.5063,173.8403,48.2890,4.8243,71.6169,19.8936,0.0000,0.0000,0.0000,
16:05:22:404,232449063371220,14.0090,3596,13.0553,186.8981,51.9161,5.0913,76.7091,21.3081,0.0000,0.0000,0.0000,
