System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
11:37:15:103,733928934984826,1.0005,3542,18.5002,18.5017,5.1394,9.5711,9.5719,2.6589,0.0000,0.0000,0.0000,
11:37:16:103,733932137051933,2.0012,3599,13.7499,32.2547,8.9596,5.5191,15.0922,4.1923,0.0000,0.0000,0.0000,
11:37:17:104,733935339061396,3.0018,3411,8.0274,40.2838,11.1899,2.8897,17.9825,4.9952,0.0000,0.0000,0.0000,
11:37:18:104,733938541038929,4.0024,3599,13.4844,53.7708,14.9363,5.3543,23.3379,6.4827,0.0000,0.0000,0.0000,
11:37:19:105,733941743086321,5.0031,3599,13.3223,67.0958,18.6377,5.2895,28.6284,7.9523,0.0000,0.0000,0.0000,
11:37:20:106,733944945122327,6.0037,3599,13.2760,80.3746,22.3263,5.2682,33.8978,9.4160,0.0000,0.0000,0.0000,
11:37:21:106,733948147171819,7.0043,3599,13.3129,93.6902,26.0251,5.3122,39.2110,10.8919,0.0000,0.0000,0.0000,
11:37:22:107,733951349241661,8.0050,3599,13.3134,107.0063,29.7240,5.2683,44.4803,12.3557,0.0000,0.0000,0.0000,
11:37:23:108,733954551238353,9.0056,3599,13.4002,120.4091,33.4470,5.3052,49.7866,13.8296,0.0000,0.0000,0.0000,
11:37:24:108,733957753206033,10.0062,3497,13.7340,134.1457,37.2627,5.5548,55.3424,15.3729,0.0000,0.0000,0.0000,
11:37:25:109,733960955219642,11.0069,3598,13.3505,147.4985,40.9718,5.3888,60.7321,16.8700,0.0000,0.0000,0.0000,
11:37:26:110,733964157300465,12.0075,3520,13.2420,160.7430,44.6508,5.1838,65.9169,18.3103,0.0000,0.0000,0.0000,
11:37:27:110,733967359373690,13.0082,3596,13.3877,174.1332,48.3703,5.3484,71.2663,19.7962,0.0000,0.0000,0.0000,
11:37:28:111,733970561358269,14.0088,3599,13.7545,187.8903,52.1917,5.5867,76.8540,21.3483,0.0000,0.0000,0.0000,
11:37:29:111,733973763365917,15.0094,3599,13.4336,201.3265,55.9240,5.3546,82.2097,22.8360,0.0000,0.0000,0.0000,
