System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
23:42:33:654,320228931198283,1.0005,2422,1.8850,1.8851,0.5236,0.2061,0.2061,0.0573,0.0000,0.0000,0.0000,
23:42:34:655,320232134582192,2.0016,1672,1.5936,3.4791,0.9664,0.1031,0.3093,0.0859,0.0000,0.0000,0.0000,
23:42:35:656,320235336911098,3.0023,3430,5.4757,8.9564,2.4879,2.5441,2.8541,0.7928,0.0000,0.0000,0.0000,
23:42:36:657,320238539184366,4.0030,3584,17.9817,26.9433,7.4842,9.1298,11.9865,3.3296,0.0000,0.0000,0.0000,
23:42:37:657,320241741205821,5.0037,3598,14.0080,40.9541,11.3761,5.9261,17.9138,4.9761,0.0000,0.0000,0.0000,
23:42:38:658,320244943165716,6.0043,3595,14.1327,55.0895,15.3026,6.0078,23.9227,6.6452,0.0000,0.0000,0.0000,
23:42:39:658,320248145154900,7.0049,3594,14.3719,69.4642,19.2956,6.0935,30.0174,8.3382,0.0000,0.0000,0.0000,
23:42:40:660,320251351007120,8.0067,932,7.6179,77.0838,21.4122,2.9194,32.9374,9.1493,0.0000,0.0000,0.0000,
23:42:41:698,320254670715376,9.0441,848,1.3230,78.4540,21.7928,0.0037,32.9413,9.1504,0.0000,0.0000,0.0000,
23:42:42:699,320257874955024,10.0455,1042,1.3237,79.7784,22.1607,0.0013,32.9426,9.1507,0.0000,0.0000,0.0000,
23:42:43:701,320261079752637,11.0470,968,1.4156,81.1945,22.5540,0.0310,32.9736,9.1593,0.0000,0.0000,0.0000,
23:42:44:702,320264284012645,12.0483,1036,1.3266,82.5215,22.9227,0.0027,32.9763,9.1601,0.0000,0.0000,0.0000,
23:42:45:703,320267486361675,13.0490,2144,1.8707,84.3928,23.4425,0.1622,33.1386,9.2052,0.0000,0.0000,0.0000,
23:42:46:758,320270864885040,14.1048,978,1.5246,85.9999,23.8889,0.0592,33.2010,9.2225,0.0000,0.0000,0.0000,
23:42:47:760,320274069925718,15.1064,951,1.2953,87.2958,24.2488,0.0001,33.2012,9.2225,0.0000,0.0000,0.0000,
23:42:48:761,320277272443060,16.1072,2669,3.5650,90.8621,25.2395,0.9976,34.1991,9.4997,0.0000,0.0000,0.0000,
23:42:49:761,320280474518987,17.1078,3599,14.0530,104.9182,29.1439,5.9381,40.1385,11.1496,0.0000,0.0000,0.0000,
23:42:50:762,320283676518580,18.1085,3599,14.1129,119.0339,33.0650,6.0105,46.1502,12.8195,0.0000,0.0000,0.0000,
23:42:51:763,320286878548331,19.1091,3595,13.8516,132.8884,36.9134,5.8566,52.0080,14.4467,0.0000,0.0000,0.0000,
23:42:52:763,320290080533480,20.1097,3599,14.0428,146.9338,40.8150,5.9187,57.9279,16.0911,0.0000,0.0000,0.0000,
23:42:53:764,320293282580526,21.1104,3541,13.0116,159.9483,44.4301,5.3446,63.2736,17.5760,0.0000,0.0000,0.0000,
23:42:54:765,320296484647534,22.1110,3598,14.1619,174.1127,48.3646,5.9296,69.2043,19.2234,0.0000,0.0000,0.0000,
23:42:55:765,320299686677905,23.1116,3599,13.9022,188.0177,52.2271,5.7820,74.9874,20.8298,0.0000,0.0000,0.0000,
