System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
10:48:16:783,724526325701811,1.0007,2383,1.9750,1.9752,0.5487,0.1996,0.1996,0.0555,0.0000,0.0000,0.0000,
10:48:17:784,724529528995602,2.0018,3402,2.2314,4.2072,1.1687,0.2890,0.4888,0.1358,0.0000,0.0000,0.0000,
10:48:18:784,724532731255220,3.0025,3534,13.3470,17.5578,4.8772,7.6836,8.1745,2.2707,0.0000,0.0000,0.0000,
10:48:19:785,724535933394973,4.0031,3599,14.4642,32.0250,8.8958,6.2590,14.4348,4.0097,0.0000,0.0000,0.0000,
10:48:20:786,724539135530173,5.0038,3590,13.9569,45.9847,12.7735,5.8817,20.3176,5.6438,0.0000,0.0000,0.0000,
10:48:21:786,724542337634880,6.0045,3597,14.0892,60.0773,16.6881,5.9837,26.3027,7.3063,0.0000,0.0000,0.0000,
10:48:22:787,724545539567243,7.0051,3598,14.0044,74.0838,20.5788,5.8972,32.2008,8.9447,0.0000,0.0000,0.0000,
10:48:23:788,724548741618149,8.0057,3146,7.1677,81.2530,22.5703,2.7097,34.9110,9.6975,0.0000,0.0000,0.0000,
10:48:24:789,724551947033448,9.0074,922,1.3982,82.6515,22.9587,0.0342,34.9453,9.7070,0.0000,0.0000,0.0000,
10:48:25:791,724555153058564,10.0093,985,1.3195,83.9716,23.3254,0.0021,34.9473,9.7076,0.0000,0.0000,0.0000,
10:48:26:793,724558358735552,11.0111,870,1.2934,85.2655,23.6849,0.0000,34.9473,9.7076,0.0000,0.0000,0.0000,
10:48:27:795,724561565201216,12.0131,1886,1.5538,86.8199,24.1167,0.0591,35.0064,9.7240,0.0000,0.0000,0.0000,
10:48:28:797,724564771509736,13.0150,959,1.3120,88.1326,24.4813,0.0001,35.0065,9.7240,0.0000,0.0000,0.0000,
10:48:29:798,724567975644264,14.0164,1407,1.3590,89.4923,24.8590,0.0106,35.0171,9.7270,0.0000,0.0000,0.0000,
10:48:30:800,724571181767136,15.0183,818,1.2904,90.7831,25.2175,0.0004,35.0175,9.7271,0.0000,0.0000,0.0000,
10:48:31:801,724574384769294,16.0192,2622,2.9584,93.7430,26.0397,0.7065,35.7244,9.9234,0.0000,0.0000,0.0000,
10:48:32:802,724577586874170,17.0199,3597,14.0982,107.8441,29.9567,5.9605,41.6861,11.5795,0.0000,0.0000,0.0000,
10:48:33:802,724580788952509,18.0205,3593,14.0512,121.8983,33.8606,5.9337,47.6211,13.2281,0.0000,0.0000,0.0000,
10:48:34:803,724583990928171,19.0211,3486,12.8930,134.7938,37.4427,5.2914,52.9135,14.6982,0.0000,0.0000,0.0000,
10:48:35:804,724587192906842,20.0218,3599,14.5389,149.3355,41.4821,6.2317,59.1464,16.4296,0.0000,0.0000,0.0000,
10:48:36:804,724590394951322,21.0224,3161,13.3566,162.6947,45.1930,5.5073,64.6548,17.9597,0.0000,0.0000,0.0000,
10:48:37:805,724593597022103,22.0231,3599,14.1795,176.8769,49.1325,5.9202,70.5760,19.6045,0.0000,0.0000,0.0000,
10:48:38:806,724596799133000,23.0237,3599,14.0339,190.9136,53.0315,5.8960,76.4732,21.2426,0.0000,0.0000,0.0000,
