System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
14:56:07:930,1048593502487485,1.0013,1520,1.7365,1.7367,0.4824,0.1308,0.1309,0.0363,0.0000,0.0000,0.0000,
14:56:08:932,1048596708401740,2.0032,1112,1.5024,3.2397,0.8999,0.0502,0.1811,0.0503,0.0000,0.0000,0.0000,
14:56:09:934,1048599914710902,3.0052,1107,1.3057,4.5460,1.2628,0.0001,0.1812,0.0503,0.0000,0.0000,0.0000,
14:56:10:936,1048603121258464,4.0072,1061,1.4459,5.9926,1.6646,0.0348,0.2160,0.0600,0.0000,0.0000,0.0000,
14:56:11:937,1048606324086379,5.0081,3580,16.9807,22.9814,6.3837,9.8994,10.1201,2.8111,0.0000,0.0000,0.0000,
14:56:12:938,1048609527200900,6.0091,3547,8.2744,31.2576,8.6827,3.4480,13.5689,3.7691,0.0000,0.0000,0.0000,
14:56:13:938,1048612729405690,7.0098,3588,12.6842,43.9451,12.2070,5.2804,18.8507,5.2363,0.0000,0.0000,0.0000,
14:56:14:939,1048615931397672,8.0104,3595,14.1480,58.0958,16.1377,6.0228,24.8746,6.9096,0.0000,0.0000,0.0000,
14:56:15:940,1048619133454359,9.0111,3594,14.0896,72.1882,20.0523,5.9989,30.8747,8.5763,0.0000,0.0000,0.0000,
14:56:16:940,1048622335519345,10.0117,3597,14.1447,86.3361,23.9822,5.9951,36.8711,10.2420,0.0000,0.0000,0.0000,
14:56:17:941,1048625538962444,11.0128,1596,2.1390,88.4755,24.5765,0.3585,37.2297,10.3416,0.0000,0.0000,0.0000,
14:56:18:943,1048628744475496,12.0145,966,1.7746,90.2507,25.0696,0.1585,37.3882,10.3856,0.0000,0.0000,0.0000,
14:56:19:945,1048631949713513,13.0161,843,1.3142,91.5655,25.4349,0.0002,37.3884,10.3857,0.0000,0.0000,0.0000,
14:56:20:946,1048635153540816,14.0173,1101,1.3660,92.9320,25.8144,0.0147,37.4031,10.3897,0.0000,0.0000,0.0000,
14:56:21:948,1048638359631456,15.0192,830,1.3269,94.2593,26.1831,0.0034,37.4065,10.3907,0.0000,0.0000,0.0000,
14:56:22:950,1048641565857370,16.0212,880,1.3017,95.5616,26.5449,0.0007,37.4072,10.3909,0.0000,0.0000,0.0000,
14:56:23:951,1048644769115492,17.0222,3581,12.5682,108.1350,30.0375,5.5447,42.9541,11.9317,0.0000,0.0000,0.0000,
14:56:24:951,1048647971309021,18.0229,3594,14.3147,122.4532,34.0148,6.4494,49.4051,13.7236,0.0000,0.0000,0.0000,
14:56:25:952,1048651173303950,19.0235,3593,14.2076,136.6636,37.9621,6.1159,55.5222,15.4228,0.0000,0.0000,0.0000,
14:56:26:953,1048654375330423,20.0242,3598,14.1604,150.8267,41.8963,6.0564,61.5797,17.1055,0.0000,0.0000,0.0000,
14:56:27:953,1048657577400884,21.0248,3592,14.0043,164.8339,45.7872,5.8173,67.3982,18.7217,0.0000,0.0000,0.0000,
14:56:28:954,1048660779384619,22.0254,3592,13.7892,178.6258,49.6183,5.7452,73.1445,20.3179,0.0000,0.0000,0.0000,
14:56:29:955,1048663981359037,23.0261,3592,13.7819,192.4103,53.4473,5.7291,78.8747,21.9096,0.0000,0.0000,0.0000,
14:56:30:955,1048667183418656,24.0267,2709,6.1610,198.5726,55.1591,2.0908,80.9659,22.4905,0.0000,0.0000,0.0000,
