System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
09:35:34:940,1263527605320256,1.0017,1381,2.5005,2.5008,0.6947,0.2820,0.2820,0.0783,0.0000,0.0000,0.0000,
09:35:35:940,1263530808229547,2.0026,3592,19.8851,22.3963,6.2212,11.0636,11.3514,3.1532,0.0000,0.0000,0.0000,
09:35:36:941,1263534010291580,3.0033,3577,14.2151,36.6141,10.1706,6.0356,17.3881,4.8300,0.0000,0.0000,0.0000,
09:35:37:942,1263537212328756,4.0039,3594,13.9904,50.6072,14.0576,5.9257,23.3149,6.4764,0.0000,0.0000,0.0000,
09:35:38:942,1263540414431944,5.0046,3595,13.7910,64.4014,17.8893,5.8008,29.1171,8.0881,0.0000,0.0000,0.0000,
09:35:39:944,1263543619777896,6.0062,1539,6.0986,70.5015,19.5837,2.2816,31.3992,8.7220,0.0000,0.0000,0.0000,
09:35:40:946,1263546826447280,7.0083,852,1.3131,71.8152,19.9487,0.0002,31.3994,8.7221,0.0000,0.0000,0.0000,
09:35:41:948,1263550032635752,8.0103,844,1.3038,73.1197,20.3110,0.0000,31.3994,8.7221,0.0000,0.0000,0.0000,
09:35:42:950,1263553239260720,9.0123,823,1.3057,74.4260,20.6739,0.0001,31.3995,8.7221,0.0000,0.0000,0.0000,
09:35:44:217,1263557293939584,10.2794,987,1.3152,76.0908,21.1363,0.0009,31.4006,8.7224,0.0000,0.0000,0.0000,
09:35:45:219,1263560499798092,11.2813,983,1.3611,77.4524,21.5146,0.0152,31.4158,8.7266,0.0000,0.0000,0.0000,
09:35:46:221,1263563706439232,12.2833,899,1.3153,78.7683,21.8801,0.0001,31.4159,8.7266,0.0000,0.0000,0.0000,
09:35:47:223,1263566911753416,13.2850,1056,1.4710,80.2400,22.2889,0.0433,31.4592,8.7387,0.0000,0.0000,0.0000,
09:35:48:225,1263570118203536,14.2870,875,1.3059,81.5464,22.6518,0.0007,31.4600,8.7389,0.0000,0.0000,0.0000,
09:35:49:227,1263573324870464,15.2891,1090,1.3135,82.8605,23.0168,0.0002,31.4601,8.7389,0.0000,0.0000,0.0000,
09:35:50:228,1263576527703930,16.2900,2899,4.9479,87.8108,24.3919,1.6169,33.0778,9.1883,0.0000,0.0000,0.0000,
09:35:51:228,1263579729780541,17.2907,3596,14.0543,101.8680,28.2967,5.9607,39.0397,10.8444,0.0000,0.0000,0.0000,
09:35:52:229,1263582931871560,18.2913,3598,13.8098,115.6802,32.1334,5.8564,44.8972,12.4714,0.0000,0.0000,0.0000,
09:35:53:230,1263586134933337,19.2923,3524,11.8475,127.5302,35.4251,4.8540,49.7522,13.8201,0.0000,0.0000,0.0000,
09:35:54:231,1263589337176366,20.2930,3585,12.7117,140.2455,38.9571,5.2547,55.0084,15.2801,0.0000,0.0000,0.0000,
09:35:55:231,1263592539153550,21.2936,3598,13.6478,153.8959,42.7489,5.6552,60.6646,16.8513,0.0000,0.0000,0.0000,
09:35:56:232,1263595741172680,22.2942,2719,7.8722,161.7695,44.9360,2.8964,63.5615,17.6560,0.0000,0.0000,0.0000,
09:35:57:233,1263598943161675,23.2948,3534,12.7129,174.4850,48.4681,5.1647,68.7272,19.0909,0.0000,0.0000,0.0000,
09:35:58:233,1263602145269064,24.2955,3597,14.1517,188.6395,52.3999,5.8965,74.6249,20.7291,0.0000,0.0000,0.0000,
