System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
00:43:51:584,55518709298446,1.0005,2777,1.8889,1.8890,0.5247,0.1853,0.1854,0.0515,0.0000,0.0000,0.0000,
00:43:52:585,55521914679236,2.0022,843,1.5501,3.4395,0.9554,0.0848,0.2702,0.0751,0.0000,0.0000,0.0000,
00:43:53:587,55525120696752,3.0041,830,1.3013,4.7414,1.3171,0.0001,0.2703,0.0751,0.0000,0.0000,0.0000,
00:43:54:588,55528323387037,4.0049,2465,1.4585,6.2005,1.7224,0.0348,0.3051,0.0848,0.0000,0.0000,0.0000,
00:43:55:589,55531525522188,5.0056,3184,13.3372,19.5403,5.4279,7.6538,7.9604,2.2112,0.0000,0.0000,0.0000,
00:43:56:590,55534730486748,6.0071,1032,1.7195,21.2603,5.9056,0.1132,8.0736,2.2427,0.0000,0.0000,0.0000,
00:43:57:591,55537933443220,7.0081,1845,1.3575,22.6183,6.2829,0.0095,8.0831,2.2453,0.0000,0.0000,0.0000,
00:43:58:593,55541138788840,8.0097,1457,2.2026,24.8214,6.8948,0.2680,8.3511,2.3198,0.0000,0.0000,0.0000,
00:43:59:594,55544341782577,9.0107,3593,11.5115,36.3388,10.0941,4.7208,13.0743,3.6318,0.0000,0.0000,0.0000,
00:44:00:594,55547543769742,10.0113,3565,14.0576,50.3992,13.9998,5.9856,19.0611,5.2947,0.0000,0.0000,0.0000,
00:44:01:595,55550745732224,11.0119,3597,13.8485,64.2503,17.8473,5.8328,24.8950,6.9153,0.0000,0.0000,0.0000,
00:44:02:596,55553947684439,12.0125,3593,14.0549,78.3077,21.7521,5.9258,30.8219,8.5616,0.0000,0.0000,0.0000,
00:44:03:596,55557149755310,13.0132,3221,12.1370,90.4471,25.1242,5.0149,35.8378,9.9549,0.0000,0.0000,0.0000,
00:44:04:598,55560355120758,14.0148,825,1.3240,91.7714,25.4921,0.0101,35.8478,9.9577,0.0000,0.0000,0.0000,
00:44:05:600,55563560691200,15.0166,836,1.3004,93.0724,25.8534,0.0001,35.8479,9.9578,0.0000,0.0000,0.0000,
00:44:06:601,55566765565516,16.0181,1010,1.3101,94.3831,26.2175,0.0001,35.8480,9.9578,0.0000,0.0000,0.0000,
00:44:07:602,55569968143639,17.0189,3590,6.3954,100.7808,27.9947,2.4117,38.2605,10.6279,0.0000,0.0000,0.0000,
00:44:08:603,55573170317504,18.0196,3562,15.2284,116.0130,32.2258,6.9473,45.2096,12.5582,0.0000,0.0000,0.0000,
00:44:09:603,55576372376241,19.0203,3593,15.2171,131.2333,36.4537,6.9685,52.1796,14.4943,0.0000,0.0000,0.0000,
00:44:10:604,55579574300864,20.0209,3580,13.5295,144.7651,40.2125,5.9349,58.1155,16.1432,0.0000,0.0000,0.0000,
00:44:11:604,55582776295560,21.0215,3599,13.6681,158.4360,44.0100,5.6712,63.7878,17.7188,0.0000,0.0000,0.0000,
00:44:12:605,55585978325469,22.0221,3598,14.0231,172.4618,47.9061,5.9999,69.7889,19.3858,0.0000,0.0000,0.0000,
00:44:13:606,55589180314222,23.0227,3600,13.6343,186.0987,51.6941,5.6650,75.4550,20.9597,0.0000,0.0000,0.0000,
00:44:14:606,55592382306583,24.0234,3446,13.3271,199.4283,55.3968,5.6818,81.1379,22.5383,0.0000,0.0000,0.0000,
