frame,value
0,30.915424
1,27.632601
2,26.634918
3,25.960625
4,25.685896
5,25.551172
6,25.481541
7,25.323629
8,25.330099
9,25.136440
10,25.089870
11,25.009998
12,24.964071
13,25.000826
14,25.309071
15,25.046318
16,25.856829
17,26.050732
18,25.886513
19,25.294786
20,24.901266
21,25.873770
22,25.724825
23,25.642120
24,25.551735
25,25.555166
26,25.464018
27,25.483120
28,25.520012
29,25.542109
30,24.980728
31,25.448811
32,25.527794
33,25.277344
34,25.586626
35,25.594858
36,25.194155
37,25.524696
38,25.510370
39,25.470098
40,25.463352
41,25.471966
42,25.484072
43,25.456005
44,25.488195
45,25.009644
46,25.340351
47,25.501070
48,25.463974
49,25.417332
50,24.846289
51,25.340233
52,25.412701
53,25.753599
54,24.980907
55,24.758488
56,25.399998
57,25.438890
58,24.867535
59,25.476629
60,25.585318
61,25.708529
62,25.261726
63,25.785063
64,25.269310
65,25.560099
66,25.198994
67,25.567757
68,25.091990
69,25.514759
70,25.219921
71,25.442904
72,25.283144
73,25.431877
74,24.967953
75,25.677994
76,24.975340
77,25.464130
78,25.263973
79,25.142832
80,25.072266
81,24.988907
82,24.957327
83,25.661551
84,25.853483
85,25.799690
86,25.153910
87,25.084543
88,24.966124
89,25.000893
90,24.988659
91,25.543152
92,25.005844
93,25.587233
94,25.059446
95,24.898579
96,25.397171
97,24.991974
98,24.893574
99,24.897919
100,24.922478
101,24.868422
102,24.866064
103,24.874207
104,25.613420
105,25.101833
106,24.982647
107,24.921574
108,24.946781
109,24.823549
110,24.963257
111,24.903128
112,24.846336
113,24.809877
114,24.780157
115,25.479132
116,25.020359
117,24.900229
118,24.795353
119,25.511307
120,25.042606
121,24.961246
122,24.863827
123,24.883598
124,24.761013
125,24.777514
126,24.746101
127,24.765686
128,25.508097
129,25.681795
130,25.714716
131,25.239143
132,25.147255
133,25.089266
134,25.086601
135,25.909351
136,25.181997
137,25.015671
138,24.941231
139,24.878197
140,24.773453
141,24.837275
142,25.520061
143,25.022308
144,24.898375
145,25.508701
146,25.604233
147,25.637163
148,25.058718
149,24.922247
150,24.835562
151,24.883919
152,24.833092
153,25.508553
154,24.963156
