frame,value
0,0.962350
1,0.946370
2,0.941658
3,0.937186
4,0.931922
5,0.930815
6,0.930258
7,0.927864
8,0.927939
9,0.924365
10,0.922655
11,0.920625
12,0.919443
13,0.919370
14,0.925604
15,0.922238
16,0.922787
17,0.924225
18,0.920524
19,0.920345
20,0.914880
21,0.925594
22,0.922349
23,0.915595
24,0.913252
25,0.911997
26,0.909200
27,0.908969
28,0.908874
29,0.908503
30,0.908835
31,0.908371
32,0.908940
33,0.915130
34,0.917132
35,0.911960
36,0.914990
37,0.909854
38,0.908203
39,0.905947
40,0.905285
41,0.904954
42,0.904024
43,0.903546
44,0.903953
45,0.905466
46,0.903209
47,0.905046
48,0.903883
49,0.902961
50,0.902784
51,0.901517
52,0.901192
53,0.909718
54,0.906029
55,0.905646
56,0.905900
57,0.905130
58,0.904403
59,0.905841
60,0.906164
61,0.909258
62,0.911055
63,0.911915
64,0.912988
65,0.909570
66,0.912069
67,0.908908
68,0.909843
69,0.907893
70,0.912725
71,0.907608
72,0.913986
73,0.907423
74,0.908319
75,0.910533
76,0.908117
77,0.906371
78,0.912673
79,0.913037
80,0.912837
81,0.912486
82,0.912654
83,0.911958
84,0.913364
85,0.911911
86,0.911236
87,0.912174
88,0.911466
89,0.912685
90,0.913317
91,0.911184
92,0.910276
93,0.909634
94,0.909139
95,0.908455
96,0.906892
97,0.908574
98,0.908527
99,0.908740
100,0.909584
101,0.908976
102,0.909372
103,0.910293
104,0.911490
105,0.910752
106,0.911335
107,0.911185
108,0.912999
109,0.910989
110,0.912593
111,0.911981
112,0.910487
113,0.910742
114,0.909500
115,0.908076
116,0.908415
117,0.907334
118,0.906534
119,0.906443
120,0.907395
121,0.908411
122,0.908609
123,0.910394
124,0.908947
125,0.908845
126,0.907458
127,0.908132
128,0.908152
129,0.908949
130,0.908758
131,0.909210
132,0.909933
133,0.911038
134,0.912145
135,0.915467
136,0.912000
137,0.910233
138,0.909392
139,0.908497
140,0.906887
141,0.908265
142,0.907935
143,0.907806
144,0.907465
145,0.906919
146,0.907089
147,0.907390
148,0.905905
149,0.905942
150,0.905838
151,0.907986
152,0.907995
153,0.906990
154,0.905602
155,0.906672
156,0.905578
157,0.906277
158,0.906164
159,0.906491
160,0.906950
161,0.906921
162,0.904370
163,0.904677
164,0.902994
165,0.905093
166,0.907231
167,0.907609
168,0.908273
169,0.906896
170,0.907759
171,0.906570
172,0.907850
173,0.905134
174,0.901871
175,0.902826
176,0.903198
177,0.902987
178,0.906012
179,0.905388
180,0.906104
181,0.906841
182,0.909218
183,0.906438
184,0.906238
185,0.901070
186,0.905708
187,0.904566
188,0.903896
189,0.901389
190,0.900248
191,0.898143
192,0.897190
193,0.896151
194,0.896198
195,0.897584
196,0.896034
197,0.897694
198,0.894412
199,0.897471
200,0.893487
201,0.895499
202,0.892814
203,0.893700
204,0.893830
205,0.893370
206,0.892933
207,0.893391
208,0.892239
209,0.893623
210,0.893509
211,0.903281
212,0.899406
213,0.896726
214,0.897063
215,0.897975
216,0.898485
217,0.899396
218,0.899707
219,0.897304
220,0.898188
221,0.897655
222,0.898283
223,0.896589
224,0.899934
225,0.896744
226,0.897208
227,0.897045
228,0.897022
229,0.896429
230,0.896444
231,0.897034
232,0.898762
233,0.899028
234,0.899437
235,0.899404
236,0.897954
237,0.898125
238,0.898522
239,0.898474
240,0.896785
241,0.897760
242,0.897387
243,0.897062
244,0.897738
245,0.896419
246,0.897884
247,0.895449
248,0.895316
249,0.896001
250,0.958619
251,0.942080
252,0.935673
253,0.931604
254,0.929855
255,0.927229
256,0.925792
257,0.923848
258,0.922685
259,0.920461
260,0.920106
261,0.916820
262,0.916281
263,0.916452
264,0.915757
265,0.915014
266,0.914727
267,0.914563
268,0.913619
269,0.912541
270,0.913102
271,0.912840
272,0.912714
273,0.912738
274,0.912513
275,0.912717
276,0.910035
277,0.909745
278,0.908693
279,0.906980
280,0.906356
281,0.905840
282,0.906253
283,0.906283
284,0.906159
285,0.906103
286,0.903477
287,0.904895
288,0.904076
289,0.903279
290,0.904515
291,0.903418
292,0.903450
293,0.902318
294,0.902249
295,0.901954
296,0.902362
297,0.901183
298,0.904588
299,0.902014
300,0.902903
301,0.902357
302,0.902372
303,0.902827
304,0.902910
305,0.901734
306,0.902284
307,0.900230
308,0.900377
309,0.899117
310,0.900316
311,0.899999
312,0.907730
313,0.907218
314,0.907775
315,0.907728
316,0.909617
317,0.904548
318,0.908117
319,0.908098
320,0.909125
321,0.909304
322,0.908875
323,0.909347
324,0.904351
325,0.903327
326,0.902091
327,0.902097
328,0.900813
329,0.901817
330,0.902733
331,0.901031
332,0.902546
333,0.902823
334,0.902798
335,0.903329
336,0.903473
337,0.904854
338,0.903312
339,0.900178
340,0.899752
341,0.899434
342,0.901515
343,0.903236
344,0.902976
345,0.903259
346,0.902347
347,0.902285
348,0.901935
349,0.899575
350,0.901623
351,0.899869
352,0.900146
353,0.900984
354,0.900809
355,0.901793
356,0.900521
357,0.901185
358,0.901423
359,0.901705
360,0.900183
361,0.900110
362,0.903630
363,0.902359
364,0.906672
365,0.908607
366,0.910369
367,0.909479
368,0.909895
369,0.907064
370,0.905860
371,0.905086
372,0.903934
373,0.905235
374,0.904599
375,0.908916
376,0.908077
377,0.907347
378,0.909292
379,0.908800
380,0.909223
381,0.909824
382,0.909281
383,0.909781
384,0.908960
385,0.910107
386,0.909786
387,0.914153
388,0.911189
389,0.910477
390,0.911221
391,0.911206
392,0.908740
393,0.911839
394,0.911314
395,0.911883
396,0.911828
397,0.912518
398,0.915143
399,0.913702
400,0.916183
401,0.914010
402,0.913426
403,0.912057
404,0.913031
405,0.913703
406,0.915306
407,0.916029
408,0.916556
409,0.915971
410,0.916061
411,0.912588
412,0.917419
413,0.913330
414,0.914140
415,0.914512
416,0.917234
417,0.915919
418,0.916314
419,0.916261
420,0.916114
421,0.914052
422,0.913777
423,0.915194
424,0.913261
425,0.915299
426,0.914269
427,0.913826
428,0.914015
429,0.915331
430,0.914693
431,0.916811
432,0.915589
433,0.916196
434,0.915175
435,0.915682
436,0.913261
437,0.918520
438,0.916034
439,0.916180
440,0.915367
441,0.915702
442,0.912596
443,0.914662
444,0.914452
445,0.916632
446,0.917045
447,0.917935
448,0.919439
449,0.917922
450,0.919526
451,0.917065
452,0.916478
453,0.916164
454,0.917397
455,0.916274
456,0.916077
457,0.915555
458,0.915699
459,0.915147
460,0.916487
461,0.916613
462,0.920052
463,0.918515
464,0.916117
465,0.914379
466,0.914547
467,0.913353
468,0.913951
469,0.911155
470,0.912593
471,0.915022
472,0.915225
473,0.916185
474,0.914081
475,0.913858
476,0.910129
477,0.911727
478,0.911963
479,0.912919
480,0.911514
481,0.912114
482,0.912828
483,0.912734
484,0.912926
485,0.912164
486,0.907657
487,0.911458
488,0.911519
489,0.911768
490,0.911998
491,0.911648
492,0.911602
493,0.912125
494,0.911893
495,0.911939
496,0.911636
497,0.911049
498,0.910965
499,0.910794
average,0.908979
