frame,value
0,30.896557
1,27.152664
2,26.033758
3,25.330750
4,24.954523
5,24.766481
6,24.659801
7,24.498022
8,24.456436
9,24.292091
10,24.243307
11,24.130621
12,24.111652
13,24.098087
14,24.434511
15,24.184088
16,24.172932
17,24.354969
18,24.110975
19,24.620855
20,24.443390
21,24.833954
22,24.145550
23,23.914881
24,23.728199
25,23.674660
26,24.135950
27,24.229452
28,24.217543
29,24.252752
30,23.851105
31,23.675982
32,23.659033
33,24.579489
34,24.424948
35,23.932148
36,24.612789
37,24.421614
38,24.332966
39,24.274321
40,24.265230
41,23.845230
42,23.728668
43,23.600065
44,23.575998
45,24.163446
46,24.084827
47,24.237507
48,24.182570
49,23.724051
50,23.589176
51,23.498659
52,23.481150
53,24.431091
54,24.255455
55,23.823093
56,23.697691
57,23.577524
58,24.088812
59,23.768621
60,23.739628
61,23.902655
62,23.980284
63,23.985020
64,24.527554
65,23.893980
66,24.037830
67,23.763447
68,23.804361
69,23.649361
70,23.984268
71,23.636715
72,23.996054
73,23.563177
74,23.614185
75,23.839655
76,23.646963
77,23.531534
78,23.902552
79,23.944080
80,23.953091
81,23.931200
82,23.960831
83,23.945436
84,24.029814
85,23.912151
86,23.854912
87,23.914396
88,23.858967
89,23.949358
90,23.946875
91,23.786522
92,23.805042
93,23.776730
94,23.787085
95,23.757080
96,23.563747
97,23.728497
98,23.777485
99,23.835455
100,23.906204
101,23.856337
102,23.869408
103,23.894821
104,23.933014
105,23.896931
106,23.911604
107,23.907755
108,23.955780
109,23.856890
110,23.978228
111,23.953501
112,23.900911
113,23.868601
114,23.860485
115,23.801928
116,23.838800
117,23.821806
118,23.780106
119,23.786501
120,23.821966
121,23.844547
122,23.827961
123,23.870840
124,23.759218
125,23.795107
126,23.790524
127,23.817711
128,23.795187
129,23.861029
130,23.840143
131,23.895657
132,23.949408
133,23.968643
134,24.003832
135,24.179850
136,23.969198
137,23.910917
138,23.909824
139,23.896704
140,23.793926
141,23.898121
142,23.898457
143,23.857609
144,23.820482
145,23.794912
146,23.788853
147,23.758167
148,23.723682
149,23.754383
150,23.766760
151,23.844429
152,23.812075
153,23.778820
154,23.730801
155,23.794855
156,23.768755
157,23.825460
158,23.860100
159,23.836290
160,23.818266
161,23.817883
162,23.700695
163,23.745119
164,23.686062
165,23.772068
166,23.845425
167,23.873814
168,23.852268
169,23.795990
170,23.855509
171,23.800659
172,23.853605
173,23.754509
174,23.542212
175,23.708984
176,23.752930
177,23.726370
178,23.824734
179,23.769217
180,23.799812
181,23.832769
182,23.932829
183,23.805080
184,23.849474
185,23.586496
186,23.854609
187,23.803200
188,23.743162
189,23.579754
190,23.503418
191,23.406025
192,23.372931
193,23.337963
194,23.328854
195,23.330677
196,23.234257
197,23.342613
198,23.222326
199,23.338871
200,23.213869
201,23.270103
202,23.165382
203,23.199921
204,23.226702
205,23.205126
206,23.185341
207,23.205271
208,23.163994
209,23.220110
210,23.195480
211,23.738920
212,23.467474
213,23.280718
214,23.283863
215,23.303410
216,23.330536
217,23.340199
218,23.322828
219,23.240910
220,23.256258
221,23.228460
222,23.246344
223,23.175697
224,23.320667
225,23.154083
226,23.183002
227,23.150999
228,23.158051
229,23.116455
230,23.116974
231,23.139648
232,23.211691
233,23.266926
234,23.259857
235,23.234629
236,23.171448
237,23.154490
238,23.196396
239,23.195194
240,23.106993
241,23.144377
242,23.117800
243,23.138050
244,23.169786
245,23.106192
246,23.206547
247,23.111448
248,23.116793
249,23.147020
250,29.293299
251,26.585152
252,25.672121
253,25.172272
254,24.952858
255,24.694622
256,24.495071
257,24.363476
258,24.274490
259,24.139908
260,24.125198
261,23.956476
262,23.933077
263,23.948624
264,23.915976
265,23.937326
266,23.907930
267,23.939842
268,23.858856
269,23.813004
270,23.808540
271,23.784822
272,23.747450
273,23.722744
274,23.674320
275,23.723654
276,23.616594
277,23.641449
278,23.602213
279,23.554848
280,23.498207
281,23.446653
282,23.476042
283,23.495893
284,23.486921
285,23.473890
286,23.344021
287,23.427597
288,23.397501
289,23.353533
290,23.427841
291,23.405800
292,23.395586
293,23.345207
294,23.357866
295,23.377445
296,23.394613
297,23.332151
298,23.480392
299,23.375599
300,23.423765
301,23.394054
302,23.426470
303,23.432287
304,23.458181
305,23.402996
306,23.415392
307,23.309692
308,23.352974
309,23.344889
310,23.449787
311,23.396181
312,23.965818
313,23.972847
314,23.960644
315,23.889242
316,24.011293
317,23.635139
318,23.925638
319,23.962244
320,24.034977
321,24.045502
322,23.992727
323,24.005524
324,23.657431
325,23.546711
326,23.448709
327,23.444557
328,23.445820
329,23.508457
330,23.522511
331,23.398384
332,23.392824
333,23.407637
334,23.413525
335,23.441704
336,23.437250
337,23.500761
338,23.408712
339,23.322474
340,23.316832
341,23.325840
342,23.392950
343,23.460489
344,23.421743
345,23.423084
346,23.378237
347,23.389677
348,23.364197
349,23.280476
350,23.424314
351,23.330992
352,23.334770
353,23.333330
354,23.365129
355,23.368610
356,23.338961
357,23.311346
358,23.349247
359,23.376442
360,23.293079
361,23.312279
362,23.490311
363,23.451904
364,23.827717
365,23.953869
366,24.051641
367,23.999807
368,24.012791
369,23.762598
370,23.682577
371,23.612101
372,23.589584
373,23.628380
374,23.572159
375,23.925364
376,23.886524
377,23.770479
378,23.938274
379,23.965620
380,24.021690
381,24.065920
382,24.028341
383,24.024160
384,23.986870
385,24.060562
386,24.040512
387,24.246881
388,24.107822
389,24.100800
390,24.132038
391,24.157234
392,23.952288
393,24.151640
394,24.073502
395,24.135710
396,24.148933
397,24.206362
398,24.395500
399,24.353994
400,24.441977
401,24.331221
402,24.229342
403,24.111015
404,24.191103
405,24.225300
406,24.366470
407,24.447203
408,24.515854
409,24.489658
410,24.463247
411,24.256151
412,24.519323
413,24.284796
414,24.348093
415,24.421963
416,24.593561
417,24.537338
418,24.585876
419,24.541004
420,24.473930
421,24.320152
422,24.284441
423,24.336313
424,24.274168
425,24.277340
426,24.216860
427,24.176081
428,24.169453
429,24.287418
430,24.198082
431,24.378824
432,24.228323
433,24.335276
434,24.260958
435,24.262987
436,24.155199
437,24.440262
438,24.318609
439,24.318199
440,24.221525
441,24.214518
442,23.919220
443,24.050692
444,24.014074
445,24.235168
446,24.271782
447,24.454323
448,24.518944
449,24.476402
450,24.442080
451,24.306829
452,24.221643
453,24.238327
454,24.260887
455,24.227335
456,24.183264
457,24.143660
458,24.135174
459,24.107452
460,24.195393
461,24.292276
462,24.443901
463,24.408169
464,24.227573
465,24.071821
466,24.054018
467,23.897207
468,23.943624
469,23.762232
470,23.953104
471,24.141611
472,24.250740
473,24.305500
474,24.185987
475,24.075291
476,23.845901
477,23.945589
478,23.967398
479,24.024878
480,23.985954
481,24.025082
482,24.112715
483,24.075800
484,24.066410
485,24.023256
486,23.698206
487,23.959400
488,23.984493
489,23.998894
490,23.989857
491,24.029362
492,24.017818
493,24.078970
494,24.073456
495,24.100672
496,24.077988
497,24.045090
498,24.072969
499,24.054928
average,23.880434
