frame,value
0,0.840960
1,0.810890
2,0.794602
3,0.779967
4,0.774333
5,0.771814
6,0.766812
7,0.756356
8,0.749318
9,0.739659
10,0.731794
11,0.723989
12,0.720592
13,0.719957
14,0.759071
15,0.747677
16,0.741843
17,0.761057
18,0.741002
19,0.729465
20,0.714172
21,0.747510
22,0.730647
23,0.714131
24,0.701852
25,0.692068
26,0.682106
27,0.675443
28,0.669519
29,0.669277
30,0.670591
31,0.669916
32,0.669816
33,0.716401
34,0.700436
35,0.690233
36,0.715914
37,0.696075
38,0.681089
39,0.669104
40,0.662813
41,0.657715
42,0.653185
43,0.649477
44,0.648396
45,0.651559
46,0.646530
47,0.648462
48,0.644450
49,0.641825
50,0.639038
51,0.635480
52,0.631588
53,0.704108
54,0.687013
55,0.673514
56,0.664403
57,0.662849
58,0.659427
59,0.657943
60,0.657383
61,0.708151
62,0.715274
63,0.718697
64,0.723412
65,0.705813
66,0.721232
67,0.703952
68,0.697199
69,0.684136
70,0.717772
71,0.696193
72,0.716150
73,0.692326
74,0.685622
75,0.710701
76,0.697425
77,0.686315
78,0.715881
79,0.720029
80,0.721680
81,0.720664
82,0.717595
83,0.715670
84,0.718096
85,0.714224
86,0.712028
87,0.714336
88,0.714216
89,0.718465
90,0.719067
91,0.716772
92,0.717787
93,0.717332
94,0.717999
95,0.717088
96,0.701360
97,0.712735
98,0.712934
99,0.712791
100,0.713793
101,0.713634
102,0.716531
103,0.719800
104,0.721404
105,0.720999
106,0.720872
107,0.720354
108,0.721966
109,0.719725
110,0.723695
111,0.721766
112,0.718884
113,0.714170
114,0.712272
115,0.710614
116,0.711882
117,0.711322
118,0.711408
119,0.712330
120,0.713311
121,0.716852
122,0.717317
123,0.719903
124,0.715085
125,0.713842
126,0.710121
127,0.709198
128,0.708139
129,0.707191
130,0.704436
131,0.705262
132,0.707713
133,0.710446
134,0.714388
135,0.719933
136,0.712808
137,0.710265
138,0.707829
139,0.706232
140,0.703551
141,0.704511
142,0.701798
143,0.700021
144,0.698551
145,0.695870
146,0.695716
147,0.696820
148,0.697190
149,0.700147
150,0.699935
151,0.702420
152,0.702823
153,0.701150
154,0.698094
155,0.698164
156,0.695845
157,0.696043
158,0.698703
159,0.696518
160,0.692793
161,0.693109
162,0.690231
163,0.691611
164,0.691172
165,0.695356
166,0.697387
167,0.698462
168,0.700093
169,0.699294
170,0.701672
171,0.700223
172,0.700213
173,0.695055
174,0.675989
175,0.689869
176,0.693614
177,0.693665
178,0.695895
179,0.696218
180,0.697980
181,0.701460
182,0.705034
183,0.700303
184,0.701021
185,0.682566
186,0.699142
187,0.698186
188,0.695832
189,0.678815
190,0.668643
191,0.658379
192,0.653376
193,0.647573
194,0.645412
195,0.643070
196,0.638494
197,0.638799
198,0.634250
199,0.634254
200,0.629767
201,0.630611
202,0.626839
203,0.628070
204,0.627091
205,0.626260
206,0.623379
207,0.625085
208,0.622269
209,0.623757
210,0.622292
211,0.689595
212,0.674495
213,0.662150
214,0.657423
215,0.653327
216,0.650671
217,0.650962
218,0.648462
219,0.644936
220,0.641656
221,0.639322
222,0.636687
223,0.630107
224,0.629463
225,0.622571
226,0.624849
227,0.622179
228,0.621311
229,0.618446
230,0.617488
231,0.615292
232,0.614439
233,0.615003
234,0.613023
235,0.613525
236,0.612181
237,0.612537
238,0.613440
239,0.615478
240,0.612587
241,0.613806
242,0.615095
243,0.613845
244,0.615944
245,0.613886
246,0.613677
247,0.609554
248,0.609553
249,0.609811
250,0.823047
251,0.791195
252,0.773206
253,0.759504
254,0.751728
255,0.744090
256,0.737306
257,0.728298
258,0.721332
259,0.709269
260,0.704863
261,0.695858
262,0.694263
263,0.690943
264,0.688684
265,0.690047
266,0.691144
267,0.693869
268,0.692978
269,0.692988
270,0.693949
271,0.692082
272,0.688413
273,0.685579
274,0.680937
275,0.679422
276,0.674548
277,0.672350
278,0.670586
279,0.667558
280,0.663076
281,0.656981
282,0.652617
283,0.649508
284,0.647002
285,0.645159
286,0.641755
287,0.644854
288,0.643198
289,0.641241
290,0.641516
291,0.638350
292,0.636710
293,0.636460
294,0.638085
295,0.639247
296,0.639597
297,0.637725
298,0.643559
299,0.637047
300,0.637503
301,0.637396
302,0.640245
303,0.643283
304,0.644758
305,0.641540
306,0.641261
307,0.638411
308,0.638967
309,0.636061
310,0.639712
311,0.637760
312,0.705725
313,0.711425
314,0.712252
315,0.711273
316,0.712512
317,0.688278
318,0.704585
319,0.705604
320,0.707171
321,0.707987
322,0.705294
323,0.704479
324,0.679467
325,0.667213
326,0.657893
327,0.652000
328,0.649040
329,0.649887
330,0.649732
331,0.646165
332,0.645246
333,0.645078
334,0.645973
335,0.645774
336,0.645488
337,0.647546
338,0.643206
339,0.640952
340,0.640002
341,0.639401
342,0.639954
343,0.642547
344,0.641903
345,0.641073
346,0.639686
347,0.639320
348,0.637856
349,0.635240
350,0.638477
351,0.634697
352,0.635480
353,0.636212
354,0.637091
355,0.637563
356,0.636920
357,0.637840
358,0.638654
359,0.639872
360,0.638595
361,0.638127
362,0.644047
363,0.643683
364,0.699397
365,0.709939
366,0.714791
367,0.715696
368,0.716160
369,0.697125
370,0.686841
371,0.679099
372,0.673318
373,0.670619
374,0.666103
375,0.704511
376,0.708899
377,0.694619
378,0.710592
379,0.712143
380,0.714116
381,0.716626
382,0.716001
383,0.716356
384,0.714704
385,0.716572
386,0.717415
387,0.724892
388,0.720691
389,0.719600
390,0.720170
391,0.720161
392,0.715812
393,0.720399
394,0.720147
395,0.720694
396,0.721541
397,0.724008
398,0.729656
399,0.727259
400,0.731914
401,0.728430
402,0.726134
403,0.723685
404,0.725301
405,0.727568
406,0.731410
407,0.733305
408,0.733390
409,0.734211
410,0.734445
411,0.731335
412,0.739230
413,0.731914
414,0.733079
415,0.732864
416,0.736920
417,0.735606
418,0.735641
419,0.732688
420,0.733409
421,0.731329
422,0.732367
423,0.734234
424,0.731533
425,0.734056
426,0.730111
427,0.730191
428,0.728750
429,0.731175
430,0.729775
