frame,value
0,0.953237
1,0.928095
2,0.916993
3,0.906932
4,0.902677
5,0.901402
6,0.899593
7,0.896312
8,0.894866
9,0.889980
10,0.886774
11,0.883528
12,0.881610
13,0.880774
14,0.891465
15,0.885699
16,0.884614
17,0.889803
18,0.882765
19,0.888513
20,0.882020
21,0.890726
22,0.877902
23,0.870319
24,0.865806
25,0.863472
26,0.868364
27,0.868980
28,0.866496
29,0.866424
30,0.860808
31,0.858027
32,0.857926
33,0.879538
34,0.873608
35,0.861809
36,0.878167
37,0.871219
38,0.867484
39,0.864606
40,0.863158
41,0.853454
42,0.849360
43,0.845535
44,0.843796
45,0.855062
46,0.853099
47,0.855869
48,0.854876
49,0.845549
50,0.840971
51,0.837862
52,0.836192
53,0.872207
54,0.866515
55,0.857843
56,0.853118
57,0.849776
58,0.858365
59,0.851783
60,0.848920
61,0.860078
62,0.863280
63,0.863405
64,0.874086
65,0.860543
66,0.866135
67,0.858178
68,0.856618
69,0.850909
70,0.863241
71,0.852526
72,0.861865
73,0.848700
74,0.847153
75,0.858037
76,0.851404
77,0.846687
78,0.859694
79,0.861672
80,0.860989
81,0.860261
82,0.860415
83,0.860021
84,0.861151
85,0.858252
86,0.856554
87,0.858563
88,0.857372
89,0.859811
90,0.860760
91,0.857437
92,0.857975
93,0.857298
94,0.856896
95,0.856294
96,0.849319
97,0.854352
98,0.854656
99,0.854708
100,0.855878
101,0.855201
102,0.856911
103,0.858150
104,0.859893
105,0.859853
106,0.860750
107,0.861038
108,0.863009
109,0.860526
110,0.862548
111,0.861074
112,0.858973
113,0.856508
114,0.854556
115,0.851995
116,0.851807
117,0.851319
118,0.850567
119,0.850661
120,0.852581
121,0.854825
122,0.855235
123,0.857000
124,0.854807
125,0.853987
126,0.851460
127,0.851973
128,0.850796
129,0.852388
130,0.851764
131,0.852113
132,0.853639
133,0.855647
134,0.858441
135,0.862536
136,0.857701
137,0.855864
138,0.854332
139,0.852864
140,0.849756
141,0.851962
142,0.852070
143,0.850246
144,0.848705
145,0.847752
146,0.847101
147,0.847304
148,0.846050
149,0.847449
150,0.848596
151,0.851297
152,0.851252
153,0.849745
154,0.846571
155,0.847140
156,0.845835
157,0.846445
158,0.846212
159,0.846496
160,0.845848
161,0.846118
162,0.843184
163,0.844493
164,0.843397
165,0.845553
166,0.848331
167,0.849635
168,0.850134
169,0.849273
170,0.849867
171,0.848101
172,0.848446
173,0.846463
174,0.836175
175,0.843048
176,0.844025
177,0.843729
178,0.847670
179,0.847527
180,0.848545
181,0.850418
182,0.853459
183,0.850618
184,0.851138
185,0.842059
186,0.848684
187,0.847193
188,0.845544
189,0.838104
190,0.833825
191,0.829408
192,0.827684
193,0.825751
194,0.825019
195,0.823680
196,0.819580
197,0.821394
198,0.816975
199,0.819653
200,0.816029
201,0.817495
202,0.814354
203,0.814673
204,0.814576
205,0.814137
206,0.812976
207,0.813939
208,0.812668
209,0.814669
210,0.814116
211,0.841173
212,0.833029
213,0.828000
214,0.827143
215,0.826553
216,0.827049
217,0.827084
218,0.826488
219,0.823764
220,0.823108
221,0.820544
222,0.819836
223,0.817014
224,0.819007
225,0.814807
226,0.815228
227,0.814859
228,0.815743
229,0.814698
230,0.813969
231,0.814393
232,0.816791
233,0.817322
234,0.816301
235,0.815956
236,0.814272
237,0.814342
238,0.815954
239,0.815546
240,0.813934
241,0.814444
242,0.814418
243,0.813948
244,0.815717
245,0.813670
246,0.815734
247,0.812891
248,0.813104
249,0.813756
250,0.941098
251,0.917862
252,0.906086
253,0.898657
254,0.895374
255,0.890211
256,0.887045
257,0.883562
258,0.880590
259,0.876350
260,0.874503
261,0.868962
262,0.867344
263,0.867298
264,0.865513
265,0.866049
266,0.865707
267,0.865761
268,0.863329
269,0.861894
270,0.861864
271,0.859818
272,0.858150
273,0.856545
274,0.855351
275,0.855382
276,0.851295
277,0.849784
278,0.847735
279,0.844909
280,0.842560
281,0.838596
282,0.838649
283,0.837648
284,0.836414
285,0.835070
286,0.831599
