frame,value
0,22.492481
1,21.345383
2,20.871880
3,20.454649
4,20.326860
5,20.229172
6,20.150045
7,20.062365
8,20.005217
9,19.888206
10,19.815491
11,19.760611
12,19.737902
13,19.766342
14,20.412485
15,20.139366
16,20.065172
17,20.441185
18,20.080978
19,19.975815
20,19.697166
21,20.310661
22,19.985212
23,19.766819
24,19.626154
25,19.577608
26,19.441021
27,19.408386
28,19.376144
29,19.435070
30,19.464958
31,19.414211
32,19.447538
33,20.106853
34,19.765079
35,19.643805
36,20.096193
37,19.777512
38,19.612831
39,19.481859
40,19.382877
41,19.372156
42,19.371151
43,19.288507
44,19.322607
45,19.425240
46,19.300934
47,19.388288
48,19.323792
49,19.262289
50,19.275759
51,19.244669
52,19.256376
53,19.958511
54,19.656961
55,19.513159
56,19.448902
57,19.388687
58,19.368980
59,19.417076
60,19.481041
61,20.040617
62,20.209263
63,20.270912
64,20.304056
65,19.928404
66,20.219263
67,19.894978
68,19.876286
69,19.670015
70,20.222626
71,19.813877
72,20.270552
73,19.767151
74,19.727467
75,20.125441
76,19.861935
77,19.664114
78,20.205978
79,20.295502
80,20.329266
81,20.282919
82,20.274925
83,20.254519
84,20.348154
85,20.249763
86,20.195507
87,20.261591
88,20.215508
89,20.273613
90,20.298540
91,20.159340
92,20.174719
93,20.126348
94,20.164427
95,20.150608
96,19.880411
97,20.079121
98,20.108568
99,20.140245
100,20.200151
101,20.180927
102,20.229259
103,20.306234
104,20.327339
105,20.294399
106,20.265409
107,20.266325
108,20.294268
109,20.206982
110,20.329079
111,20.301411
112,20.280254
113,20.183762
114,20.199306
115,20.123760
116,20.174480
117,20.179092
118,20.140642
119,20.182907
120,20.213247
121,20.257856
122,20.256832
123,20.292212
124,20.190510
125,20.215240
126,20.160658
127,20.180811
128,20.137182
129,20.177717
130,20.172520
131,20.208302
132,20.276770
133,20.322535
134,20.378231
135,20.502058
136,20.341230
137,20.255032
138,20.240950
139,20.199293
140,20.169256
141,20.248306
142,20.185831
143,20.189512
144,20.147690
145,20.136145
146,20.112410
147,20.109020
148,20.074829
149,20.101599
150,20.154182
151,20.247719
152,20.199873
153,20.164040
154,20.085051
155,20.128691
156,20.125366
157,20.206219
158,20.256613
159,20.184990
160,20.219500
161,20.200998
162,20.097481
163,20.135052
164,20.109232
165,20.203754
166,20.268803
167,20.294516
168,20.287527
169,20.251930
170,20.293177
171,20.221920
172,20.272015
173,20.136375
174,19.858866
175,20.107641
176,20.171673
177,20.120857
178,20.198057
179,20.196627
180,20.197805
181,20.256018
182,20.330849
183,20.213507
184,20.229612
185,19.881033
186,20.254286
187,20.177059
188,20.123533
189,19.825104
190,19.668076
191,19.511362
192,19.454136
