frame,value
0,0.841265
1,0.812274
2,0.795806
3,0.781788
4,0.776839
5,0.774414
6,0.770218
7,0.764180
8,0.759256
9,0.750736
10,0.744376
11,0.735510
12,0.730550
13,0.730697
14,0.762564
15,0.753316
16,0.748365
17,0.765975
18,0.747847
19,0.737690
20,0.724987
21,0.752406
22,0.738451
23,0.722897
24,0.711211
25,0.703628
26,0.692897
27,0.685414
28,0.681490
29,0.681196
30,0.682911
31,0.680657
32,0.681064
33,0.721978
34,0.706753
35,0.697013
36,0.718503
37,0.701098
38,0.686110
39,0.676224
40,0.669327
41,0.666059
42,0.662884
43,0.660760
44,0.659746
45,0.663558
46,0.658713
47,0.660133
48,0.656287
49,0.654383
50,0.651894
51,0.646615
52,0.643497
53,0.705114
54,0.689866
55,0.680110
56,0.673133
57,0.671795
58,0.669330
59,0.668644
60,0.668223
61,0.710687
62,0.719316
63,0.723826
64,0.726204
65,0.710482
66,0.725115
67,0.709974
68,0.704362
69,0.693423
70,0.722653
71,0.702726
72,0.721757
73,0.700468
74,0.694737
75,0.717965
76,0.705209
77,0.696022
78,0.721148
79,0.724387
80,0.725002
81,0.724196
82,0.723582
83,0.721774
84,0.722313
85,0.718966
86,0.718155
87,0.720107
88,0.721037
89,0.723628
90,0.724245
91,0.721164
92,0.721862
93,0.721321
94,0.721974
95,0.720498
96,0.706484
97,0.717709
98,0.716856
99,0.716195
100,0.718447
101,0.718310
102,0.719872
103,0.722193
104,0.726145
105,0.726061
106,0.726061
107,0.725158
108,0.727317
109,0.724410
110,0.726407
111,0.724096
112,0.721789
113,0.718272
114,0.716775
115,0.714837
116,0.714545
117,0.715211
118,0.714366
119,0.716217
120,0.717876
121,0.720089
122,0.720449
123,0.722413
124,0.719473
125,0.716316
126,0.711933
127,0.711437
128,0.709559
129,0.710728
130,0.708319
131,0.708986
132,0.712433
133,0.715155
134,0.718962
135,0.725426
136,0.719529
137,0.715668
138,0.714348
139,0.711392
140,0.708219
141,0.709557
142,0.706561
143,0.706689
144,0.704553
145,0.704056
146,0.701007
147,0.702304
148,0.702186
149,0.704526
150,0.705438
151,0.708122
152,0.708761
153,0.707265
154,0.704345
155,0.702625
156,0.701096
157,0.701983
158,0.701950
159,0.701519
160,0.700962
161,0.698638
162,0.697040
163,0.697398
164,0.697102
165,0.699875
166,0.702776
167,0.703056
168,0.704447
169,0.705479
170,0.707713
171,0.705442
172,0.706197
173,0.700317
174,0.682747
175,0.694615
176,0.698596
177,0.697937
178,0.701596
179,0.702453
180,0.705144
181,0.707693
182,0.711628
183,0.708840
184,0.709499
185,0.691705
186,0.707331
187,0.704524
188,0.701656
189,0.685723
190,0.676267
191,0.667513
192,0.663472
193,0.659635
194,0.657963
195,0.655005
196,0.650577
197,0.649883
198,0.646121
199,0.648192
200,0.642720
201,0.645807
202,0.641895
203,0.642462
204,0.641311
205,0.640417
206,0.638533
207,0.638645
208,0.636765
209,0.637900
210,0.636538
211,0.688021
212,0.674695
213,0.664587
214,0.660934
215,0.658463
216,0.657070
217,0.656285
218,0.653916
219,0.652206
220,0.647762
221,0.644804
222,0.643734
223,0.638555
224,0.641657
225,0.635870
226,0.634602
227,0.632564
228,0.632063
229,0.629266
230,0.630523
231,0.628967
232,0.628550
233,0.628485
234,0.627727
235,0.627032
236,0.626174
237,0.625727
238,0.626336
239,0.626296
240,0.624230
241,0.626881
242,0.627343
243,0.627824
244,0.627768
245,0.624958
246,0.626196
247,0.623647
248,0.622936
249,0.622427
250,0.824209
251,0.793899
252,0.776596
253,0.765258
254,0.758968
255,0.750168
256,0.743215
257,0.737404
258,0.730937
