frame,value
0,28.743851
1,25.789423
2,24.670164
3,23.959339
4,23.630754
5,23.410608
6,23.272652
7,23.066614
8,23.009998
9,22.849182
10,22.769789
11,22.648178
12,23.104454
13,23.195564
14,23.633858
15,23.389330
16,23.398891
17,23.589746
18,23.326075
19,23.296183
20,23.055792
21,23.440533
22,23.596519
23,23.180622
24,22.998396
25,22.937868
26,22.832474
27,22.815020
28,22.791983
29,22.829557
30,22.851336
31,22.782888
32,23.289103
33,23.774446
34,23.591867
35,23.193754
36,23.387257
37,23.106443
38,22.956141
39,23.291637
40,23.322950
41,23.403708
42,23.073858
43,22.920128
44,22.884287
45,22.959736
46,23.229275
47,23.397083
48,23.355822
49,22.977699
50,22.899178
51,22.828358
52,22.791662
53,23.159441
54,22.889898
55,22.793728
56,22.772085
57,22.755461
58,22.738237
59,22.804392
60,22.858057
61,23.115555
62,23.264801
63,23.293503
64,23.343672
65,23.044069
66,23.259266
67,23.023613
68,23.056812
69,22.921982
70,23.306135
71,22.933178
72,23.343454
73,22.887632
74,22.928972
75,23.180738
76,22.997253
77,23.299643
78,23.801092
79,23.521275
80,23.450737
81,23.386465
82,23.364853
83,23.319326
84,23.412445
85,23.305708
86,23.239073
87,23.294147
88,23.251986
89,23.343025
90,23.332319
91,23.174648
92,23.191687
93,23.173058
94,23.174326
95,23.154013
96,22.943510
97,23.129896
98,23.141987
99,23.183434
100,23.273514
101,23.239494
102,23.255835
103,23.271585
104,23.306541
105,23.302898
106,23.273260
107,23.260126
108,23.300207
109,23.209253
110,23.349360
111,23.322309
112,23.257240
113,23.250967
114,23.251348
115,23.182360
116,23.208849
117,23.211761
118,23.174311
119,23.188709
120,23.196995
121,23.232588
122,23.215361
123,23.263540
124,23.168837
125,23.167688
126,23.168648
127,23.185343
128,23.173836
129,23.255041
130,23.201242
131,23.250559
132,23.314808
133,23.321314
134,23.396841
135,23.566410
136,23.335609
137,23.264357
138,23.287512
139,23.231922
140,23.158003
141,23.250710
142,23.217783
143,23.200668
144,23.194159
145,23.139452
146,23.151205
147,23.151045
148,23.136604
149,23.152025
150,23.156965
151,23.242851
152,23.198748
153,23.172693
154,23.107887
155,23.154999
156,23.139238
157,23.200090
158,23.256741
159,23.203615
160,23.199192
161,23.205343
162,23.093060
163,23.100649
164,23.064186
165,23.151951
166,23.215998
167,23.250277
168,23.252434
169,23.171501
170,23.242880
171,23.170725
172,23.244379
173,23.109827
174,22.881302
175,23.045166
176,23.120501
177,23.074842
178,23.179712
179,23.138807
180,23.152306
181,23.216135
182,23.302341
183,23.175287
184,23.209269
185,22.941103
186,23.236769
187,23.164574
188,23.112288
189,22.936239
190,22.837767
191,22.747837
192,22.726990
193,22.678595
194,22.692703
195,22.677439
196,22.623539
197,22.697472
198,22.590616
199,22.714678
200,22.557281
201,23.070499
202,22.700119
203,23.077669
204,23.147205
205,22.821499
206,22.713449
207,22.687885
208,22.589741
209,22.653378
210,22.607458
211,23.119329
212,22.850929
213,22.661345
214,22.667772
215,23.076139
216,23.194227
217,22.889395
218,22.811716
219,22.699505
220,22.689085
221,22.672081
222,22.658091
223,22.576063
224,22.701757
225,22.533375
226,22.566059
227,22.507385
228,22.505146
229,22.463503
230,22.473600
231,22.491356
232,22.519363
233,22.606649
234,22.562588
235,22.546057
236,22.476343
237,22.473448
238,22.500923
239,22.520763
240,22.437828
241,22.489882
242,22.477852
243,22.477743
244,22.508698
245,22.450493
246,22.535692
247,22.444067
248,22.446859
249,22.480919
250,29.293299
251,26.424965
252,25.378464
253,24.837624
254,24.578539
255,24.272757
256,24.060030
257,23.868313
258,23.771629
259,23.614155
260,23.572104
261,23.420731
262,23.388119
263,23.377728
264,23.364939
265,23.367010
266,23.361835
267,23.380367
268,23.308685
269,23.273144
270,23.242029
271,23.213665
272,23.154911
273,23.118361
274,23.083979
275,23.136328
276,23.033846
277,23.053997
278,23.008526
279,22.953897
280,22.890314
281,22.859076
282,22.859411
283,22.885405
284,22.861986
285,22.860168
286,22.776785
287,22.864981
288,22.808283
289,22.745735
290,22.807585
291,22.762377
292,22.770140
293,22.735655
294,22.738644
295,22.756062
296,22.756548
297,22.710724
298,22.842627
299,22.731873
300,22.786999
301,22.773149
302,22.812559
303,22.820198
304,22.816814
305,22.783575
306,22.769600
307,22.657682
308,22.727356
309,22.704325
310,22.813684
311,22.792070
312,23.356606
313,23.367941
314,23.368715
315,23.281641
316,23.411253
317,22.996336
318,23.319263
319,23.326805
320,23.370195
321,23.410564
322,23.368288
323,23.386385
324,23.020227
325,22.886576
326,22.792236
327,22.803997
328,22.784250
329,22.849171
330,22.872671
331,22.730125
332,22.734396
333,22.724918
334,22.757502
335,23.198776
336,22.927649
337,22.938610
338,22.830488
339,22.724009
340,22.695126
341,22.699911
342,22.767069
343,22.819273
344,23.196224
345,23.304625
346,23.290598
347,22.997923
348,22.917221
349,22.770374
350,22.883137
351,22.756697
352,22.757715
353,22.762081
354,22.776304
355,22.767122
356,22.725824
357,22.713186
358,22.727262
359,22.770397
360,22.694185
361,22.708710
362,22.875040
363,23.247494
364,23.710903
365,23.880236
366,23.998835
367,23.675186
368,23.592136
369,23.290304
370,23.161842
371,23.039257
372,23.031210
373,23.018337
374,23.413099
375,23.480806
376,23.408133
377,23.219868
378,23.390665
379,23.396751
380,23.449421
381,23.471586
382,23.442144
383,23.417509
384,23.403896
385,23.456705
386,23.426842
387,23.670658
388,23.528149
389,23.531181
390,23.569532
391,23.579205
392,23.367926
393,23.604492
394,23.498297
395,23.557936
396,23.560194
397,23.629646
398,23.817467
399,23.770937
400,23.863108
401,23.752533
402,23.659176
403,23.553938
404,23.616894
405,23.645624
406,23.787146
407,23.871773
408,23.970003
409,23.906837
410,23.885122
411,23.685122
412,23.925692
413,23.683044
414,23.787119
415,23.852423
416,24.020525
417,23.948605
418,24.029552
419,23.995327
420,23.947659
421,23.781252
422,23.743240
423,23.770437
424,23.727079
425,23.736105
426,23.658390
427,23.582926
428,23.566395
429,23.676605
430,23.620373
431,23.755819
432,23.647081
433,23.737358
434,23.671560
435,23.670748
436,23.543623
437,23.855095
438,23.703783
439,23.727329
440,23.626179
441,23.607317
442,23.308123
443,23.433945
444,23.385090
445,23.631489
446,23.677385
447,23.863159
448,23.941231
449,23.895449
450,23.875246
451,23.734257
452,23.653307
453,23.668036
454,23.678440
455,23.612808
456,23.566099
457,23.520231
458,23.511019
459,23.501560
460,23.583107
461,23.679985
462,23.835953
463,23.810556
464,23.642859
465,23.478466
466,23.435455
467,23.306673
468,23.323435
469,23.133974
470,23.294878
471,23.525986
472,23.632275
473,23.714373
474,23.549326
475,23.468220
476,23.202286
477,23.322466
478,23.349281
479,23.407089
480,23.360346
481,23.421465
482,23.502178
483,23.475210
484,23.474411
485,23.437708
486,23.096172
487,23.346455
488,23.370977
489,23.402048
490,23.393465
491,23.440907
492,23.410091
493,23.448820
