frame,value
0,26.538858
1,25.316381
2,24.654770
3,24.293636
4,24.141096
5,24.620712
6,24.720001
7,24.659758
8,25.502815
9,25.511017
10,25.564713
11,25.524988
12,25.577322
13,25.618137
14,25.942255
15,25.736958
16,25.800972
17,25.952278
18,25.775526
19,25.801487
20,25.557804
21,26.326719
22,25.806948
23,25.644205
24,25.528717
25,25.528515
26,25.427395
27,25.481455
28,25.475206
29,25.506550
30,25.553070
31,25.495853
32,25.542292
33,25.857958
34,25.648737
35,25.621183
36,25.841648
37,25.671541
38,25.580475
39,25.528887
40,24.885944
41,24.749033
42,24.670210
43,25.315981
44,25.429596
45,25.570961
46,25.432594
47,25.546030
48,24.885384
49,25.362360
50,24.794807
51,25.327070
52,25.416285
53,25.092793
54,24.718645
55,24.588661
56,24.531990
57,25.237488
58,24.704544
59,25.370684
60,25.514627
61,25.671982
62,25.241758
63,25.773151
64,25.839600
65,25.618578
66,25.809948
67,25.640848
68,25.756638
69,25.622385
70,25.314156
71,24.823465
72,25.121248
73,24.621487
74,24.664492
75,25.580032
76,25.546690
77,25.495615
78,25.862200
79,25.879128
80,25.335545
81,25.804604
82,25.867718
83,25.883162
84,25.972139
85,25.884041
86,25.820387
87,25.890064
88,25.828821
89,25.922497
90,25.926037
91,25.758757
92,25.778257
93,25.742552
94,25.749094
95,25.699648
96,25.594643
97,25.726084
98,25.756680
99,25.822083
100,25.893223
101,25.824408
102,25.838749
103,25.842848
104,25.894728
105,25.880426
106,25.858723
107,25.873808
108,25.952896
109,25.820721
110,25.950178
111,25.922846
112,25.875191
113,25.856562
114,25.840631
115,25.794203
116,25.839149
117,25.807251
118,25.766649
119,25.773178
120,25.784409
121,25.830919
122,25.772429
123,25.844105
124,25.749262
125,25.758715
126,25.742640
127,25.800217
128,25.797182
129,25.872854
130,25.847935
131,25.891171
132,25.942007
133,25.952923
134,25.984955
135,26.179232
136,25.937416
137,25.299110
138,25.129267
139,25.015858
140,25.592321
141,25.765259
142,25.776556
143,25.761803
144,25.794704
145,25.756361
146,25.737637
147,25.734650
148,25.695650
149,25.714891
150,25.690544
151,25.783428
152,25.768631
153,25.750237
154,25.693758
155,25.763147
156,25.712395
157,25.778275
158,25.825771
159,25.786116
160,25.804955
161,25.210793
162,24.945652
163,25.592419
164,25.023067
165,25.599506
166,25.191088
167,25.691034
168,25.750563
169,25.163902
170,25.727736
171,25.717621
172,25.818703
173,25.071817
174,24.740311
175,25.507935
176,25.056362
177,25.535975
178,25.688221
179,25.092293
180,25.013603
181,24.953680
182,25.008522
183,25.568163
184,25.101192
185,24.721495
186,25.610947
187,25.606346
188,25.622616
189,24.926388
190,24.733105
191,25.272232
192,24.699642
193,25.261038
194,25.301640
195,24.740921
196,25.230116
197,24.772480
198,24.510342
199,25.272036
200,25.146782
201,24.702549
202,24.460230
203,25.124268
204,25.207035
205,24.626959
206,24.463066
207,25.151176
208,25.144035
209,25.252365
210,24.678604
211,25.653948
212,24.842796
213,24.547815
214,24.480148
215,25.164375
216,25.292351
217,25.350945
218,24.770426
219,24.543003
220,24.475285
221,25.143702
222,24.622156
223,25.148191
224,24.738222
225,24.425993
226,25.086542
227,24.527908
228,25.099665
229,24.494368
230,24.380276
231,24.320980
232,25.078066
233,24.634186
234,25.192574
235,24.629793
236,24.426060
237,25.055988
238,24.562506
239,24.425243
240,24.268766
241,24.260012
242,24.202381
243,24.977289
244,24.515039
245,25.011812
246,24.586105
247,25.035572
248,25.093828
249,24.548750
250,30.047935
251,27.785767
252,27.132511
253,26.758936
254,26.608618
255,26.408930
256,25.650389
257,25.381407
258,25.249348
259,25.057199
260,25.076328
261,25.661919
262,25.736130
263,25.814777
264,25.784721
265,25.812246
266,25.812115
267,25.846649
268,25.774471
269,25.740946
270,25.739006
271,25.740513
272,25.708778
273,25.695707
274,25.690519
275,25.730736
276,25.623640
277,25.634901
278,25.585978
279,25.534214
280,25.506247
281,25.447149
282,24.911797
283,24.763525
284,24.678999
285,25.320070
286,25.310356
287,25.438173
288,25.419186
289,24.801102
290,24.722334
291,25.306704
292,25.355949
293,25.331053
294,25.389547
295,24.816626
296,24.668301
297,25.235889
298,25.472263
299,25.367682
300,25.430483
301,24.872942
302,25.365475
303,25.432791
304,25.453932
305,25.420397
306,25.445988
307,25.347500
308,24.832808
309,24.652725
310,24.632914
311,25.220798
312,25.753136
313,25.784128
314,25.796207
315,25.130295
316,25.133575
317,24.699835
318,24.915371
319,24.912119
320,24.946291
321,24.936783
322,24.889214
323,24.901493
324,24.559971
325,24.476570
326,24.377537
327,25.132853
328,25.243822
329,25.372204
330,25.430006
331,25.337490
332,25.369499
333,25.393417
334,25.403631
335,25.432522
336,25.454470
337,25.515614
338,25.455750
339,25.324427
340,25.342110
341,25.330534
342,24.896215
343,24.802076
344,25.337185
345,25.387877
346,24.793373
347,25.313726
348,24.782640
349,25.202238
350,25.386789
351,25.321444
352,24.794512
353,24.657677
354,24.593386
355,25.245163
356,25.275620
357,25.313105
358,25.336235
359,25.397196
360,25.314745
361,25.334455
362,25.523197
363,25.472811
364,25.736179
365,25.308720
366,25.271959
367,25.112640
368,25.725309
369,25.589462
370,25.583427
371,25.541586
372,25.551079
373,25.592501
374,25.567598
375,25.831478
376,25.792473
377,25.165642
378,25.156494
379,25.088060
380,25.066675
381,25.721087
382,25.785454
383,25.818054
384,25.817186
385,25.896381
386,25.345690
387,25.439709
388,25.194115
389,25.787445
390,25.895117
391,25.951757
392,25.757309
393,25.980062
394,25.908724
395,25.982544
396,25.441713
397,25.970421
398,26.183342
399,26.145769
400,26.261654
401,26.143305
402,26.064407
403,25.964025
404,25.516949
405,26.007046
406,25.640394
407,26.162512
408,26.272289
409,25.725143
410,26.182196
411,26.009979
412,25.464252
413,25.353527
414,26.025843
415,26.163137
416,26.348135
417,26.310831
418,25.840729
419,25.675552
420,25.532270
421,25.319126
422,25.249134
423,25.265757
424,25.188015
425,25.202665
426,25.128302
427,25.074894
428,25.062445
429,25.153774
430,25.075542
431,25.916281
432,25.910980
433,26.102650
434,26.042427
435,26.068140
436,25.988726
437,25.779266
438,25.489883
439,25.423697
440,25.282690
441,25.224375
442,24.900785
443,25.030827
444,24.974293
445,25.819164
446,25.982750
447,26.203466
448,26.307974
449,26.272648
450,26.271547
451,26.135946
452,26.049900
453,25.557566
454,26.048069
455,25.447149
456,25.917376
457,25.930399
458,25.940580
459,25.944241
460,26.047979
461,26.149342
462,26.313345
463,26.255186
464,26.084389
465,25.946360
466,25.920248
467,25.806374
468,25.856789
469,25.747400
470,25.873810
471,26.063988
472,26.121264
473,26.199200
474,26.079540
475,25.947275
476,25.775881
477,25.844173
478,25.870861
479,25.944050
480,25.902967
481,25.937431
482,26.005526
483,25.972536
484,25.970165
485,25.912817
486,25.652864
487,25.892370
488,25.904579
489,25.940357
490,25.934267
491,25.973839
492,25.948124
493,25.455116
494,25.905024
495,25.433210
496,25.288054
497,25.779640
498,25.882046
499,25.925827
average,25.482307
