frame,value
0,0.872055
1,0.839180
2,0.818248
3,0.801007
4,0.795903
5,0.791877
6,0.787080
7,0.778830
8,0.783704
9,0.764207
10,0.754801
11,0.746413
12,0.742351
13,0.741130
14,0.775242
15,0.764621
16,0.759319
17,0.777487
18,0.758161
19,0.745890
20,0.747251
21,0.765365
22,0.748862
23,0.732813
24,0.720862
25,0.711999
26,0.702251
27,0.694711
28,0.691991
29,0.691330
30,0.707329
31,0.709263
32,0.712138
33,0.755855
34,0.735402
35,0.720433
36,0.740087
37,0.719591
38,0.705822
39,0.693723
40,0.718253
41,0.700722
42,0.720154
43,0.720804
44,0.722977
45,0.726691
46,0.723569
47,0.707838
48,0.697630
49,0.691434
50,0.713921
51,0.716164
52,0.717701
53,0.765588
54,0.751239
55,0.742094
56,0.737640
57,0.735887
58,0.734538
59,0.735347
60,0.715705
61,0.736584
62,0.740577
63,0.767309
64,0.774087
65,0.761594
66,0.766236
67,0.751439
68,0.745307
69,0.745374
70,0.773729
71,0.756761
72,0.774991
73,0.756219
74,0.752463
75,0.772259
76,0.762053
77,0.752998
78,0.777162
79,0.779671
80,0.763807
81,0.775381
82,0.775698
83,0.775398
84,0.777904
85,0.765525
86,0.762301
87,0.762524
88,0.761549
89,0.764514
90,0.765397
91,0.761645
92,0.761615
93,0.760181
94,0.760359
95,0.759924
96,0.746635
97,0.756643
98,0.757208
99,0.756168
100,0.758047
101,0.757513
102,0.759837
103,0.761046
104,0.763083
105,0.763235
106,0.763698
107,0.762871
108,0.765536
109,0.763211
110,0.764686
111,0.763487
112,0.760919
113,0.757824
114,0.755587
115,0.753223
116,0.752083
117,0.751140
118,0.750397
119,0.751938
120,0.754663
121,0.757533
122,0.757244
123,0.758876
124,0.756086
125,0.754470
126,0.752135
127,0.750970
128,0.748228
129,0.748376
130,0.747634
131,0.747433
132,0.750198
133,0.752365
134,0.755200
135,0.760700
136,0.754603
137,0.752985
138,0.751701
139,0.747901
140,0.745062
141,0.747384
142,0.746015
143,0.744370
144,0.742948
145,0.741558
146,0.740534
147,0.740811
148,0.741628
149,0.743349
150,0.743865
151,0.746939
152,0.747393
153,0.745755
154,0.742087
155,0.741288
156,0.738903
157,0.740267
158,0.741043
159,0.739586
160,0.739423
161,0.739154
162,0.736075
163,0.735819
164,0.735544
165,0.739491
166,0.741780
167,0.743520
168,0.743216
169,0.743359
170,0.745308
171,0.742325
172,0.743771
173,0.738284
174,0.723219
175,0.735596
176,0.737550
177,0.736218
178,0.740822
179,0.740628
180,0.742715
181,0.745087
182,0.749002
183,0.745130
184,0.744935
185,0.729808
186,0.742606
187,0.739159
188,0.736084
189,0.721298
190,0.713773
191,0.706252
192,0.702730
193,0.701016
194,0.711663
195,0.713396
