frame,value
0,26.538858
1,25.407169
2,24.671761
3,24.305107
4,24.659685
5,25.469374
6,25.621889
7,25.613773
8,25.705080
9,25.626604
10,25.625347
11,26.029327
12,26.138132
13,26.226498
14,26.547812
15,26.361948
16,26.449074
17,26.592556
18,26.404634
19,26.429066
20,26.202702
21,26.492947
22,26.295677
23,26.224915
24,26.159676
25,26.155294
26,26.108288
27,26.134544
28,26.134686
29,26.177094
30,26.198364
31,26.161339
32,26.204941
33,26.515066
34,26.323614
35,26.328642
36,26.540049
37,26.337349
38,26.268616
39,26.224939
40,26.201365
41,26.225410
42,26.244148
43,26.210201
44,26.230612
45,26.331987
46,26.179070
47,26.276602
48,26.234474
49,26.172781
50,26.193377
51,26.164509
52,26.184343
53,26.040358
54,25.730770
55,25.661652
56,26.062889
57,26.086655
58,26.114252
59,26.205364
60,26.286430
61,26.403210
62,26.509556
63,26.158291
64,26.510574
65,26.317850
66,26.508272
67,25.990974
68,26.378626
69,25.897581
70,26.501766
71,25.856712
72,26.545633
73,25.784021
74,26.211880
75,25.987762
76,26.198160
77,25.784313
78,26.464777
79,26.124098
80,26.488827
81,26.110800
82,26.454338
83,26.128250
84,26.544573
85,26.084936
86,26.358683
87,26.104807
88,26.385714
89,26.145508
90,26.491272
91,26.391815
92,26.421576
93,26.393187
94,26.413271
95,26.352064
96,26.263582
97,26.391645
98,26.426685
99,26.483425
100,26.543583
101,26.504429
102,26.485661
103,26.522957
104,26.558886
105,26.527084
106,26.507557
107,26.503597
108,26.583624
109,26.475506
110,26.602524
111,26.578054
112,26.538168
113,26.543371
114,26.541578
115,26.491451
116,26.527020
117,26.498123
118,26.459061
119,26.459242
120,26.460037
121,26.489454
122,26.453812
123,26.523573
124,26.450922
125,26.448961
126,26.431829
127,26.475706
128,26.475330
129,26.544813
130,26.504938
131,26.556822
132,26.596870
133,26.609459
134,26.655991
135,26.843548
136,26.231722
137,26.073212
138,26.445314
139,26.081432
140,25.922909
141,25.980022
142,26.344887
143,26.396473
144,26.431898
145,26.414789
146,26.401943
147,26.406610
148,26.354753
149,26.377693
150,26.361149
151,26.468216
152,26.425423
153,26.401295
154,26.400560
155,26.447029
156,26.413261
157,26.452635
158,26.477970
159,26.461088
160,26.453552
161,26.453882
162,26.332703
163,26.382952
164,26.300049
165,26.388964
166,26.478245
167,26.477015
168,26.485443
169,26.400536
170,26.117458
171,26.374126
172,26.120157
173,26.265955
174,26.180450
175,26.291233
176,25.971071
177,26.254374
178,26.041479
179,26.282295
180,25.989182
181,26.361053
182,26.146410
183,26.321981
184,26.030258
185,26.120842
186,26.057055
187,26.286709
188,26.272488
189,26.181017
190,26.167564
191,26.101198
192,26.082523
193,26.058931
194,26.046349
195,26.112257
196,26.028578
197,26.149815
198,25.992580
199,26.157532
200,25.979326
201,26.065773
202,25.945402
203,25.993467
204,26.026878
205,26.024588
206,25.972103
207,26.013971
208,25.949213
209,26.001717
210,25.999571
211,26.385895
212,26.156769
213,26.006201
214,26.053688
215,26.074314
216,26.112242
217,26.130848
218,26.102375
219,26.036270
220,26.073433
221,26.044703
222,26.086248
223,26.006495
224,26.150812
225,25.974817
226,25.988295
227,25.972418
228,25.602539
229,25.858677
230,25.518234
231,25.448244
232,25.879383
233,25.992981
234,26.030342
235,25.637854
236,25.485363
237,25.847641
238,25.911690
239,25.939558
240,25.477488
241,25.424833
242,25.368490
243,25.771557
244,25.872520
245,25.825062
246,25.590277
247,25.398359
248,25.349451
249,25.763056
250,30.803141
251,28.144684
252,27.751408
253,27.374428
254,27.233458
255,26.660336
256,26.448917
257,26.316828
258,26.246511
259,26.109461
260,26.117462
261,26.380333
262,26.427847
263,26.488874
264,26.483255
265,26.480782
266,26.466877
267,26.499826
268,26.431417
269,26.402094
270,26.409300
271,26.395884
272,26.361649
273,26.362606
274,26.363045
275,26.401821
276,26.310741
277,26.307865
278,25.876312
279,26.160807
280,26.158720
281,25.724653
282,25.697334
283,25.666067
284,25.624727
285,26.010099
286,25.579372
287,26.043400
288,26.049517
289,25.662111
290,25.649702
291,25.564995
292,25.942884
293,25.948112
294,25.640617
295,25.552515
296,25.527046
297,25.438837
298,26.008570
299,25.981775
300,26.062752
301,26.041119
302,25.725863
303,26.034143
304,26.088764
305,26.056545
306,26.096264
307,25.615612
308,25.991110
309,25.650799
310,26.037769
311,26.049208
312,26.493658
313,26.127514
314,26.025429
315,25.854073
316,25.955128
317,25.618092
318,25.846828
319,25.875837
320,25.927771
321,25.959364
322,25.916559
323,25.918688
324,25.621899
325,25.544641
326,25.487837
327,25.938631
328,25.999870
329,26.106047
330,26.150023
331,26.042027
332,26.093433
333,26.085342
334,26.101208
335,26.169378
336,26.166115
337,26.229452
338,26.146914
339,26.032637
340,26.043718
341,25.668821
342,26.075811
343,26.187967
344,26.123543
