frame,value
0,0.896312
1,0.873670
2,0.856749
3,0.844253
4,0.839140
5,0.846076
6,0.845099
7,0.841196
8,0.838875
9,0.842135
10,0.841385
11,0.838513
12,0.837525
13,0.838139
14,0.855155
15,0.849593
16,0.848355
17,0.857233
18,0.848086
19,0.843710
20,0.834253
21,0.849372
22,0.840192
23,0.833488
24,0.828723
25,0.824949
26,0.820791
27,0.818838
28,0.816384
29,0.817457
30,0.819309
31,0.819153
32,0.820295
33,0.840772
34,0.831962
35,0.826064
36,0.839612
37,0.827978
38,0.821215
39,0.817402
40,0.813861
41,0.812858
42,0.812695
43,0.810479
44,0.809662
45,0.812871
46,0.809344
47,0.811769
48,0.810372
49,0.820285
50,0.813469
51,0.822225
52,0.811785
53,0.849274
54,0.833758
55,0.824146
56,0.831069
57,0.823516
58,0.830338
59,0.831874
60,0.823884
61,0.839221
62,0.852467
63,0.848914
64,0.848912
65,0.838405
66,0.846733
67,0.837514
68,0.835922
69,0.838842
70,0.855871
71,0.836677
72,0.846703
73,0.830610
74,0.828818
75,0.851676
76,0.846053
77,0.834746
78,0.839804
79,0.838061
80,0.854929
81,0.848110
82,0.845736
83,0.853347
84,0.848449
85,0.844415
86,0.841313
87,0.842512
88,0.842884
89,0.845605
90,0.846026
91,0.842904
92,0.842485
93,0.841735
94,0.842155
95,0.841090
96,0.832864
97,0.839856
98,0.839217
99,0.839457
100,0.840522
101,0.840473
102,0.842265
103,0.843881
104,0.845795
105,0.845476
106,0.845929
107,0.845974
108,0.847657
109,0.845643
110,0.847368
111,0.846426
112,0.851209
113,0.844137
114,0.841557
115,0.838723
116,0.837388
117,0.836216
118,0.835653
119,0.836144
120,0.837821
121,0.840185
122,0.840375
123,0.842873
124,0.840315
125,0.847580
126,0.839404
127,0.837188
128,0.835536
129,0.835397
130,0.834196
131,0.834890
132,0.837282
133,0.839414
134,0.841989
135,0.846933
136,0.850944
137,0.843284
138,0.840479
139,0.837748
140,0.833577
141,0.835144
142,0.833389
143,0.832462
144,0.831752
145,0.830542
146,0.829760
147,0.830454
148,0.829629
149,0.831174
150,0.831802
151,0.834484
152,0.834711
153,0.833719
154,0.840730
155,0.834794
156,0.832300
157,0.832635
158,0.832098
159,0.831262
160,0.830321
161,0.829616
162,0.827679
163,0.827344
164,0.826562
165,0.828940
166,0.832121
167,0.833392
168,0.833983
169,0.832996
170,0.834283
171,0.841345
172,0.835621
173,0.829674
174,0.817577
175,0.825043
176,0.826863
177,0.826665
178,0.829811
179,0.830037
180,0.831022
181,0.832881
182,0.836557
183,0.833441
184,0.833798
185,0.823606
186,0.831118
187,0.827935
188,0.826197
189,0.815935
190,0.811129
191,0.806979
192,0.803911
193,0.814784
194,0.816956
195,0.807835
196,0.814237
197,0.806840
198,0.812769
199,0.807502
200,0.800403
201,0.812063
202,0.801892
203,0.811716
204,0.795784
205,0.799539
206,0.809885
207,0.803010
208,0.810614
209,0.804516
210,0.801391
211,0.839774
212,0.832931
213,0.819392
214,0.815862
215,0.813631
216,0.812555
217,0.810609
218,0.821148
219,0.820950
220,0.821916
221,0.811665
222,0.807192
223,0.800776
224,0.815128
225,0.812618
226,0.814628
227,0.804690
228,0.801335
229,0.798409
230,0.796323
231,0.810028
232,0.801693
233,0.801264
234,0.799331
235,0.811408
236,0.801713
237,0.799877
238,0.812095
239,0.805429
240,0.801188
241,0.800474
242,0.811241
243,0.803211
244,0.802112
245,0.799677
246,0.799718
247,0.796931
248,0.785827
249,0.781233
250,0.920193
251,0.893951
252,0.878639
253,0.868281
254,0.863758
255,0.857575
256,0.852590
257,0.845619
258,0.840483
259,0.831498
260,0.842162
261,0.838091
262,0.837366
263,0.836968
264,0.836356
265,0.838440
266,0.838298
267,0.839799
268,0.839281
269,0.838134
270,0.838652
271,0.836609
272,0.834508
273,0.832116
274,0.830096
275,0.828887
276,0.825104
277,0.822705
278,0.820462
279,0.818181
280,0.815199
281,0.812033
282,0.810983
283,0.809188
284,0.807170
285,0.806779
286,0.803821
287,0.806601
288,0.803984
289,0.802566
290,0.806113
291,0.803896
292,0.803079
293,0.801681
294,0.814852
295,0.808798
296,0.819432
297,0.811408
298,0.823872
299,0.813108
300,0.822021
301,0.815727
302,0.824377
303,0.818230
304,0.825044
305,0.817252
306,0.824099
307,0.812778
308,0.820177
309,0.812231
310,0.820589
311,0.811530
312,0.847337
313,0.840004
314,0.839127
315,0.836685
316,0.838807
317,0.826691
318,0.835416
319,0.834203
320,0.824246
321,0.831481
322,0.821285
323,0.831486
324,0.806844
325,0.809569
326,0.804742
327,0.803568
328,0.801199
329,0.802412
330,0.803359
331,0.801808
332,0.814273
333,0.809130
334,0.818058
335,0.813496
336,0.821431
337,0.815343
338,0.812023
339,0.818041
340,0.811284
341,0.818683
342,0.813470
343,0.812412
344,0.822090
345,0.814815
346,0.810574
347,0.808726
348,0.817922
349,0.808280
350,0.820056
351,0.809024
352,0.806328
353,0.816100
354,0.811314
355,0.819573
356,0.812586
357,0.820878
358,0.814728
359,0.822543
360,0.814807
361,0.822125
362,0.820425
363,0.824827
364,0.844241
365,0.843163
366,0.843602
367,0.841492
368,0.840616
369,0.832199
370,0.826991
371,0.823846
372,0.821545
373,0.830445
374,0.821496
375,0.844954
376,0.837454
377,0.830382
378,0.836616
379,0.836756
380,0.836566
381,0.837983
382,0.836279
383,0.836698
384,0.836499
385,0.838171
386,0.837044
387,0.842357
388,0.839286
389,0.839451
390,0.840124
391,0.840818
392,0.836841
393,0.840827
394,0.839193
395,0.840404
396,0.840794
397,0.841760
398,0.847459
399,0.845676
400,0.848945
401,0.846445
402,0.845597
403,0.844127
404,0.843979
405,0.845523
406,0.847671
407,0.849482
408,0.849958
409,0.849953
410,0.850032
411,0.845582
412,0.852026
413,0.846225
414,0.848464
415,0.848481
416,0.852331
417,0.859115
418,0.855786
419,0.853232
420,0.852229
421,0.857431
422,0.853112
423,0.853048
424,0.857643
425,0.854507
426,0.852102
427,0.850140
428,0.857870
429,0.854256
430,0.852909
431,0.854934
432,0.853442
433,0.852299
434,0.851264
435,0.850713
436,0.846260
437,0.861906
438,0.854016
439,0.853977
440,0.850668
441,0.850083
442,0.845824
443,0.847585
444,0.845224
445,0.849867
446,0.849130
447,0.851369
448,0.854166
449,0.852983
450,0.855336
451,0.852896
452,0.851284
453,0.851392
454,0.851915
455,0.850293
456,0.849896
457,0.849445
458,0.858887
459,0.851671
460,0.853140
461,0.854052
462,0.865410
463,0.859259
464,0.854781
465,0.851513
466,0.850684
467,0.845632
468,0.844047
469,0.836210
470,0.841685
471,0.846655
472,0.848096
473,0.850982
474,0.849268
475,0.847949
476,0.838590
477,0.841889
478,0.842515
479,0.843816
480,0.842542
481,0.843080
482,0.843907
483,0.843682
484,0.844517
485,0.844433
486,0.834959
487,0.842601
488,0.843541
489,0.843916
490,0.842663
491,0.842425
492,0.841620
493,0.842140
494,0.842246
495,0.842526
496,0.842655
497,0.841968
498,0.842434
499,0.841188
average,0.832384
