frame,value
0,0.859099
1,0.827127
2,0.808135
3,0.792988
4,0.786667
5,0.784498
6,0.779654
7,0.772833
8,0.767175
9,0.756274
10,0.749478
11,0.741088
12,0.737996
13,0.737839
14,0.770870
15,0.760696
16,0.754970
17,0.772622
18,0.754748
19,0.744084
20,0.730647
21,0.759343
22,0.744230
23,0.730066
24,0.718796
25,0.710527
26,0.700714
27,0.695478
28,0.691005
29,0.691269
30,0.692539
31,0.690565
32,0.692091
33,0.731734
34,0.718426
35,0.710024
36,0.731159
37,0.713746
38,0.699649
39,0.688663
40,0.683133
41,0.680928
42,0.677871
43,0.675004
44,0.674155
45,0.676433
46,0.671059
47,0.672133
48,0.671111
49,0.668392
50,0.666771
51,0.663950
52,0.660977
53,0.716666
54,0.702020
55,0.691604
56,0.685502
57,0.683701
58,0.679978
59,0.678928
60,0.678301
61,0.719443
62,0.727901
63,0.730211
64,0.733029
65,0.717775
66,0.730525
67,0.715319
68,0.709955
69,0.698679
70,0.728470
71,0.708365
72,0.729648
73,0.708089
74,0.702063
75,0.724235
76,0.711148
77,0.701260
78,0.729003
79,0.731913
80,0.732737
81,0.731578
82,0.730458
83,0.727379
84,0.732415
85,0.728708
86,0.727369
87,0.729316
88,0.728590
89,0.732715
90,0.733565
91,0.729693
92,0.730088
93,0.729217
94,0.729143
95,0.728378
96,0.713209
97,0.725672
98,0.726221
99,0.726214
100,0.728423
101,0.728641
102,0.730497
103,0.732173
104,0.734943
105,0.735467
106,0.735424
107,0.734102
108,0.736502
109,0.732507
110,0.735694
111,0.734113
112,0.731786
113,0.727936
114,0.725463
115,0.723356
116,0.723501
117,0.722370
118,0.721759
119,0.722701
120,0.725343
121,0.728194
122,0.728524
123,0.730151
124,0.727739
125,0.723085
126,0.716821
127,0.713514
128,0.711109
129,0.712836
130,0.709636
131,0.709364
132,0.713334
133,0.716010
134,0.719885
135,0.724714
136,0.717607
137,0.715715
138,0.713274
139,0.710426
140,0.708349
141,0.710912
142,0.708338
143,0.705734
144,0.705749
145,0.703877
146,0.701905
147,0.701359
148,0.700866
149,0.703147
150,0.704845
151,0.708146
152,0.707448
153,0.706572
154,0.702102
155,0.702453
156,0.700201
157,0.700206
158,0.701966
159,0.699494
160,0.699170
161,0.698759
162,0.697190
163,0.698073
164,0.697149
165,0.701021
166,0.704009
167,0.704300
168,0.704769
169,0.704230
170,0.705427
171,0.702239
172,0.701767
173,0.695099
174,0.673755
175,0.685473
176,0.690019
177,0.689733
178,0.694703
179,0.694677
180,0.695352
181,0.696898
182,0.699726
183,0.697417
184,0.698421
185,0.678291
186,0.695657
187,0.692042
188,0.688990
189,0.669965
190,0.659373
191,0.649610
192,0.644832
193,0.640770
194,0.637843
195,0.636905
196,0.632678
197,0.631321
198,0.628525
199,0.629872
200,0.626685
201,0.627479
202,0.624532
203,0.625302
204,0.626269
205,0.625353
206,0.623747
207,0.623248
208,0.619931
209,0.621575
210,0.621485
211,0.675211
212,0.659280
213,0.647895
214,0.643096
215,0.639048
216,0.636489
217,0.635560
218,0.635661
219,0.633988
220,0.630313
221,0.628372
222,0.628006
223,0.622438
224,0.623843
225,0.615318
226,0.615259
227,0.614193
228,0.613142
229,0.611941
230,0.610720
231,0.610770
232,0.609707
233,0.610253
234,0.609638
235,0.609897
236,0.608470
237,0.608325
238,0.611050
239,0.613131
240,0.610372
241,0.612328
242,0.612426
243,0.613122
244,0.614516
245,0.612118
246,0.614412
247,0.610563
248,0.610224
249,0.608298
250,0.813155
251,0.780230
252,0.759260
253,0.744148
254,0.738984
255,0.729639
256,0.723432
257,0.714614
258,0.708307
259,0.696266
260,0.690982
261,0.683887
262,0.683611
263,0.679268
264,0.677979
265,0.680749
266,0.680350
267,0.682064
268,0.680549
269,0.681480
270,0.680858
271,0.679487
272,0.675651
273,0.672795
274,0.669345
275,0.667512
276,0.663107
277,0.661534
278,0.659544
279,0.655852
280,0.652084
281,0.648109
282,0.643213
283,0.640439
284,0.638350
285,0.637525
286,0.635444
287,0.638445
288,0.636162
289,0.634454
290,0.634790
291,0.632709
292,0.631864
293,0.633363
294,0.634797
295,0.637465
296,0.637718
297,0.635866
298,0.643602
299,0.637198
300,0.637728
301,0.638709
302,0.640320
303,0.639623
304,0.639105
305,0.636453
306,0.635300
307,0.631542
308,0.631155
309,0.630231
310,0.630651
311,0.630888
312,0.693063
313,0.696801
314,0.698109
315,0.697880
316,0.698184
317,0.671566
318,0.689923
319,0.690474
320,0.692907
321,0.692931
322,0.691382
323,0.692810
324,0.667358
325,0.653500
326,0.643575
327,0.639101
328,0.635466
329,0.637228
330,0.638163
331,0.636038
332,0.634686
333,0.636703
334,0.637687
335,0.638149
336,0.636533
337,0.637591
