frame,value
0,22.059366
1,21.062601
2,20.650299
3,20.121391
4,19.987556
5,19.883900
6,19.821461
7,19.710323
8,19.582897
9,19.419315
10,19.349064
11,19.258142
12,19.220676
13,19.270868
14,19.965782
15,19.668699
16,19.588367
17,20.017115
18,19.627476
19,19.518988
20,19.221697
21,19.876839
22,19.537228
23,19.280148
24,19.112875
25,19.049862
26,18.911140
27,18.881058
28,18.811983
29,18.875481
30,18.909414
31,18.905966
32,18.951141
33,19.644722
34,19.289135
35,19.152933
36,19.622953
37,19.289383
38,19.087206
39,18.947050
40,18.876133
41,18.869980
42,18.804922
43,18.756346
44,18.796915
45,18.907261
46,18.775412
47,18.861631
48,18.808613
49,18.722446
50,18.729980
51,18.710024
52,18.688051
53,19.451296
54,19.158682
55,18.971769
56,18.883205
57,18.877981
58,18.814779
59,18.861607
60,18.927176
61,19.575165
62,19.752514
63,19.817390
64,19.872543
65,19.514475
66,19.785418
67,19.417164
68,19.372206
69,19.141645
70,19.734776
71,19.344860
72,19.820957
73,19.287371
74,19.215134
75,19.689402
76,19.391331
77,19.194098
78,19.766434
79,19.885801
80,19.921974
81,19.891182
82,19.895916
83,19.880438
84,19.962114
85,19.881966
86,19.783594
87,19.848804
88,19.807894
89,19.869656
90,19.862314
91,19.752453
92,19.748377
93,19.699575
94,19.763224
95,19.748877
96,19.458143
97,19.667614
98,19.729000
99,19.744413
100,19.783600
101,19.776281
102,19.860308
103,19.935606
104,19.965166
105,19.923460
106,19.878119
107,19.850496
108,19.918858
109,19.847944
110,19.930387
111,19.931061
112,19.884890
113,19.803486
114,19.757549
115,19.702055
116,19.746244
117,19.799025
118,19.753096
119,19.790695
120,19.806860
121,19.859663
122,19.841930
123,19.901438
124,19.812868
125,19.816639
126,19.767832
127,19.769571
128,19.740000
129,19.767143
130,19.750637
131,19.782993
132,19.892519
133,19.968863
134,20.021723
135,20.131424
136,19.955359
137,19.876183
138,19.840530
139,19.792780
140,19.787443
141,19.842197
142,19.806332
143,19.780672
144,19.738646
145,19.734289
146,19.681162
147,19.676699
148,19.642410
149,19.679441
150,19.752399
151,19.834249
152,19.827211
153,19.782444
154,19.696711
155,19.707869
156,19.669588
157,19.692759
158,19.791782
159,19.717773
160,19.727570
161,19.713636
162,19.636753
163,19.645689
164,19.617250
165,19.727377
166,19.810816
167,19.824930
168,19.843332
169,19.803940
170,19.832493
171,19.756920
172,19.774170
173,19.627605
174,19.315439
175,19.611422
176,19.709497
177,19.699871
178,19.754549
179,19.777266
180,19.764297
181,19.825142
182,19.916925
183,19.787642
184,19.796268
185,19.445494
186,19.826878
187,19.754791
188,19.720377
189,19.393190
190,19.217016
191,19.057863
192,19.000351
193,18.884445
194,18.875067
195,18.851328
196,18.783249
197,18.774303
198,18.722139
199,18.783945
200,18.690813
201,18.700951
202,18.655010
203,18.663414
204,18.707483
205,18.705017
206,18.692362
207,18.681067
208,18.634405
209,18.655945
210,18.647385
211,19.493355
212,19.177307
213,18.922052
214,18.851799
215,18.767000
216,18.763292
217,18.782717
218,18.786886
219,18.755701
220,18.685722
221,18.666780
222,18.677240
223,18.632883
224,18.724840
225,18.598772
226,18.624599
227,18.590050
228,18.568731
229,18.521479
230,18.507402
231,18.537186
232,18.587730
233,18.665958
234,18.639215
235,18.677990
236,18.617039
237,18.619921
238,18.649927
239,18.658413
240,18.589718
241,18.637167
242,18.619074
243,18.653244
244,18.663935
245,18.649767
246,18.689861
247,18.612162
248,18.637568
249,18.624636
250,22.039555
251,21.018242
252,20.538836
253,20.184320
254,20.107061
255,19.904190
256,19.772429
257,19.638626
258,19.553547
259,19.406820
260,19.383696
261,19.276344
262,19.306871
263,19.260271
264,19.258268
265,19.326704
266,19.326315
267,19.367397
268,19.300024
269,19.272390
270,19.239576
271,19.219034
272,19.164049
273,19.155899
274,19.118536
275,19.121082
276,19.026901
277,19.063305
278,19.039940
279,19.015150
280,18.980959
281,18.952902
282,18.922325
283,18.944695
284,18.952627
285,18.952682
286,18.871363
287,18.951975
288,18.891647
289,18.872335
290,18.927521
291,18.909853
292,18.879595
293,18.926218
294,18.953524
295,19.000555
296,18.998730
297,18.941757
298,19.076546
299,18.961540
300,19.003490
301,18.988247
302,19.018423
303,19.028601
304,19.018389
305,18.951365
306,18.944395
307,18.839258
308,18.876034
309,18.840914
310,18.961102
311,18.964941
312,19.901258
313,19.974123
314,20.015570
315,19.980841
316,20.093260
317,19.591892
318,19.952925
319,19.995325
320,20.071619
321,20.112381
322,20.081873
323,20.087839
324,19.577837
325,19.319052
326,19.178373
327,19.099932
328,19.059147
329,19.104801
330,19.125452
331,19.022968
332,19.010155
333,18.989502
334,19.003948
335,19.010941
336,18.978073
337,19.037600
338,18.952101
339,18.875879
340,18.866760
341,18.889769
342,18.923124
343,18.998671
344,18.962772
345,18.972219
346,18.945957
347,18.937323
348,18.928486
349,18.903294
350,18.972492
351,18.878988
352,18.890316
353,18.922276
354,18.935432
355,18.926237
356,18.955769
357,18.937071
358,18.942722
359,18.933056
360,18.883863
361,18.902456
362,19.077547
363,19.044865
364,19.775635
365,19.920343
366,20.064270
367,20.050133
368,20.055779
369,19.653790
370,19.433058
371,19.300354
372,19.256315
373,19.255707
374,19.184809
375,19.881844
376,19.906096
377,19.613953
378,19.970751
379,19.989195
380,20.056938
381,20.112116
382,20.063379
383,20.075224
384,20.018974
385,20.083206
386,20.036289
387,20.262903
388,20.132273
389,20.169819
390,20.194963
391,20.219355
392,20.040493
393,20.218216
394,20.130098
395,20.187479
396,20.214937
397,20.271812
398,20.419140
399,20.413139
400,20.518421
401,20.420197
402,20.287853
403,20.220085
404,20.242285
405,20.259214
406,20.397854
407,20.489296
408,20.598745
409,20.582773
410,20.589035
411,20.407389
412,20.607838
413,20.405840
414,20.461504
415,20.516033
416,20.709887
417,20.648226
418,20.680571
419,20.620382
420,20.579138
421,20.412046
422,20.363535
423,20.425350
424,20.370783
425,20.385555
426,20.324717
427,20.266657
428,20.230787
429,20.301577
430,20.276863
431,20.395117
432,20.308563
433,20.371590
434,20.330196
435,20.318100
436,20.217249
437,20.444979
438,20.307215
439,20.340824
440,20.248146
441,20.249737
442,19.980068
443,20.032282
444,20.008112
445,20.219896
446,20.274961
447,20.457146
448,20.504375
449,20.532673
450,20.540840
451,20.442961
452,20.356594
453,20.354151
454,20.361790
455,20.294819
456,20.241230
457,20.202129
458,20.174471
459,20.149134
460,20.223019
461,20.330687
462,20.499413
463,20.459614
464,20.315456
465,20.170517
466,20.131933
467,19.959513
468,19.911671
469,19.575300
470,19.902428
471,20.123201
472,20.269213
473,20.318926
474,20.231733
475,20.127558
476,19.729492
477,19.924908
478,19.977058
479,20.013288
480,19.967403
481,20.022888
482,20.073339
483,20.083946
484,20.068228
485,20.038631
486,19.593679
487,19.944368
488,19.956665
489,20.000298
490,20.011751
491,20.020611
492,19.969265
493,20.046167
494,20.037014
495,20.100571
496,20.094490
497,20.098454
498,20.061556
499,20.072178
average,19.568861
