frame,value
0,0.949551
1,0.925162
2,0.914304
3,0.904406
4,0.901327
5,0.894501
6,0.897100
7,0.893977
8,0.893428
9,0.887624
10,0.884801
11,0.880508
12,0.879140
13,0.879308
14,0.890270
15,0.883870
16,0.883848
17,0.887762
18,0.888582
19,0.888691
20,0.881717
21,0.883469
22,0.882295
23,0.878644
24,0.876339
25,0.875399
26,0.871051
27,0.869404
28,0.868692
29,0.861879
30,0.861054
31,0.859261
32,0.867816
33,0.880349
34,0.873813
35,0.871044
36,0.879474
37,0.871173
38,0.868453
39,0.865717
40,0.864541
41,0.862985
42,0.861828
43,0.861259
44,0.861292
45,0.863250
46,0.859794
47,0.861866
48,0.859850
49,0.858412
50,0.857885
51,0.856162
52,0.846192
53,0.862699
54,0.852964
55,0.848890
56,0.846113
57,0.855415
58,0.856041
59,0.857764
60,0.859976
61,0.861545
62,0.863195
63,0.864150
64,0.865281
65,0.857430
66,0.863535
67,0.865057
68,0.865253
69,0.854169
70,0.863192
71,0.853124
72,0.874305
73,0.864111
74,0.864663
75,0.873603
76,0.868755
77,0.865052
78,0.876949
79,0.878575
80,0.878829
81,0.879140
82,0.871504
83,0.869271
84,0.869009
85,0.866042
86,0.864500
87,0.865098
88,0.864980
89,0.866707
90,0.866796
91,0.863820
92,0.863245
93,0.861938
94,0.861602
95,0.860259
96,0.854228
97,0.859270
98,0.858661
99,0.869371
100,0.863640
101,0.862266
102,0.862682
103,0.863955
104,0.865808
105,0.865530
106,0.865433
107,0.865335
108,0.867613
109,0.873073
110,0.870067
111,0.875497
112,0.874577
113,0.873713
114,0.865385
115,0.861011
116,0.859958
117,0.858372
118,0.857314
119,0.857526
120,0.858909
121,0.868519
122,0.864155
123,0.865034
124,0.862016
125,0.860447
126,0.857903
127,0.857535
128,0.856941
129,0.858403
130,0.856166
131,0.856876
132,0.858568
133,0.860223
134,0.862657
135,0.875035
136,0.872033
137,0.871952
138,0.871476
139,0.861806
140,0.857281
141,0.858002
142,0.856072
143,0.855981
144,0.853844
145,0.852588
146,0.852085
147,0.852095
148,0.850734
149,0.851884
150,0.852377
151,0.855298
152,0.854499
153,0.853725
154,0.851520
155,0.851027
156,0.849927
157,0.849845
158,0.849535
159,0.849261
160,0.847718
161,0.847705
162,0.846078
163,0.846679
164,0.845691
165,0.848540
166,0.851272
167,0.851921
168,0.852964
169,0.851735
170,0.861681
171,0.853602
172,0.854051
173,0.848670
174,0.839919
175,0.844528
176,0.845670
177,0.845064
178,0.849571
179,0.849129
180,0.850406
181,0.852208
182,0.854278
183,0.852294
184,0.852293
185,0.844278
186,0.850643
187,0.848986
188,0.847336
189,0.839079
190,0.835716
191,0.831994
192,0.830869
193,0.829294
194,0.840637
195,0.832904
196,0.827635
197,0.828095
198,0.836348
199,0.841463
200,0.838577
201,0.833667
202,0.828210
203,0.827011
204,0.825586
205,0.836281
206,0.836897
207,0.839095
208,0.828622
209,0.838100
210,0.830222
211,0.848151
212,0.839413
213,0.834025
214,0.845346
215,0.846964
216,0.848248
217,0.849576
218,0.849527
219,0.839303
220,0.837142
221,0.843779
222,0.845891
223,0.844835
224,0.847470
225,0.835386
226,0.831802
227,0.830162
228,0.840599
229,0.840804
230,0.841349
231,0.842711
232,0.835829
233,0.833388
234,0.830081
235,0.827431
236,0.837362
237,0.839335
238,0.841759
239,0.834546
240,0.829926
241,0.828381
242,0.827659
243,0.837626
244,0.831762
245,0.828056
246,0.828763
247,0.835895
248,0.837874
249,0.839246
250,0.947616
251,0.924913
252,0.913267
253,0.905726
254,0.901809
255,0.896803
256,0.893859
257,0.889633
258,0.886848
259,0.882406
260,0.880602
261,0.874599
262,0.872982
263,0.872571
264,0.870744
265,0.871252
266,0.870925
267,0.871055
268,0.877750
269,0.878231
270,0.878633
271,0.869274
272,0.866540
273,0.863956
274,0.873080
275,0.874821
276,0.871831
277,0.862942
278,0.858866
279,0.854396
280,0.850992
281,0.846928
282,0.846077
283,0.844164
284,0.842815
285,0.841401
286,0.838064
287,0.839658
288,0.837905
289,0.835870
290,0.838441
291,0.837502
292,0.836444
293,0.833893
294,0.833122
295,0.833266
296,0.834341
297,0.833393
298,0.849292
299,0.847395
300,0.842193
301,0.840959
302,0.841335
303,0.841501
304,0.841178
305,0.849252
306,0.851041
307,0.849536
308,0.841920
309,0.838881
310,0.839109
311,0.836837
312,0.853392
313,0.864923
314,0.867660
315,0.860089
316,0.859443
317,0.848669
318,0.856511
319,0.856553
320,0.856005
321,0.855706
322,0.854454
323,0.855884
324,0.844132
325,0.839241
326,0.836701
327,0.833873
328,0.832332
329,0.832748
330,0.833425
331,0.831815
332,0.844322
333,0.846484
334,0.848989
335,0.843315
336,0.840930
337,0.841007
338,0.839114
339,0.845522
340,0.846326
341,0.846785
342,0.842129
343,0.841675
344,0.839758
345,0.839772
346,0.847392
347,0.849277
348,0.849785
349,0.839460
350,0.839784
351,0.836484
352,0.835239
353,0.834830
354,0.845480
355,0.839124
356,0.837103
357,0.837345
358,0.846647
359,0.849615
360,0.849216
361,0.843087
362,0.845648
363,0.843434
364,0.864448
365,0.869008
366,0.871932
367,0.871707
368,0.872204
369,0.860742
370,0.856083
371,0.851433
372,0.848845
373,0.848447
374,0.856331
375,0.868472
376,0.869210
377,0.859174
378,0.862296
379,0.860368
380,0.860365
381,0.861364
382,0.858042
383,0.859117
384,0.857552
385,0.859866
386,0.858185
387,0.863965
388,0.860654
389,0.860083
390,0.860052
391,0.860059
392,0.857395
393,0.861653
394,0.860724
395,0.861271
396,0.861774
397,0.862953
398,0.866848
399,0.865377
400,0.868415
401,0.866376
402,0.865550
403,0.863670
404,0.865034
405,0.865779
406,0.868260
407,0.869111
408,0.870348
409,0.870593
410,0.870763
411,0.865804
412,0.872398
413,0.867269
414,0.876369
415,0.872779
416,0.875297
417,0.873000
418,0.873031
419,0.880699
420,0.881456
421,0.874176
422,0.872674
423,0.873106
424,0.870753
425,0.880110
426,0.880671
427,0.881236
428,0.875493
429,0.875095
430,0.873292
431,0.875232
432,0.873321
433,0.873992
434,0.872329
435,0.872315
436,0.868905
437,0.875849
438,0.872263
439,0.872714
440,0.871544
441,0.871522
442,0.865977
443,0.868520
444,0.867752
445,0.871640
446,0.871746
447,0.873781
448,0.876100
449,0.874404
450,0.875973
451,0.871345
452,0.869469
453,0.869396
454,0.871839
455,0.870189
456,0.870152
457,0.869247
458,0.869455
459,0.868835
460,0.870739
461,0.871793
462,0.876117
463,0.873856
464,0.870925
465,0.868279
466,0.866205
467,0.863222
468,0.862966
469,0.857548
470,0.860695
