frame,value
0,22.726141
1,21.668499
2,21.212667
3,20.794189
4,20.602652
5,20.476423
6,20.400757
7,20.281023
8,20.249249
9,20.114590
10,20.046919
11,19.965609
12,19.928635
13,19.975096
14,20.562447
15,20.291435
16,20.238707
17,20.589466
18,20.276175
19,20.182274
20,19.908655
21,20.448818
22,20.131508
23,19.927307
24,19.776165
25,19.735889
26,19.594963
27,19.588924
28,19.545248
29,19.587982
30,19.644632
31,19.567434
32,19.608940
33,20.222652
34,19.918682
35,19.784220
36,20.213688
37,19.909521
38,19.727257
39,19.613609
40,19.565426
41,19.528368
42,19.553928
43,19.485813
44,19.504585
45,19.630718
46,19.486832
47,19.557072
48,19.485945
49,19.426874
50,19.448610
51,19.430113
52,19.414705
53,20.053297
54,19.774998
55,19.670528
56,19.587708
57,19.562073
58,19.524950
59,19.591942
60,19.646429
61,20.124496
62,20.280909
63,20.361027
64,20.387033
65,20.058292
66,20.301586
67,19.996870
68,19.987251
69,19.811836
70,20.308575
71,19.908030
72,20.342920
73,19.859169
74,19.830767
75,20.208626
76,19.971821
77,19.783749
78,20.310852
79,20.389944
80,20.410446
81,20.394550
82,20.371420
83,20.389948
84,20.464357
85,20.363998
86,20.296743
87,20.358843
88,20.318750
89,20.397825
90,20.402069
91,20.273905
92,20.271080
93,20.238297
94,20.238445
95,20.238268
96,19.975378
97,20.172382
98,20.216949
99,20.243196
100,20.287769
101,20.271978
102,20.313311
103,20.385069
104,20.418425
105,20.403183
106,20.364986
107,20.319098
108,20.383436
109,20.269043
110,20.384005
111,20.381704
112,20.326603
113,20.280428
114,20.295746
115,20.216160
116,20.267523
117,20.254429
118,20.224417
119,20.243572
120,20.287718
121,20.347399
122,20.319590
123,20.346712
124,20.250475
125,20.266788
126,20.224874
127,20.269608
128,20.263748
129,20.284819
130,20.249580
131,20.283426
132,20.369682
133,20.414349
134,20.462948
135,20.585100
136,20.401617
137,20.318960
138,20.323206
139,20.288673
140,20.250280
141,20.319000
142,20.292810
143,20.278234
144,20.256510
145,20.227774
146,20.229610
147,20.212635
148,20.192699
149,20.213247
150,20.258657
151,20.340879
152,20.298120
153,20.248024
154,20.192335
155,20.231079
156,20.194536
157,20.252275
158,20.283567
159,20.223505
160,20.219826
161,20.214586
162,20.116030
163,20.144934
164,20.122574
165,20.257278
166,20.307505
167,20.332901
168,20.334469
169,20.285069
170,20.328007
171,20.264765
172,20.281349
173,20.190168
174,19.937822
175,20.160404
176,20.194702
177,20.111244
178,20.155691
179,20.130346
180,20.159330
181,20.175585
182,20.252853
183,20.135563
184,20.163879
185,19.815611
186,20.222853
187,20.132370
188,20.077761
189,19.771158
190,19.626997
191,19.480333
192,19.412981
193,19.338182
194,19.320995
195,19.328163
196,19.235643
197,19.259123
198,19.193539
199,19.236126
200,19.097248
201,19.119808
202,19.052738
203,19.060282
204,19.098286
205,19.095360
206,19.083326
207,19.090107
208,19.016554
209,19.054111
210,19.037739
211,19.806730
212,19.524931
213,19.299343
214,19.258720
215,19.219152
216,19.198893
217,19.211973
218,19.173985
219,19.134975
220,19.076056
221,19.058836
222,19.045221
223,18.960777
224,19.083197
225,18.977407
226,18.971598
227,18.952492
228,18.922539
229,18.889069
230,18.875231
231,18.903244
232,18.935644
233,19.026854
234,18.991030
235,18.980284
236,18.905176
237,18.928190
238,18.948708
239,18.964840
240,18.876266
241,18.921759
242,18.928097
243,18.936159
244,18.951548
245,18.930069
246,18.994429
247,18.930235
248,18.926651
249,18.932447
250,22.419588
251,21.403566
252,20.928818
253,20.637405
254,20.547615
255,20.351280
256,20.216171
257,20.092161
258,19.990326
259,19.880806
260,19.844805
261,19.678568
262,19.706394
263,19.689814
264,19.692635
265,19.766743
266,19.745646
267,19.796761
268,19.754385
269,19.712317
270,19.693727
271,19.648052
272,19.607098
273,19.586874
274,19.541536
275,19.533752
276,19.469933
277,19.471991
278,19.466949
279,19.434252
280,19.403202
281,19.369038
282,19.373293
283,19.380983
284,19.344721
285,19.360809
286,19.283604
287,19.371283
288,19.304028
289,19.267939
290,19.341703
291,19.320345
292,19.287174
293,19.294842
294,19.315594
295,19.338827
296,19.359343
297,19.316433
298,19.442684
299,19.318258
300,19.374691
301,19.327034
302,19.352491
303,19.389254
304,19.419554
305,19.349842
306,19.369684
307,19.243931
308,19.280449
309,19.260006
310,19.388197
311,19.380833
312,20.260218
313,20.337570
314,20.387514
315,20.310474
316,20.457022
317,19.971210
318,20.319368
319,20.374210
320,20.435093
321,20.458305
322,20.431656
323,20.436171
324,19.948071
325,19.722700
326,19.591572
327,19.532238
328,19.472321
329,19.514446
330,19.528620
331,19.401365
332,19.396385
333,19.379616
334,19.387917
335,19.408916
336,19.379747
337,19.446274
338,19.360035
339,19.293890
340,19.294788
341,19.269011
342,19.295128
343,19.387411
344,19.338964
345,19.342253
346,19.289333
347,19.273800
348,19.295673
349,19.268887
350,19.364744
351,19.253897
352,19.246309
353,19.284306
354,19.291334
355,19.290257
356,19.277100
357,19.296295
358,19.278065
359,19.295635
360,19.241917
361,19.239363
362,19.418736
363,19.390976
364,20.049425
365,20.211369
366,20.395939
367,20.365683
368,20.342787
369,19.983734
370,19.817659
371,19.703377
372,19.663649
373,19.664055
374,19.614201
375,20.200647
376,20.258934
377,20.015104
378,20.313536
379,20.349997
380,20.392271
381,20.456186
382,20.410492
383,20.423067
384,20.382322
385,20.433111
386,20.400673
387,20.611496
388,20.489147
389,20.513266
390,20.556458
391,20.570389
392,20.360615
393,20.537477
394,20.465595
395,20.533993
396,20.547771
397,20.616209
398,20.807518
399,20.800646
400,20.885778
401,20.752195
402,20.636494
403,20.544382
404,20.598656
405,20.616150
406,20.750502
407,20.867893
408,20.958588
409,20.967493
410,20.973221
411,20.802004
412,20.981419
413,20.782967
414,20.848026
415,20.919161
416,21.092522
417,21.055500
418,21.098251
419,21.020168
420,20.949930
421,20.817818
422,20.791294
423,20.846716
424,20.780195
425,20.781797
426,20.745623
427,20.658724
428,20.618868
429,20.738216
430,20.680473
431,20.782370
432,20.674337
433,20.775291
434,20.716236
435,20.724342
436,20.614424
437,20.876480
438,20.748539
439,20.759071
440,20.679945
441,20.642536
442,20.344263
443,20.440113
444,20.421532
445,20.615770
446,20.709219
447,20.850996
448,20.881025
449,20.932409
450,20.938938
451,20.818008
452,20.708611
453,20.725172
454,20.776821
455,20.705034
456,20.647259
457,20.589544
458,20.585680
459,20.551910
460,20.631792
461,20.736595
462,20.925949
463,20.856426
464,20.712299
465,20.549477
466,20.489765
467,20.322302
468,20.317963
469,19.994461
470,20.278631
471,20.498856
472,20.630245
473,20.690546
474,20.605892
475,20.496107
476,20.094780
477,20.307291
478,20.298471
479,20.367500
480,20.372583
481,20.419149
482,20.459282
483,20.471119
484,20.447275
485,20.426912
486,19.972813
487,20.303986
488,20.315041
489,20.362392
490,20.305748
491,20.349436
492,20.346807
493,20.401800
494,20.372850
495,20.439543
496,20.406010
497,20.412554
498,20.391684
499,20.409258
average,20.013042
