frame,value
0,0.912600
1,0.906419
2,0.902542
3,0.905463
4,0.906420
5,0.905578
6,0.904608
7,0.907825
8,0.907985
9,0.911742
10,0.911023
11,0.909620
12,0.911534
13,0.914258
14,0.914185
15,0.913662
16,0.919271
17,0.924834
18,0.925515
19,0.926789
20,0.925958
21,0.924845
22,0.925238
23,0.927400
24,0.928145
25,0.928231
26,0.928170
27,0.929916
28,0.928330
29,0.930617
30,0.928411
31,0.929720
32,0.930761
33,0.933413
34,0.932642
35,0.931470
36,0.931750
37,0.933200
38,0.932762
39,0.932449
40,0.932108
41,0.932460
42,0.932822
43,0.933408
44,0.934262
45,0.932436
46,0.934806
47,0.932666
48,0.936656
49,0.931781
50,0.934968
51,0.932057
52,0.933992
53,0.933134
54,0.934589
55,0.935249
56,0.936675
57,0.937224
58,0.935807
59,0.937423
60,0.937451
61,0.937372
62,0.936612
63,0.937720
64,0.937726
65,0.940906
66,0.937737
67,0.941194
68,0.936008
69,0.937585
70,0.937531
71,0.938731
72,0.936999
73,0.937959
74,0.938630
75,0.937513
76,0.939623
77,0.939306
78,0.938846
79,0.938373
80,0.940261
81,0.939690
82,0.939709
83,0.940748
84,0.942132
85,0.941219
86,0.944348
87,0.941240
88,0.944346
89,0.938789
90,0.941155
91,0.944121
92,0.941410
93,0.941618
94,0.939510
95,0.941843
96,0.939395
97,0.945815
98,0.940839
99,0.944638
100,0.941713
101,0.945635
102,0.938889
103,0.941577
104,0.941909
105,0.942594
106,0.943861
107,0.941330
108,0.941746
109,0.941575
110,0.943706
111,0.944428
112,0.941433
113,0.941362
114,0.943859
115,0.942278
116,0.943642
117,0.940416
118,0.944708
119,0.940239
120,0.947450
121,0.943339
122,0.945079
123,0.942804
124,0.941512
125,0.945306
126,0.941544
127,0.943927
128,0.942745
129,0.944115
130,0.941477
131,0.943640
132,0.941610
133,0.942786
134,0.941551
135,0.949481
136,0.942271
137,0.944779
138,0.942290
139,0.946500
140,0.943668
141,0.945572
142,0.943863
143,0.942751
144,0.945138
145,0.943720
146,0.945672
147,0.942093
148,0.945481
149,0.942536
150,0.952852
151,0.941178
152,0.947967
153,0.941244
154,0.946025
155,0.944679
156,0.944739
157,0.942676
158,0.942585
159,0.944164
160,0.942468
161,0.945066
162,0.941689
163,0.945753
164,0.946382
165,0.949519
166,0.944192
167,0.948263
168,0.944014
169,0.951283
170,0.942960
171,0.947466
172,0.943347
173,0.947615
174,0.942234
175,0.944592
176,0.943375
177,0.942919
178,0.942556
179,0.945631
180,0.948306
181,0.941271
182,0.947141
183,0.941835
184,0.947123
185,0.941312
186,0.947378
187,0.942913
188,0.944532
189,0.943007
190,0.944080
191,0.943259
192,0.941484
193,0.943157
194,0.950936
195,0.942906
196,0.943103
197,0.947060
198,0.946806
199,0.942160
200,0.946585
201,0.943513
202,0.945399
203,0.943751
204,0.944423
205,0.945022
206,0.942508
207,0.942824
208,0.942764
209,0.947005
210,0.941867
211,0.946498
212,0.942218
213,0.944334
214,0.944445
215,0.945546
216,0.942824
217,0.943029
218,0.941792
219,0.943696
220,0.941461
221,0.942379
222,0.942117
223,0.944135
224,0.942655
225,0.940870
226,0.942196
227,0.940885
228,0.941311
229,0.941229
230,0.940818
231,0.940885
232,0.942855
233,0.940929
234,0.941595
235,0.940615
236,0.943710
237,0.938510
238,0.940265
239,0.940164
240,0.942385
241,0.940188
242,0.941557
243,0.941951
244,0.940664
245,0.941162
246,0.939216
247,0.946922
248,0.944555
249,0.946830
250,0.971726
251,0.950432
252,0.940667
253,0.944831
254,0.944127
255,0.940701
256,0.943749
257,0.943856
258,0.944970
259,0.943126
260,0.941637
261,0.940647
262,0.941255
263,0.942440
264,0.944219
265,0.948304
266,0.942702
267,0.942187
268,0.940583
269,0.945843
270,0.942120
271,0.945785
272,0.944780
273,0.942259
274,0.941938
275,0.939868
276,0.941027
277,0.942038
278,0.946192
279,0.942970
280,0.945958
