frame,value
0,29.812725
1,29.494034
2,29.322199
3,29.344690
4,29.497803
5,29.568453
6,29.630907
7,30.091768
8,30.241392
9,30.357565
10,30.777824
11,30.538061
12,30.531790
13,30.985226
14,30.943918
15,31.042553
16,31.270935
17,31.469971
18,31.435400
19,31.792793
20,31.882372
21,31.964108
22,31.834772
23,31.799675
24,31.758503
25,31.976246
26,32.016384
27,32.159248
28,32.079693
29,32.198547
30,32.033409
31,32.136780
32,32.127743
33,32.248341
34,32.176102
35,32.451923
36,32.530655
37,32.614647
38,32.602795
39,32.328373
40,32.327312
41,32.287361
42,32.605450
43,32.613136
44,32.706150
45,32.593082
46,32.727634
47,32.608818
48,33.196819
49,32.656162
50,32.776257
51,32.631317
52,33.085026
53,32.742649
54,32.702713
55,32.728405
56,33.143448
57,32.862904
58,32.760609
59,33.178722
60,32.857327
61,32.846870
62,32.736752
63,33.158295
64,32.710339
65,32.727749
66,32.624458
67,32.597958
68,32.649677
69,32.725101
70,32.509369
71,32.776962
72,33.075542
73,33.151047
74,33.202362
75,32.861080
76,32.726707
77,32.884434
78,32.639870
79,32.718777
80,33.232723
81,33.152813
82,33.226990
83,32.856403
84,33.053143
85,32.900642
86,33.053711
87,32.829430
88,33.370895
89,33.151020
90,33.224720
91,33.128532
92,32.873543
93,32.828007
94,32.823780
95,32.953133
96,33.174385
97,33.488396
98,33.204227
99,33.159222
100,32.903980
101,33.104103
102,32.792301
103,32.832699
104,33.230389
105,33.291565
106,33.357567
107,32.864326
108,32.895157
109,32.885902
110,32.916904
111,32.978798
112,33.151974
113,33.199402
114,33.331482
115,33.260975
116,33.038662
117,32.857273
118,33.035725
119,32.756905
120,33.137184
121,33.259609
122,33.363323
123,33.251465
124,32.896461
125,33.081921
126,32.830563
127,32.950100
128,33.226479
129,33.337666
130,33.164173
131,33.021240
132,32.883923
133,32.945312
134,32.844879
135,33.639263
136,33.217316
137,33.371899
138,33.252769
139,33.197575
140,33.042492
141,33.100651
142,32.996315
143,33.234272
144,33.427376
145,33.329395
146,33.463528
147,33.226883
148,33.209076
149,32.963009
150,33.625690
151,32.797047
152,33.554577
153,33.192604
154,33.461143
155,33.015415
156,33.045227
157,32.940098
158,33.218159
159,33.342091
160,33.241745
161,33.410343
162,32.939247
163,32.945992
164,33.079670
165,33.273804
166,33.301109
167,33.565563
168,33.320084
169,33.818501
170,33.289787
171,33.182697
172,32.965664
173,33.222218
174,33.176987
175,33.377163
176,33.309177
177,33.290508
178,32.926437
179,32.979546
180,33.227486
181,32.795624
182,33.427822
183,33.215687
184,33.529198
185,32.911312
186,33.158169
187,32.918991
188,33.327290
189,33.271244
190,33.339542
191,33.276737
192,32.907185
193,32.762768
194,33.423645
195,32.840645
196,33.225922
197,33.501156
198,33.516239
199,32.920605
200,33.006886
201,32.952789
202,33.392250
203,33.277084
204,33.371574
205,33.383663
206,33.012238
207,32.967678
208,32.922386
209,33.127407
210,33.185844
211,33.461143
212,33.240509
213,33.369831
214,33.071663
215,33.129047
216,32.997875
217,32.973965
218,33.177029
219,33.339413
220,33.249615
221,33.303810
222,32.971405
223,33.028313
224,32.975136
225,32.860233
226,32.863003
227,33.137108
228,33.198566
229,33.296417
230,32.925362
231,32.827480
232,32.885792
233,32.812477
234,32.816532
235,33.126537
236,33.331478
237,33.144955
238,32.928745
239,32.822121
240,32.829746
241,32.755234
242,32.830193
243,33.192993
244,33.232716
245,33.276066
246,32.896904
247,33.097267
248,32.843708
249,32.918434
250,36.987305
251,32.977932
252,32.804199
253,33.032108
254,32.790966
255,32.625126
256,32.728729
257,32.830730
258,32.731766
259,33.174908
260,32.865643
261,32.806641
262,32.583012
263,32.516373
264,32.824100
265,33.367615
266,33.490143
267,32.896206
268,32.899136
269,32.935509
270,32.818047
271,32.821663
272,32.772728
273,32.756741
274,32.547630
275,32.442394
276,32.431496
277,32.743542
278,33.258717
279,33.536568
280,33.158810
281,32.840691
282,32.723099
283,32.875298
284,33.005959
285,32.754528
286,32.927067
287,32.499355
288,32.447937
289,32.827209
290,33.161697
291,33.209637
292,32.854671
293,32.741512
294,32.598354
295,32.613434
296,32.838444
297,33.177147
298,33.194454
299,32.948185
300,32.935947
301,32.592667
302,32.796753
303,33.077454
304,32.943195
305,32.895317
306,32.616287
307,32.889824
308,33.109924
309,32.964630
310,32.858845
311,32.556156
312,32.772369
313,33.402126
314,32.903915
315,32.983295
316,32.567833
317,32.736454
318,33.123188
319,33.299988
320,32.823643
321,32.805202
322,32.466000
323,32.783119
324,33.161514
325,33.194561
326,32.786739
327,32.569614
328,32.584412
329,32.648918
330,32.753155
331,33.211632
332,33.211506
333,33.396538
334,32.914677
335,32.758175
336,32.465958
337,32.593395
338,32.888111
339,33.260483
340,33.211006
341,33.174156
342,32.864029
343,32.619358
344,32.801945
345,32.456963
346,32.794399
347,33.110401
348,33.382057
349,33.140034
350,32.889221
351,32.542595
352,32.704655
353,32.449875
354,32.703941
355,33.099312
356,33.159126
357,33.198788
358,32.852695
359,32.669621
360,32.669884
361,32.604961
362,32.764416
363,33.144508
364,33.265030
365,33.219143
366,33.098721
367,32.641659
368,32.816422
369,32.473930
370,32.784428
371,33.109764
372,33.188431
373,33.130337
374,32.960617
375,32.695049
376,32.591335
377,32.458443
378,32.681507
379,33.247211
380,33.146912
381,33.219780
382,32.884205
383,32.637566
384,32.490475
385,32.507214
386,32.735477
387,33.173115
388,33.155743
389,33.205490
390,32.910118
391,32.609333
392,32.539566
393,32.478577
394,32.739132
395,33.145321
396,33.084671
397,33.307438
398,32.840855
399,32.548042
400,32.467335
401,32.631676
402,32.618576
403,33.118000
404,33.135357
405,33.333916
406,32.884190
407,32.644592
408,32.604351
409,32.618317
410,32.657951
411,33.085388
412,33.171780
413,33.350311
414,32.890511
415,32.721100
416,32.548832
417,32.769840
418,32.701405
419,33.161022
420,33.140133
421,33.335133
422,32.907246
423,32.596970
424,32.621784
425,32.504379
426,32.713570
427,33.108601
428,33.385456
429,33.184505
430,32.910912
431,32.784271
432,32.799057
433,32.560680
434,32.717857
435,33.202148
436,33.383465
437,33.311001
438,32.974682
439,32.670742
440,32.662495
441,32.508614
442,32.735508
443,33.181618
444,33.421051
445,33.229595
446,33.106804
447,32.794056
448,32.643089
449,32.466888
450,32.781380
451,33.256199
452,33.266228
453,33.117493
454,33.025635
455,32.684708
456,32.563747
457,32.294735
458,32.733696
459,33.074905
460,32.714993
461,32.433582
462,32.559433
463,32.324436
464,32.303711
465,32.587868
466,32.551987
467,32.733521
468,32.679035
469,32.694073
470,32.423122
471,32.685104
472,32.687328
473,32.671101
474,32.472561
475,32.426998
476,32.314274
477,32.609367
478,33.070415
479,32.663456
480,32.679939
481,32.768097
482,32.733612
483,32.414463
484,32.713818
485,33.106968
486,33.254440
487,32.799171
488,32.841839
489,32.528522
490,32.897171
491,33.172623
492,32.879940
493,32.661404
494,32.956566
495,32.467304
496,32.716953
497,32.626488
498,33.040047
499,32.441097
average,32.819336
