frame,value
0,27.672791
1,27.123018
2,26.732738
3,26.682581
4,26.707081
5,26.535801
6,26.422085
7,26.591787
8,26.596087
9,26.772259
10,26.655796
11,26.880524
12,26.908024
13,27.087868
14,26.956171
15,27.046518
16,27.380714
17,27.329845
18,27.560354
19,27.907707
20,28.010738
21,27.833256
22,27.765341
23,27.972412
24,28.115986
25,28.229420
26,28.247942
27,28.428328
28,28.652779
29,29.116066
30,29.099966
31,29.130060
32,28.965082
33,29.006975
34,28.841915
35,28.980892
36,29.231110
37,29.373402
38,29.404644
39,29.209887
40,29.256454
41,29.227221
42,29.449236
43,29.468996
44,29.621778
45,29.512939
46,29.656349
47,29.560419
48,29.751841
49,29.562496
50,30.115082
51,30.114630
52,30.289900
53,30.304947
54,29.949352
55,30.005201
56,30.320478
57,30.386322
58,30.355537
59,30.464260
60,30.499920
61,30.554674
62,30.393209
63,30.464811
64,30.376005
65,30.336590
66,30.255985
67,30.304644
68,29.963581
69,29.996868
70,30.021709
71,30.419025
72,30.329344
73,30.415133
74,30.455135
75,30.441702
76,30.321392
77,30.554562
78,30.520378
79,30.377754
80,30.574532
81,30.491629
82,30.521723
83,30.424873
84,30.688423
85,30.618349
86,30.750744
87,30.507822
88,30.714886
89,30.464470
90,30.552986
91,30.765127
92,30.530817
93,30.470568
94,30.494175
95,30.670124
96,30.461727
97,30.691950
98,30.436796
99,30.692595
100,30.455900
101,30.655542
102,30.411341
103,30.437134
104,30.507862
105,30.551723
106,30.963879
107,30.571106
108,30.625145
109,30.996170
110,30.757618
111,31.100853
112,30.745098
113,31.019297
114,31.139772
115,31.141098
116,31.156073
117,30.912470
118,30.946943
119,30.673340
120,31.252695
121,31.175169
122,31.210911
123,31.144026
124,31.100847
125,31.134203
126,30.799879
127,30.898830
128,31.063919
129,31.208946
130,31.308912
131,31.366936
132,31.272587
133,31.198694
134,31.266430
135,31.671591
136,31.245363
137,31.427290
138,31.093086
139,31.453779
140,31.443991
141,31.498510
142,31.455145
143,31.043823
144,31.464441
145,31.358307
146,31.465422
147,30.961323
148,31.249304
149,30.944366
150,31.826233
