frame,value
0,0.912600
1,0.904329
2,0.898259
3,0.898802
4,0.900149
5,0.898505
6,0.896509
7,0.899976
8,0.899672
9,0.902408
10,0.906644
11,0.906319
12,0.903921
13,0.908451
14,0.908289
15,0.907863
16,0.911407
17,0.912864
18,0.917944
19,0.919667
20,0.918538
21,0.917596
22,0.918050
23,0.918096
24,0.921126
25,0.925435
26,0.925986
27,0.928203
28,0.925016
29,0.926985
30,0.924131
31,0.925274
32,0.927180
33,0.929852
34,0.929037
35,0.927702
36,0.928095
37,0.927962
38,0.926837
39,0.925799
40,0.927630
41,0.928057
42,0.928578
43,0.929293
44,0.930158
45,0.928369
46,0.930846
47,0.928811
48,0.932945
49,0.927994
50,0.932904
51,0.930459
52,0.932542
53,0.930775
54,0.928975
55,0.928985
56,0.931377
57,0.933291
58,0.932023
59,0.933785
60,0.932746
61,0.932419
62,0.931123
63,0.933694
64,0.933701
65,0.937207
66,0.932754
67,0.936241
68,0.932088
69,0.932448
70,0.933778
71,0.934929
72,0.933300
73,0.934252
74,0.933898
75,0.933655
76,0.936066
77,0.935764
78,0.935220
79,0.934784
80,0.936757
81,0.934422
82,0.935726
83,0.935025
84,0.938003
85,0.935830
86,0.938952
87,0.937283
88,0.939228
89,0.934788
90,0.937350
91,0.939337
92,0.937738
93,0.937970
94,0.936243
95,0.937626
96,0.935735
97,0.940667
98,0.935011
99,0.940772
100,0.937827
101,0.942143
102,0.935383
103,0.936378
104,0.936541
105,0.936976
106,0.939751
107,0.937084
108,0.937819
109,0.937749
110,0.938644
111,0.939329
112,0.935925
113,0.937174
114,0.939845
115,0.938360
116,0.939826
117,0.935520
118,0.939677
119,0.934725
120,0.943517
121,0.939420
122,0.941126
123,0.937748
124,0.936098
125,0.940067
126,0.935969
127,0.939874
128,0.938599
129,0.940201
130,0.936157
131,0.938424
132,0.936170
133,0.937427
134,0.937505
135,0.945818
136,0.938372
137,0.941023
138,0.937448
139,0.941746
140,0.938806
141,0.941890
142,0.940210
143,0.939085
144,0.941702
145,0.940262
146,0.941371
147,0.937216
148,0.942198
149,0.939063
150,0.950001
151,0.937628
152,0.943892
153,0.936641
154,0.941665
155,0.941193
156,0.941339
157,0.939470
158,0.939125
159,0.940892
160,0.939096
161,0.941958
162,0.938505
163,0.942602
164,0.943396
165,0.946689
166,0.941314
167,0.945445
168,0.940954
169,0.948681
170,0.939968
171,0.944668
172,0.940407
173,0.944823
174,0.939025
175,0.941615
176,0.940394
177,0.939758
178,0.939368
179,0.942791
180,0.945405
181,0.938112
182,0.944165
183,0.938850
184,0.944369
185,0.938337
186,0.944375
187,0.939884
188,0.941636
189,0.940021
190,0.941137
191,0.940306
192,0.938458
193,0.940162
194,0.948388
195,0.939836
196,0.940093
197,0.944376
198,0.944181
199,0.939247
200,0.943766
201,0.940651
202,0.942564
203,0.942429
204,0.943315
205,0.943986
206,0.940204
207,0.939507
208,0.939310
209,0.943485
210,0.938926
211,0.945245
212,0.941174
213,0.943295
214,0.942255
215,0.942385
216,0.939523
217,0.939452
218,0.938882
219,0.942567
220,0.940516
221,0.941532
222,0.939960
223,0.940992
224,0.939214
225,0.937086
226,0.939364
227,0.939926
228,0.940451
229,0.941704
230,0.940186
231,0.938003
232,0.939655
233,0.937485
234,0.938972
235,0.939787
236,0.944316
237,0.939266
238,0.939877
239,0.937193
240,0.938852
241,0.936481
242,0.939038
243,0.941165
244,0.941524
245,0.942271
246,0.939067
247,0.942688
248,0.937703
249,0.939597
250,0.964668
251,0.946119
252,0.940333
253,0.945409
254,0.945462
255,0.940703
256,0.943665
257,0.942243
258,0.940635
259,0.940990
260,0.940649
261,0.940605
262,0.940360
263,0.940219
264,0.938747
265,0.942676
266,0.938433
267,0.940251
268,0.939837
269,0.946037
270,0.939842
271,0.941202
272,0.939036
273,0.938334
274,0.940231
275,0.939157
276,0.941596
277,0.939935
278,0.941961
279,0.939635
280,0.944733
281,0.939684
282,0.940868
283,0.939392
284,0.941948
285,0.936614
286,0.941178
287,0.937388
288,0.938342
289,0.939192
290,0.935926
291,0.935638
292,0.934857
293,0.936303
294,0.936537
295,0.938091
296,0.937854
297,0.936597
298,0.936240
299,0.936813
300,0.936192
301,0.935556
302,0.936739
303,0.935852
304,0.939386
305,0.937891
306,0.935495
307,0.934882
308,0.934825
309,0.938845
310,0.937547
311,0.937431
312,0.935546
313,0.940197
314,0.935552
315,0.937143
316,0.935182
317,0.938059
318,0.936797
319,0.939548
320,0.935406
321,0.934588
322,0.934144
323,0.937285
324,0.936795
325,0.937488
326,0.934248
327,0.933359
328,0.933629
329,0.935355
330,0.934827
331,0.937859
332,0.937657
333,0.940198
334,0.936078
335,0.936393
336,0.934203
337,0.938705
338,0.940143
339,0.939568
340,0.936555
341,0.933950
342,0.933442
343,0.933685
344,0.939635
345,0.935790
346,0.938672
347,0.935310
348,0.938316
349,0.932918
350,0.933784
351,0.932880
352,0.937935
353,0.934477
354,0.936212
355,0.934653
356,0.933203
357,0.932529
358,0.931814
359,0.934147
360,0.937692
361,0.936561
362,0.936779
363,0.936011
364,0.936259
365,0.934239
366,0.937426
367,0.935057
368,0.940181
369,0.935651
370,0.937801
371,0.935560
372,0.935371
373,0.933089
374,0.936568
375,0.937139
376,0.936923
377,0.936548
378,0.935290
379,0.937983
380,0.934407
381,0.934979
382,0.935155
383,0.937002
384,0.935407
385,0.937358
386,0.936262
387,0.935872
388,0.935580
389,0.936252
390,0.936812
391,0.935198
392,0.934781
393,0.934539
394,0.935403
395,0.934855
396,0.933125
397,0.937255
398,0.934122
399,0.932881
400,0.933303
401,0.938184
402,0.933392
403,0.934452
404,0.933796
405,0.937377
406,0.935760
407,0.936553
408,0.937499
409,0.938382
410,0.935618
411,0.935444
412,0.935808
413,0.938837
414,0.937530
415,0.939213
416,0.937531
417,0.941467
418,0.936180
419,0.937770
420,0.936686
421,0.938998
422,0.938664
423,0.937531
424,0.938482
425,0.937951
426,0.936747
427,0.936295
428,0.940842
429,0.938452
430,0.939623
431,0.940681
432,0.940988
433,0.938596
434,0.937598
435,0.938669
436,0.941942
437,0.940880
438,0.939905
439,0.939093
440,0.939039
441,0.937081
442,0.937527
443,0.940690
444,0.943356
445,0.939188
446,0.942209
447,0.939759
448,0.938520
449,0.936604
450,0.939120
451,0.940865
452,0.939303
453,0.935639
454,0.939044
455,0.936380
456,0.936010
457,0.937407
458,0.939948
459,0.937059
460,0.935407
461,0.934544
462,0.936636
463,0.934224
464,0.934014
465,0.933854
466,0.934605
467,0.935864
468,0.934083
469,0.934649
470,0.934608
471,0.936316
472,0.934810
473,0.934471
474,0.935142
475,0.936049
476,0.934252
477,0.934308
478,0.935015
479,0.933569
480,0.934323
481,0.934623
482,0.937959
483,0.934159
484,0.934807
485,0.936023
486,0.936565
487,0.934402
488,0.935040
489,0.933713
490,0.938244
491,0.934802
492,0.935008
493,0.932750
494,0.939533
495,0.934603
496,0.934655
