frame,value
0,32.530972
1,31.739468
2,31.646263
3,31.732363
4,31.863895
5,31.809383
6,31.793884
7,32.024719
8,32.068653
9,32.135475
10,32.151817
11,32.412663
12,32.462471
13,32.988625
14,32.643757
15,32.643696
16,32.632427
17,33.040184
18,33.030106
19,33.088604
20,33.133492
21,33.119804
22,32.837166
23,33.114914
24,32.815655
25,33.111435
26,32.797539
27,33.186592
28,32.797054
29,33.192009
30,32.738510
31,33.136330
32,32.785057
33,33.216766
34,32.827511
35,33.097507
36,33.124805
37,33.202042
38,33.180969
39,33.153324
40,33.161926
41,33.160503
42,33.182964
43,33.209110
44,33.244495
45,33.137501
46,33.261467
47,33.144886
48,33.349888
49,33.102604
50,33.241459
51,33.105377
52,33.203686
53,33.154865
54,33.132359
55,33.175224
56,33.233814
57,33.265995
58,33.191051
59,33.263988
60,33.250603
61,33.248573
62,33.176937
63,33.247959
64,33.153976
65,33.256992
66,33.123268
67,33.337791
68,33.162861
69,33.233059
70,33.237522
71,33.286053
72,33.190357
73,33.235188
74,33.276897
75,33.213531
76,33.305935
77,33.319347
78,33.287971
79,33.215031
80,33.349617
81,33.235512
82,33.285713
83,33.238720
84,33.428482
85,33.304108
86,33.474514
87,33.271328
88,33.705536
89,33.254539
90,33.314129
91,33.491261
92,33.313519
93,33.290859
94,33.275032
95,33.431927
96,33.274078
97,33.567596
98,33.271687
99,33.521183
100,33.317169
101,33.549622
102,33.243935
103,33.307217
104,33.347237
105,33.372738
106,33.434711
107,33.239319
108,33.298656
109,33.573906
110,33.410561
111,33.461121
112,33.285774
113,33.297760
114,33.418335
115,33.328884
116,33.390972
117,33.237728
118,33.695778
119,33.224674
120,33.605137
121,33.632553
122,33.470055
123,33.347485
124,33.280781
125,33.734604
126,33.564152
127,33.451504
128,33.358547
129,33.432770
130,33.239338
131,33.384068
132,33.281666
133,33.614822
134,33.298286
135,33.756527
136,33.305996
137,33.439713
138,33.313194
139,33.792480
140,33.436375
141,33.520344
142,33.424995
143,33.595490
144,33.766411
145,33.682968
146,33.567299
147,33.298687
148,33.538216
149,33.339821
150,34.015945
151,33.226612
152,33.887741
153,33.272377
154,33.535439
155,33.406425
156,33.439781
157,33.345287
158,33.574875
159,33.436462
160,33.305725
161,33.462063
162,33.285152
163,33.754059
164,33.545517
165,33.749878
166,33.407757
167,33.902020
168,33.662861
169,34.126892
170,33.635269
171,33.707870
172,33.394348
173,33.660786
174,33.563820
175,33.733829
176,33.666729
177,33.376770
178,33.312756
179,33.546776
180,33.678097
181,33.250824
182,33.802441
183,33.571331
184,33.628967
185,33.287342
186,33.579716
187,33.336262
188,33.407230
189,33.342323
190,33.393787
191,33.323322
192,33.245644
193,33.337963
194,33.850052
195,33.295357
196,33.314857
197,33.570946
198,33.573715
199,33.281353
200,33.787144
201,33.661560
202,33.768696
203,33.395393
204,33.460018
205,33.452991
206,33.339298
207,33.337177
208,33.604984
209,33.813553
210,33.573681
211,33.585983
212,33.323936
213,33.449722
214,33.422062
215,33.495159
216,33.631634
217,33.659843
218,33.570503
219,33.461517
220,33.325020
221,33.358292
222,33.315067
223,33.410267
224,33.369041
225,33.271320
226,33.298862
227,33.207043
228,33.247795
229,33.332993
230,33.291084
231,33.214561
232,33.299519
233,33.242558
234,33.263962
235,33.210209
236,33.408031
237,33.180759
238,33.292217
