frame,value
0,0.839368
1,0.827600
2,0.814311
3,0.813236
4,0.810504
5,0.806090
6,0.798621
7,0.800937
8,0.796013
9,0.795720
10,0.791597
11,0.792607
12,0.788788
13,0.788307
14,0.783633
15,0.784051
16,0.780983
17,0.779580
18,0.778464
19,0.779294
20,0.777792
21,0.775781
22,0.776472
23,0.776931
24,0.776514
25,0.778641
26,0.776795
27,0.776214
28,0.775104
29,0.776507
30,0.773255
31,0.774257
32,0.773458
33,0.776270
34,0.775704
35,0.772106
36,0.771530
37,0.771643
38,0.770270
39,0.769120
40,0.768811
41,0.769426
42,0.774552
43,0.772747
44,0.773721
45,0.776481
46,0.777890
47,0.777199
48,0.779771
49,0.775156
50,0.776476
51,0.773026
52,0.777543
53,0.774595
54,0.775078
55,0.775055
56,0.776970
57,0.776838
58,0.773324
59,0.774844
60,0.773723
61,0.773751
62,0.769477
63,0.770288
64,0.769636
65,0.774777
66,0.770254
67,0.776022
68,0.770544
69,0.773131
70,0.772067
71,0.773954
72,0.772895
73,0.773036
74,0.774549
75,0.772369
76,0.782353
77,0.779585
78,0.779696
79,0.776229
80,0.780970
81,0.776228
82,0.776780
83,0.773553
84,0.779976
85,0.777938
86,0.780427
87,0.775160
88,0.780616
89,0.773769
90,0.773670
91,0.777060
92,0.772626
93,0.772066
94,0.772985
95,0.775767
96,0.771165
97,0.776368
98,0.768211
99,0.776186
100,0.772695
101,0.777216
102,0.771163
103,0.769839
104,0.771161
105,0.771337
106,0.774539
107,0.768818
108,0.773089
109,0.774899
110,0.777848
111,0.777941
112,0.772617
113,0.772649
114,0.773960
115,0.774629
116,0.774257
117,0.773532
118,0.778406
119,0.772556
120,0.781009
121,0.777777
122,0.778143
123,0.774474
124,0.772854
125,0.779571
126,0.773122
127,0.776732
128,0.776276
129,0.778187
130,0.774865
131,0.777829
132,0.775926
133,0.779528
134,0.779434
135,0.787400
136,0.777734
137,0.781793
138,0.780268
139,0.785527
140,0.781788
141,0.784621
142,0.784010
143,0.778659
144,0.782972
145,0.780253
146,0.784862
147,0.778464
148,0.785152
149,0.780020
150,0.796477
151,0.779135
152,0.789425
153,0.783349
154,0.788117
155,0.785258
156,0.784182
157,0.785613
158,0.782858
159,0.783822
160,0.781981
161,0.786287
162,0.781225
163,0.785415
164,0.787950
165,0.791283
166,0.784711
167,0.788715
168,0.784437
169,0.793655
170,0.783007
171,0.789873
172,0.782232
173,0.788868
174,0.779669
175,0.784292
176,0.782067
177,0.780868
178,0.777931
179,0.784536
180,0.788019
181,0.781451
182,0.786388
183,0.780236
184,0.788776
185,0.783730
186,0.789073
187,0.782626
188,0.789136
189,0.786415
190,0.785539
191,0.783101
192,0.782770
193,0.782728
194,0.793335
195,0.782133
196,0.780379
197,0.787713
198,0.787502
199,0.783345
200,0.789016
201,0.785464
202,0.788246
203,0.783042
204,0.785140
205,0.783891
206,0.782312
207,0.781474
208,0.780277
209,0.784520
210,0.779708
211,0.786408
212,0.780585
213,0.782934
214,0.781692
215,0.784189
216,0.780171
217,0.778523
218,0.775603
219,0.782399
220,0.777701
221,0.777880
222,0.776456
223,0.779127
224,0.778667
225,0.776012
226,0.780262
227,0.775405
228,0.778085
229,0.780996
230,0.778875
231,0.777805
232,0.779323
233,0.777492
234,0.776618
235,0.774453
236,0.777778
237,0.773208
238,0.774513
239,0.773120
240,0.773694
241,0.772291
242,0.774454
243,0.772419
244,0.771054
245,0.770547
246,0.771118
247,0.774245
248,0.768557
249,0.770269
250,0.863668
251,0.857450
252,0.836216
253,0.836614
254,0.827596
255,0.819895
256,0.817030
257,0.810515
258,0.803831
259,0.802700
260,0.798996
261,0.796887
262,0.794979
263,0.795343
264,0.795227
265,0.800469
266,0.793781
267,0.796419
268,0.797733
269,0.801568
270,0.793934
271,0.793870
272,0.793996
273,0.791398
274,0.792305
275,0.789782
276,0.791806
277,0.791160
278,0.793550
279,0.791580
280,0.800749
281,0.793865
282,0.796107
283,0.795012
284,0.802177
285,0.793756
286,0.801424
287,0.793636
288,0.791413
289,0.793885
290,0.789896
291,0.788998
292,0.790344
293,0.792363
294,0.789333
295,0.789155
296,0.795604
297,0.790512
298,0.788708
299,0.788496
300,0.792905
301,0.789086
302,0.788563
303,0.784573
304,0.790742
305,0.788243
306,0.787351
307,0.786415
308,0.785349
309,0.789093
310,0.786911
311,0.783888
312,0.782447
313,0.790543
314,0.786236
315,0.787376
316,0.784235
317,0.782982
318,0.782452
319,0.786311
320,0.780745
321,0.781950
322,0.778780
323,0.786647
324,0.783904
325,0.781921
326,0.777615
327,0.777944
328,0.778455
329,0.782044
330,0.778137
331,0.781719
332,0.780097
333,0.786962
334,0.780631
335,0.781730
336,0.775644
337,0.780027
338,0.781537
339,0.779690
340,0.775570
341,0.772519
342,0.774083
343,0.773871
