frame,value
0,0.850281
1,0.841597
2,0.838996
3,0.843929
4,0.845518
5,0.844395
6,0.843088
7,0.846688
8,0.845406
9,0.846133
10,0.839751
11,0.844794
12,0.838248
13,0.845299
14,0.837802
15,0.839032
16,0.836493
17,0.830068
18,0.820883
19,0.811780
20,0.806397
21,0.811689
22,0.819707
23,0.813338
24,0.801601
25,0.800128
26,0.797315
27,0.793582
28,0.790745
29,0.790119
30,0.786336
31,0.786515
32,0.784972
33,0.786673
34,0.784954
35,0.779452
36,0.778659
37,0.779577
38,0.777016
39,0.774383
40,0.774295
41,0.774652
42,0.779901
43,0.778959
44,0.779649
45,0.782675
46,0.783243
47,0.783700
48,0.794415
49,0.799419
50,0.799938
51,0.795005
52,0.798667
53,0.797914
54,0.797775
55,0.791888
56,0.790233
57,0.797588
58,0.802882
59,0.799007
60,0.790771
61,0.789030
62,0.783051
63,0.782431
64,0.779883
65,0.785098
66,0.779895
67,0.785305
68,0.778568
69,0.778951
70,0.777676
71,0.778866
72,0.777330
73,0.776929
74,0.779783
75,0.776428
76,0.784943
77,0.783028
78,0.783274
79,0.779517
80,0.785103
81,0.780745
82,0.780287
83,0.778186
84,0.784550
85,0.781483
86,0.784357
87,0.777822
88,0.782376
89,0.774954
90,0.775224
91,0.779767
92,0.774988
93,0.775492
94,0.776984
95,0.780233
96,0.776781
97,0.780803
98,0.774073
99,0.781968
100,0.776927
101,0.781255
102,0.775459
103,0.773274
104,0.775519
105,0.776460
106,0.779407
107,0.774068
108,0.777442
109,0.778909
110,0.781550
111,0.782589
112,0.775748
113,0.776299
114,0.778123
115,0.778988
116,0.778923
117,0.777695
118,0.782001
119,0.775648
120,0.783689
121,0.781320
122,0.782539
123,0.778749
124,0.777417
125,0.783508
126,0.777437
127,0.781322
128,0.780241
129,0.783631
130,0.780310
131,0.782461
132,0.779413
133,0.780914
134,0.781339
135,0.789981
136,0.780016
137,0.782656
138,0.782245
139,0.786992
140,0.783770
141,0.787016
142,0.786882
143,0.783235
144,0.786570
145,0.783794
146,0.787061
147,0.779285
148,0.785750
149,0.780325
150,0.797176
151,0.780251
152,0.789081
153,0.783954
154,0.789378
155,0.786476
156,0.786667
157,0.788276
158,0.784464
159,0.786219
160,0.782883
161,0.787635
162,0.782169
163,0.786996
164,0.789542
165,0.792924
166,0.785724
167,0.791027
168,0.786524
169,0.795172
170,0.784653
171,0.789838
172,0.781534
173,0.788712
174,0.780247
175,0.784861
176,0.782591
177,0.781739
178,0.779691
179,0.785638
180,0.787677
181,0.779771
182,0.784527
183,0.779252
184,0.787584
185,0.783057
186,0.788589
187,0.781711
188,0.788943
189,0.785514
190,0.785880
191,0.783610
192,0.783622
193,0.783221
194,0.794161
195,0.784397
196,0.781920
197,0.789738
198,0.788527
199,0.783733
200,0.789190
201,0.786093
202,0.788522
203,0.782799
204,0.785008
205,0.785479
206,0.782914
207,0.781865
208,0.781903
209,0.786048
210,0.779776
211,0.787149
212,0.781979
213,0.783883
214,0.783821
215,0.785269
216,0.780944
217,0.779523
218,0.776719
219,0.782672
220,0.778865
221,0.777640
222,0.776401
223,0.779377
224,0.780171
225,0.777102
226,0.782760
227,0.777145
228,0.779428
229,0.782068
230,0.780151
231,0.779314
232,0.780554
233,0.779316
234,0.778542
235,0.776271
236,0.779501
237,0.774555
238,0.776950
239,0.775318
240,0.774993
241,0.773619
242,0.775005
243,0.772695
244,0.772829
245,0.772057
246,0.772697
247,0.776422
248,0.771620
249,0.774688
250,0.847732
251,0.843550
252,0.824955
253,0.827045
254,0.819334
255,0.812816
256,0.810766
257,0.805244
258,0.799829
259,0.800115
260,0.795591
261,0.793209
262,0.792953
263,0.792018
264,0.792172
265,0.797277
266,0.791280
267,0.792816
268,0.794027
269,0.798116
270,0.789674
271,0.790989
272,0.791739
273,0.788722
274,0.790024
275,0.787354
276,0.788413
277,0.788539
278,0.791260
279,0.789473
280,0.799723
281,0.792640
282,0.795052
283,0.793337
284,0.797688
285,0.790003
286,0.797389
287,0.789329
288,0.790364
289,0.791246
290,0.789077
291,0.787390
292,0.788169
293,0.790737
294,0.787716
295,0.788599
296,0.793912
297,0.789957
298,0.787438
299,0.786618
300,0.791926
301,0.787414
302,0.786531
303,0.782688
304,0.790016
305,0.787064
306,0.786509
307,0.784036
308,0.782543
309,0.786141
310,0.784281
311,0.782321
312,0.780528
313,0.789278
314,0.785155
315,0.787845
316,0.783849
317,0.783313
318,0.783211
319,0.786661
320,0.781164
321,0.781339
322,0.778646
323,0.784633
324,0.781799
325,0.780062
326,0.775794
327,0.777066
328,0.777022
329,0.781865
330,0.777524
331,0.780868
332,0.778985
333,0.785562
334,0.779824
335,0.780243
336,0.774843
337,0.780270
338,0.781415
339,0.778336
340,0.775434
341,0.772803
342,0.774397
343,0.773506
344,0.781143
345,0.772960
346,0.775962
347,0.772332
348,0.782204
349,0.772876
350,0.773634
351,0.768827
352,0.773119
353,0.769669
354,0.769947
355,0.766684
356,0.767218
357,0.768781
358,0.768696
359,0.767500
360,0.768712
361,0.766969
362,0.764718
363,0.764032
364,0.768139
365,0.766506
366,0.770899
367,0.764693
368,0.769088
369,0.763749
370,0.765224
371,0.764041
372,0.763679
373,0.764351
374,0.767149
375,0.768149
376,0.765654
377,0.765118
378,0.763235
379,0.768062
380,0.764046
381,0.764848
382,0.763863
383,0.763846
384,0.760563
385,0.765088
386,0.764909
387,0.765241
388,0.763673
389,0.763223
390,0.762734
391,0.762430
392,0.761966
393,0.760380
394,0.762126
395,0.760341
396,0.757316
397,0.759864
398,0.756198
399,0.755155
400,0.755641
401,0.762235
402,0.758434
403,0.758722
404,0.761517
405,0.763769
406,0.764526
407,0.762018
408,0.765943
409,0.766825
410,0.764457
411,0.763922
412,0.766405
413,0.770692
414,0.769299
415,0.770180
416,0.766491
417,0.773637
418,0.768879
419,0.768254
420,0.767058
421,0.770792
422,0.770159
423,0.766269
424,0.767880
425,0.766566
426,0.767160
427,0.767790
428,0.773596
429,0.769158
430,0.769483
431,0.774231
432,0.775494
433,0.771839
434,0.769579
435,0.772197
436,0.776508
437,0.774947
438,0.775056
439,0.774956
440,0.779010
441,0.775277
442,0.776007
443,0.776800
444,0.781458
445,0.778826
446,0.781744
447,0.778512
448,0.778082
449,0.777123
450,0.778910
451,0.779363
452,0.782264
453,0.777928
454,0.784769
455,0.780904
456,0.785436
457,0.797488
458,0.802570
459,0.792095
460,0.789367
461,0.784232
462,0.790177
463,0.784714
464,0.782903
465,0.783335
466,0.782383
467,0.786017
468,0.784972
469,0.783537
470,0.782283
471,0.782836
472,0.784101
473,0.781485
474,0.781348
475,0.784503
476,0.783231
477,0.782679
478,0.782385
479,0.782687
480,0.782605
481,0.784920
482,0.786628
483,0.784225
484,0.786319
485,0.786292
486,0.789823
487,0.784606
488,0.787143
489,0.786798
490,0.794413
491,0.789639
492,0.792054
493,0.786554
494,0.796743
495,0.788262
496,0.787940
497,0.785084
498,0.796594
499,0.789303
average,0.783894
