frame,value
0,25.355051
1,25.147654
2,25.040043
3,25.220335
4,25.355871
5,25.303787
6,25.335220
7,25.409487
8,25.437819
9,25.465431
10,25.183113
11,25.411442
12,25.185265
13,25.500265
14,25.161261
15,25.263266
16,25.111559
17,24.963829
18,24.622591
19,24.313509
20,24.170761
21,24.423651
22,24.701300
23,24.488533
24,24.096478
25,24.122519
26,24.054842
27,23.984829
28,23.943930
29,23.918091
30,23.770943
31,23.811926
32,23.828747
33,23.867247
34,23.791534
35,23.701086
36,23.692009
37,23.715618
38,23.647997
39,23.570459
40,23.585028
41,23.636988
42,23.756630
43,23.721016
44,23.749105
45,23.841541
46,23.805626
47,23.835339
48,24.066565
49,24.217257
50,24.153013
51,24.047243
52,24.190987
53,24.156677
54,24.138033
55,23.971388
56,23.952274
57,24.163530
58,24.317194
59,24.186827
60,23.950399
61,23.948336
62,23.731733
63,23.725815
64,23.692047
65,23.780443
66,23.630182
67,23.835899
68,23.712729
69,23.754805
70,23.723146
71,23.732931
72,23.665508
73,23.658707
74,23.716703
75,23.645128
76,23.887608
77,23.836403
78,23.815773
79,23.684111
80,23.828520
81,23.735628
82,23.693964
83,23.603939
84,23.825417
85,23.790178
86,23.819803
87,23.620066
88,23.789690
89,23.622133
90,23.621574
91,23.718281
92,23.581100
93,23.558495
94,23.611242
95,23.723839
96,23.575123
97,23.654961
98,23.479933
99,23.737864
100,23.584091
101,23.696989
102,23.549576
103,23.476215
104,23.558903
105,23.582129
106,23.617250
107,23.487822
108,23.592966
109,23.682631
110,23.655777
111,23.719488
112,23.566786
113,23.593807
114,23.580172
115,23.660881
116,23.593050
117,23.622364
118,23.658888
119,23.522728
120,23.666517
121,23.654799
122,23.644434
123,23.569632
124,23.526838
125,23.703262
126,23.514769
127,23.632145
128,23.620626
129,23.667355
130,23.578249
131,23.615276
132,23.577450
133,23.643538
134,23.646826
135,23.827957
136,23.585457
137,23.667353
138,23.633331
139,23.738817
140,23.744652
141,23.771563
142,23.794754
143,23.629185
144,23.761507
145,23.661085
146,23.754902
147,23.516977
148,23.770058
149,23.619139
150,24.042809
151,23.565233
152,23.826254
153,23.801840
154,23.844624
155,23.720650
156,23.741570
157,23.889896
158,23.687059
159,23.741156
160,23.633793
161,23.760084
162,23.665207
163,23.737558
164,23.802925
165,23.859749
166,23.760023
167,23.850580
168,23.749084
169,23.959356
170,23.714380
171,23.907017
172,23.651634
173,23.838156
174,23.597494
175,23.720863
176,23.629934
177,23.600744
178,23.543751
179,23.754625
180,23.784733
181,23.595524
182,23.662758
183,23.603304
184,23.812607
185,23.726303
186,23.747545
187,23.646391
188,23.873991
189,23.766830
190,23.766174
191,23.684336
192,23.729412
193,23.673096
194,23.989033
195,23.679987
196,23.600531
197,23.868599
198,23.839815
199,23.708944
200,23.841106
201,23.742626
202,23.849979
203,23.629496
204,23.747673
205,23.717428
206,23.731949
207,23.679852
208,23.673674
209,23.711523
210,23.579502
211,23.772905
212,23.652977
213,23.727589
214,23.686262
215,23.838474
216,23.662884
217,23.630188
218,23.522249
219,23.709055
220,23.608749
221,23.616678
222,23.553873
223,23.590046
224,23.702595
225,23.629618
226,23.721996
227,23.550098
228,23.660240
229,23.759712
230,23.617317
231,23.591722
232,23.560307
233,23.596395
234,23.574051
235,23.545435
236,23.516960
237,23.486164
238,23.499268
239,23.471275
240,23.385447
241,23.446758
242,23.526711
243,23.387659
244,23.410349
245,23.358086
246,23.483088
247,23.483789
248,23.449478
249,23.421444
250,25.263964
251,25.116854
252,24.503006
253,24.487888
254,24.270287
255,24.281569
256,24.260763
257,24.083796
258,23.904907
259,23.974983
260,23.951300
261,23.789251
262,23.802458
263,23.758076
264,23.850235
265,23.984798
266,23.853748
267,23.812878
268,23.900822
269,24.028187
270,23.860567
271,23.845085
272,23.875748
273,23.815371
274,23.794584
275,23.722956
276,23.787737
277,23.841486
278,23.921312
279,23.906746
280,24.090244
281,23.960470
282,24.067207
283,24.036356
284,24.041618
285,23.945269
286,24.139717
287,23.950153
288,23.908550
289,23.947615
290,23.873926
291,23.884844
292,23.918833
293,23.988438
294,23.837154
295,23.918997
296,24.150702
297,23.985546
298,23.800484
299,23.781967
300,24.047976
301,23.838987
302,23.853403
303,23.736244
304,23.985359
305,23.862951
306,23.894321
307,23.822197
308,23.710613
309,23.908377
310,23.851946
311,23.745113
312,23.717014
313,23.923822
314,23.835543
315,23.877401
316,23.772524
317,23.685213
318,23.748125
319,23.852846
320,23.681408
321,23.677963
322,23.537033
323,23.799351
324,23.748711
325,23.633808
326,23.505310
327,23.581846
328,23.594349
329,23.701742
330,23.588531
331,23.685377
332,23.615625
333,23.843849
334,23.698402
335,23.652945
336,23.475639
337,23.631453
338,23.741058
339,23.650478
340,23.557772
341,23.482742
342,23.550747
343,23.560461
344,23.777117
345,23.527176
346,23.561815
347,23.478403
348,23.820194
349,23.517357
350,23.519810
351,23.403248
352,23.506491
353,23.477634
354,23.460426
355,23.339680
356,23.400820
357,23.454216
358,23.439404
359,23.341463
360,23.404270
361,23.452036
362,23.450983
363,23.331129
364,23.426657
365,23.424297
