frame,value
0,28.000664
1,27.551706
2,26.619713
3,26.499939
4,26.430462
5,26.430265
6,26.002304
7,26.005581
8,25.901344
9,25.829634
10,25.125177
11,25.162066
12,24.830000
13,24.733000
14,24.256714
15,24.284359
16,23.989283
17,23.929127
18,23.814566
19,23.822014
20,23.727852
21,23.698162
22,23.682055
23,23.649822
24,23.563540
25,23.629419
26,23.608261
27,23.587603
28,23.521776
29,23.520130
30,23.357040
31,23.414501
32,23.414425
33,23.474178
34,23.421797
35,23.328829
36,23.321060
37,23.335135
38,23.292830
39,23.227390
40,23.247559
41,23.258461
42,23.408665
43,23.342541
44,23.411377
45,23.510466
46,23.533627
47,23.504141
48,23.549265
49,23.399403
50,23.422844
51,23.293896
52,23.419813
53,23.368315
54,23.364698
55,23.390400
56,23.416880
57,23.386337
58,23.309019
59,23.373020
60,23.350677
61,23.400459
62,23.231281
63,23.236565
64,23.207121
65,23.357227
66,23.187792
67,23.391420
68,23.257780
69,23.326984
70,23.260611
71,23.311810
72,23.266529
73,23.314999
74,23.372036
75,23.325787
76,23.572910
77,23.562414
78,23.491789
79,23.336843
80,23.455379
81,23.406427
82,23.396568
83,23.314775
84,23.449333
85,23.407448
86,23.493620
87,23.290611
88,23.417326
89,23.246830
90,23.281683
91,23.348898
92,23.226955
93,23.177986
94,23.220680
95,23.329866
96,23.172586
97,23.275702
98,23.088234
99,23.312311
100,23.176893
101,23.275764
102,23.185911
103,23.071390
104,23.151102
105,23.141218
106,23.234005
107,23.085793
108,23.233393
109,23.307926
110,23.283543
111,23.349382
112,23.291786
113,23.295073
114,23.282270
115,23.344751
116,23.232447
117,23.300716
118,23.352369
119,23.230574
120,23.348078
121,23.292692
122,23.335979
123,23.325462
124,23.211287
125,23.356434
126,23.170288
127,23.299992
128,23.273314
129,23.302389
130,23.224207
131,23.301397
132,23.244709
133,23.333939
134,23.346895
135,23.491013
136,23.280853
137,23.320993
138,23.312155
139,23.353266
140,23.372864
141,23.395710
142,23.428425
143,23.239647
144,23.368853
145,23.302019
146,23.381041
147,23.178642
148,23.395967
149,23.275158
150,23.707018
151,23.257143
152,23.484306
153,23.466707
154,23.540522
155,23.404327
156,23.447586
157,23.559946
158,23.445499
159,23.454939
160,23.410883
161,23.533361
162,23.460873
163,23.511240
164,23.572186
165,23.615681
166,23.546089
167,23.590900
168,23.504671
169,23.725941
170,23.489071
171,23.675529
172,23.408682
173,23.571775
174,23.314743
175,23.527103
176,23.405237
177,23.378775
178,23.232872
179,23.442488
180,23.459650
181,23.355816
182,23.403423
183,23.338348
184,23.547411
185,23.523043
186,23.522161
187,23.431711
188,23.606850
189,23.503214
190,23.520590
191,23.455893
192,23.460354
193,23.396156
194,23.665447
195,23.394314
196,23.329687
197,23.595968
198,23.564894
199,23.459911
200,23.588280
201,23.488895
202,23.595268
203,23.368364
204,23.529310
205,23.477444
206,23.512495
207,23.440989
208,23.421993
209,23.435184
210,23.336033
211,23.497276
212,23.394970
213,23.467484
214,23.408264
215,23.582645
216,23.368917
217,23.329969
218,23.259823
219,23.407124
220,23.308344
221,23.312258
222,23.282391
223,23.321629
224,23.406174
225,23.330000
226,23.447298
227,23.251339
228,23.405302
229,23.490854
230,23.364750
231,23.349741
232,23.341785
233,23.343634
234,23.323275
235,23.230158
236,23.208158
237,23.206415
238,23.169512
239,23.123583
240,23.087469
241,23.129835
242,23.241144
243,23.086071
244,23.096401
245,23.068501
246,23.128607
247,23.140499
248,23.104031
249,23.066463
250,24.960026
251,24.888149
252,24.295614
253,24.301384
254,23.955999
255,23.919823
256,23.860582
257,23.676704
258,23.503233
259,23.541765
260,23.535269
261,23.416368
262,23.415075
263,23.361784
264,23.439617
265,23.593195
266,23.478619
267,23.433558
268,23.487450
269,23.646532
270,23.483421
271,23.405210
272,23.446989
273,23.412575
274,23.375793
275,23.297764
276,23.417942
277,23.446154
278,23.521090
279,23.499651
280,23.646994
281,23.538893
282,23.602697
283,23.571272
284,23.636427
285,23.517191
286,23.697157
287,23.508221
288,23.482111
289,23.526615
290,23.425758
291,23.469946
292,23.513815
293,23.565149
294,23.426138
295,23.487530
296,23.712181
297,23.559582
298,23.393063
299,23.390259
300,23.610418
301,23.426411
302,23.422773
303,23.323301
304,23.506836
305,23.392864
306,23.414663
307,23.391602
308,23.280188
309,23.505350
310,23.439873
311,23.337992
312,23.301390
313,23.476568
314,23.415604
315,23.432674
316,23.353737
317,23.277411
318,23.296894
319,23.418880
320,23.228771
321,23.254051
322,23.118347
323,23.373873
324,23.318567
325,23.213657
326,23.121094
327,23.155403
328,23.176304
329,23.283369
330,23.172642
331,23.312969
332,23.228848
333,23.444012
334,23.295517
335,23.274067
336,23.088917
337,23.230705
338,23.318396
339,23.273739
340,23.164007
341,23.117670
342,23.152643
343,23.206453
344,23.357098
345,23.143055
346,23.184988
347,23.113977
348,23.428595
349,23.134001
350,23.105244
351,23.017656
352,23.124828
353,23.060940
354,23.067589
355,22.947302
356,23.028490
357,23.059938
358,23.081213
359,23.021677
360,23.037489
361,23.121021
362,23.121132
363,23.037022
364,23.134089
365,23.081070
366,23.127769
367,23.006189
368,23.110189
369,22.992002
370,23.045734
371,23.081215
372,23.016247
373,23.079916
374,23.120766
375,23.190228
376,23.141085
377,23.109709
378,23.083366
379,23.155752
380,23.052261
381,23.064232
382,23.064344
383,23.077784
384,22.970728
385,23.134737
386,23.138014
387,23.143450
388,23.109358
389,23.075857
390,23.029947
391,22.987913
392,23.024706
393,22.989517
394,22.987339
395,22.992334
396,22.900515
397,22.971035
398,22.892750
399,22.905382
400,22.897537
401,22.999422
402,22.938416
403,22.963570
404,23.054152
405,23.105577
406,23.052670
407,23.031904
408,23.168756
409,23.139137
410,23.055216
411,23.062197
412,23.132875
413,23.241005
414,23.187786
415,23.167946
416,23.054729
417,23.240103
418,23.184471
419,23.141899
420,23.098536
421,23.263357
422,23.232674
423,23.126171
424,23.104719
425,23.097393
426,23.102886
427,23.211826
428,23.332851
429,23.172796
430,23.178665
431,23.364748
432,23.403196
433,23.182129
434,23.115658
435,23.166670
436,23.332098
437,23.256302
438,23.277405
439,23.201656
440,23.343990
441,23.214333
442,23.226227
443,23.153460
444,23.377035
445,23.363951
446,23.333481
447,23.283585
448,23.262123
449,23.196342
450,23.272730
451,23.285324
452,23.312958
453,23.271545
454,23.461405
455,23.360935
456,23.483791
457,24.115553
458,24.284523
459,23.702911
460,23.623653
461,23.524416
462,23.653103
463,23.469439
464,23.425894
465,23.457254
466,23.272375
467,23.444530
468,23.472977
469,23.351557
470,23.276182
471,23.279945
