frame,value
0,0.923381
1,0.917917
2,0.917046
3,0.920027
4,0.921847
5,0.922040
6,0.921505
7,0.920993
8,0.922291
9,0.926799
10,0.928659
11,0.927411
12,0.927464
13,0.929489
14,0.927673
15,0.930131
16,0.937191
17,0.935281
18,0.933839
19,0.933250
20,0.934814
21,0.935160
22,0.935958
23,0.935878
24,0.936510
25,0.934077
26,0.933131
27,0.934374
28,0.935244
29,0.937328
30,0.935411
31,0.936529
32,0.936000
33,0.936127
34,0.935560
35,0.934128
36,0.935686
37,0.937268
38,0.936787
39,0.936565
40,0.934820
41,0.934752
42,0.934995
43,0.936974
44,0.937732
45,0.935967
46,0.938433
47,0.934994
48,0.938826
49,0.935087
50,0.938224
51,0.935502
52,0.937240
53,0.938456
54,0.935664
55,0.935880
56,0.940013
57,0.938868
58,0.939022
59,0.938988
60,0.940578
61,0.938915
62,0.939725
63,0.939248
64,0.940889
65,0.941795
66,0.938761
67,0.940746
68,0.935909
69,0.938298
70,0.936953
71,0.940949
72,0.939654
73,0.938892
74,0.938476
75,0.936335
76,0.938939
77,0.941405
78,0.941057
79,0.940954
80,0.942601
81,0.938284
82,0.939212
83,0.938267
84,0.952844
85,0.942336
86,0.944975
87,0.941404
88,0.944309
89,0.939869
90,0.940655
91,0.943657
92,0.940531
93,0.940408
94,0.941432
95,0.941364
96,0.941557
97,0.944760
98,0.938073
99,0.944753
100,0.941818
101,0.944189
102,0.940481
103,0.940149
104,0.939048
105,0.942390
106,0.943698
107,0.941132
108,0.940153
109,0.941467
110,0.941182
111,0.941685
112,0.938168
113,0.940823
114,0.943364
115,0.941623
116,0.943294
117,0.940033
118,0.942138
119,0.937031
120,0.944431
121,0.952143
122,0.945106
123,0.942312
124,0.940777
125,0.944428
126,0.940388
127,0.942636
128,0.941348
129,0.942738
130,0.939716
131,0.941961
132,0.939740
133,0.940910
134,0.939660
135,0.947789
136,0.941938
137,0.942972
138,0.940358
139,0.946055
140,0.941901
141,0.945166
142,0.942162
143,0.942486
144,0.943516
145,0.943362
146,0.944050
147,0.941829
148,0.944075
149,0.942278
150,0.951573
151,0.940878
152,0.946458
153,0.941039
154,0.944578
155,0.944566
156,0.944534
157,0.941278
158,0.940089
159,0.941537
160,0.942141
161,0.944769
162,0.941445
163,0.945523
164,0.946130
165,0.947797
166,0.944053
167,0.946230
168,0.941412
169,0.951503
170,0.942786
171,0.947258
172,0.943235
173,0.947454
174,0.939838
175,0.944476
176,0.943283
177,0.942699
178,0.940184
179,0.944173
180,0.948090
181,0.939957
182,0.954600
183,0.941990
184,0.947009
185,0.940823
186,0.946690
187,0.941968
188,0.943409
189,0.941840
190,0.944081
191,0.941865
192,0.941310
193,0.941721
194,0.950778
195,0.942760
196,0.941556
197,0.944901
198,0.944448
199,0.942038
200,0.946301
201,0.943354
202,0.945233
203,0.943589
204,0.942375
205,0.941978
206,0.942186
207,0.942416
208,0.942408
209,0.946747
210,0.939513
211,0.944910
212,0.939572
213,0.952555
214,0.944577
215,0.945304
216,0.942360
217,0.942413
218,0.940761
219,0.942521
220,0.940031
221,0.940905
222,0.940334
223,0.942238
224,0.942298
225,0.939124
226,0.941871
227,0.938955
228,0.940791
229,0.940692
230,0.941797
231,0.939178
232,0.942472
233,0.939135
234,0.941146
235,0.938846
236,0.944580
237,0.938154
238,0.941504
239,0.938378
240,0.942034
241,0.938409
242,0.941462
243,0.940019
244,0.941757
245,0.941044
246,0.940867
247,0.943921
248,0.939311
249,0.943279
250,0.964709
251,0.944895
252,0.937973
253,0.942752
254,0.941570
255,0.937137
256,0.939743
257,0.937929
258,0.935933
259,0.935943
260,0.935172
261,0.934734
262,0.935621
263,0.935402
264,0.934940
265,0.939022
266,0.934925
267,0.935691
268,0.935377
269,0.940036
270,0.934992
271,0.936291
272,0.935177
273,0.934622
274,0.935493
275,0.934328
276,0.935003
277,0.934695
278,0.936749
279,0.935502
280,0.939678
281,0.934573
282,0.935753
283,0.935151
284,0.940518
285,0.934721
286,0.938081
287,0.931881
288,0.931982
289,0.933188
290,0.935367
291,0.935204
292,0.934920
293,0.936837
294,0.933561
295,0.933198
296,0.935271
297,0.935109
298,0.937764
299,0.937387
300,0.938531
301,0.934845
302,0.933095
303,0.932308
304,0.938662
305,0.938496
306,0.937465
307,0.935405
308,0.933777
309,0.936195
310,0.937167
311,0.937033
312,0.936759
313,0.942474
314,0.938256
315,0.938457
316,0.937615
317,0.938832
318,0.937318
319,0.938079
320,0.933642
321,0.935656
322,0.936200
323,0.937728
324,0.937195
325,0.936366
326,0.934330
327,0.934642
328,0.936847
329,0.939083
330,0.937710
331,0.938992
332,0.937131
333,0.939329
334,0.936134
335,0.939073
336,0.936482
337,0.939387
338,0.940692
339,0.938649
340,0.936635
341,0.939184
342,0.937605
343,0.939222
344,0.941539
345,0.936001
346,0.941737
347,0.938060
348,0.943741
349,0.937733
350,0.938750
351,0.938981
352,0.940512
353,0.936471
354,0.939798
355,0.938128
356,0.937919
357,0.939879
358,0.937966
359,0.938981
360,0.939970
361,0.940585
362,0.938374
363,0.939037
364,0.941958
365,0.939148
366,0.943956
367,0.939494
368,0.944163
369,0.938064
370,0.941571
371,0.939017
372,0.941749
373,0.938386
374,0.942243
375,0.939960
376,0.940817
377,0.938769
378,0.940403
379,0.942458
380,0.940810
381,0.940449
382,0.941119
383,0.939806
384,0.937843
385,0.941223
386,0.939711
387,0.941914
388,0.939593
389,0.940348
390,0.942650
391,0.939712
392,0.939080
393,0.940844
394,0.940012
395,0.939440
396,0.939869
397,0.941995
398,0.938821
399,0.937682
400,0.940140
401,0.943146
402,0.938303
403,0.939072
404,0.938330
405,0.943477
406,0.939391
407,0.940976
408,0.939962
409,0.940943
410,0.941065
411,0.939452
412,0.941229
413,0.942755
414,0.939994
415,0.943033
416,0.939796
417,0.945822
418,0.939569
419,0.941110
420,0.941905
421,0.942529
422,0.940798
423,0.941128
424,0.940855
425,0.942950
426,0.940495
427,0.938819
428,0.945498
429,0.942240
430,0.941751
431,0.942629
432,0.942891
433,0.943253
434,0.942340
435,0.942099
436,0.943985
437,0.941641
438,0.943024
439,0.943541
440,0.941956
441,0.941838
442,0.939950
443,0.940565
444,0.943565
445,0.942020
446,0.946239
447,0.943937
448,0.941634
449,0.941344
450,0.940162
451,0.940805
452,0.940675
453,0.940184
454,0.943178
455,0.940744
456,0.939135
457,0.936779
458,0.936450
459,0.935896
460,0.936388
461,0.934237
462,0.937177
463,0.933502
464,0.942638
465,0.936634
466,0.938363
467,0.939371
468,0.936479
469,0.940069
470,0.937310
471,0.941829
472,0.938840
473,0.938330
474,0.938881
475,0.939741
476,0.938036
477,0.939838
478,0.937163
479,0.936082
480,0.936438
481,0.939523
482,0.941239
483,0.939458
484,0.938615
485,0.937090
486,0.941224
487,0.937804
488,0.938532
489,0.939097
490,0.940431
491,0.938180
492,0.938488
493,0.938400
494,0.940550
495,0.936309
496,0.937601
497,0.934799
498,0.941962
499,0.934317
average,0.939500
