frame,value
0,0.928483
1,0.924648
2,0.924284
3,0.927829
4,0.929498
5,0.929828
6,0.929073
7,0.929956
8,0.930858
9,0.933935
10,0.935726
11,0.934168
12,0.936671
13,0.938305
14,0.938785
15,0.937786
16,0.939206
17,0.939072
18,0.938998
19,0.939380
20,0.940384
21,0.939225
22,0.939878
23,0.939683
24,0.942634
25,0.942509
26,0.938753
27,0.940836
28,0.938192
29,0.941306
30,0.939292
31,0.942829
32,0.939787
33,0.941850
34,0.940851
35,0.939602
36,0.942275
37,0.943824
38,0.943494
39,0.941013
40,0.940337
41,0.939142
42,0.940520
43,0.941125
44,0.943863
45,0.942428
46,0.942561
47,0.940255
48,0.942763
49,0.939144
50,0.941948
51,0.943936
52,0.943794
53,0.940711
54,0.940556
55,0.939654
56,0.941920
57,0.942177
58,0.945092
59,0.944760
60,0.942648
61,0.942233
62,0.940188
63,0.942382
64,0.942088
65,0.944506
66,0.941284
67,0.944193
68,0.938948
69,0.943280
70,0.940988
71,0.941990
72,0.945156
73,0.950753
74,0.947400
75,0.941604
76,0.944000
77,0.942326
78,0.942788
79,0.942432
80,0.942807
81,0.943934
82,0.947174
83,0.945050
84,0.944817
85,0.943241
86,0.945074
87,0.942914
88,0.945688
89,0.943972
90,0.951539
91,0.948585
92,0.942715
93,0.943509
94,0.942843
95,0.943729
96,0.945171
97,0.951292
98,0.947127
99,0.946980
100,0.942543
101,0.947091
102,0.940543
103,0.945496
104,0.947619
105,0.948448
106,0.946209
107,0.942109
108,0.943358
109,0.941987
110,0.947203
111,0.949470
112,0.945295
113,0.945036
114,0.944732
115,0.943614
116,0.944064
117,0.941696
118,0.944858
119,0.943683
120,0.952062
121,0.946755
122,0.945643
123,0.944136
124,0.942788
125,0.945416
126,0.945071
127,0.948812
128,0.946252
129,0.944763
130,0.942756
131,0.943798
132,0.942626
133,0.943690
134,0.944714
135,0.952281
136,0.943363
137,0.945683
138,0.943075
139,0.947151
140,0.946383
141,0.953807
142,0.947156
143,0.943195
144,0.946197
145,0.944573
146,0.945435
147,0.945064
148,0.949822
149,0.945661
150,0.955390
151,0.941034
152,0.948765
153,0.940811
154,0.948626
155,0.953271
156,0.949657
157,0.947858
158,0.944387
159,0.944712
160,0.942559
161,0.945019
162,0.944660
163,0.950049
164,0.950862
165,0.953734
166,0.945626
167,0.948738
168,0.944106
169,0.951447
170,0.946042
171,0.951504
172,0.948179
173,0.951913
174,0.943788
175,0.944986
176,0.943412
177,0.943748
178,0.943357
179,0.949741
180,0.949213
181,0.940999
182,0.947824
183,0.944411
184,0.951226
185,0.942444
186,0.947298
187,0.943645
188,0.944170
189,0.945667
190,0.948334
191,0.944274
192,0.942330
193,0.943939
194,0.950774
195,0.945655
196,0.947663
197,0.951185
198,0.948023
199,0.942287
200,0.947505
201,0.944379
202,0.947939
203,0.948245
204,0.948995
205,0.946511
206,0.942816
207,0.943779
208,0.942519
209,0.949743
210,0.946561
211,0.950873
212,0.943690
213,0.944581
214,0.944472
215,0.948176
216,0.945646
217,0.947753
218,0.942995
219,0.943523
220,0.942062
221,0.941790
222,0.944866
223,0.948770
224,0.947489
225,0.942324
226,0.942268
227,0.940640
228,0.941993
229,0.945130
230,0.947056
231,0.942273
232,0.942945
233,0.940736
234,0.942331
235,0.943669
236,0.949762
237,0.941269
238,0.941955
239,0.940019
240,0.943222
241,0.943541
242,0.947092
243,0.943355
244,0.942133
245,0.942491
246,0.941666
247,0.948876
248,0.946825
249,0.945237
250,0.964709
251,0.946670
252,0.939550
253,0.944463
254,0.943592
255,0.941261
256,0.943574
257,0.942191
258,0.940585
259,0.941011
260,0.940640
261,0.942412
262,0.940640
263,0.942000
264,0.941517
265,0.945569
266,0.939722
267,0.939529
268,0.939195
269,0.948711
270,0.941813
271,0.943275
272,0.944515
273,0.940488
274,0.941500
275,0.938666
276,0.944728
277,0.944371
278,0.946215
279,0.943056
280,0.946195
281,0.939384
282,0.941766
283,0.945362
284,0.949269
285,0.943579
286,0.946825
287,0.939898
288,0.938838
289,0.939828
290,0.937501
291,0.939543
292,0.943978
293,0.944848
294,0.944441
295,0.941409
296,0.939384
297,0.938805
298,0.939646
299,0.941432
300,0.944935
301,0.943700
302,0.943280
303,0.939079
304,0.941059
305,0.940392
306,0.939557
307,0.939420
308,0.945429
309,0.945424
310,0.944215
311,0.944264
312,0.940170
313,0.944648
314,0.939988
315,0.942685
316,0.941448
317,0.947560
318,0.944103
319,0.946526
320,0.940725
321,0.940070
322,0.938475
323,0.941770
324,0.941105
325,0.946705
326,0.939788
327,0.938695
328,0.941262
329,0.943201
330,0.946830
331,0.942852
332,0.940964
333,0.949008
334,0.944852
335,0.946280
336,0.944132
337,0.943597
338,0.944261
339,0.942417
340,0.940225
341,0.941087
342,0.946598
343,0.946122
344,0.947933
345,0.940936
346,0.942943
347,0.939675
348,0.945373
349,0.940973
350,0.947074
351,0.940290
352,0.942068
353,0.937563
354,0.940986
355,0.940922
356,0.946442
357,0.941940
358,0.939113
359,0.939741
360,0.943097
361,0.941590
362,0.946515
363,0.942833
364,0.941745
365,0.942061
366,0.945358
367,0.942410
368,0.945521
369,0.940903
370,0.942776
371,0.939468
372,0.942634
373,0.940841
374,0.943148
375,0.940939
376,0.940167
377,0.940968
378,0.945942
379,0.949256
380,0.946860
381,0.943393
382,0.941290
383,0.940232
384,0.939580
385,0.940984
386,0.940873
387,0.942880
388,0.946822
389,0.947878
390,0.944833
391,0.941243
392,0.941232
393,0.940824
394,0.941227
395,0.942162
396,0.946313
397,0.949723
398,0.947375
399,0.941325
400,0.940437
401,0.943771
402,0.939132
403,0.940781
404,0.939752
405,0.944656
406,0.948003
407,0.943000
408,0.943285
409,0.944049
410,0.942693
411,0.947031
412,0.943438
413,0.944871
414,0.941981
415,0.943509
416,0.942675
417,0.950917
418,0.946753
419,0.944912
420,0.942052
421,0.944408
422,0.942536
423,0.941100
424,0.944522
425,0.948370
426,0.947724
427,0.943527
428,0.946074
429,0.942852
430,0.943453
431,0.944039
432,0.946235
433,0.948516
434,0.947791
435,0.945366
436,0.945259
437,0.944327
438,0.942934
439,0.943085
440,0.944132
441,0.946961
442,0.943589
443,0.945112
444,0.946338
445,0.941941
446,0.947188
447,0.948869
448,0.948111
449,0.943099
450,0.942838
451,0.944187
452,0.943578
453,0.939850
454,0.944036
455,0.946063
456,0.945940
457,0.941107
458,0.940312
459,0.937269
460,0.937573
461,0.936688
462,0.940994
463,0.937855
464,0.939755
465,0.937866
466,0.938780
467,0.939617
468,0.937922
469,0.943224
470,0.940734
471,0.947138
472,0.941742
473,0.940091
474,0.941756
475,0.942510
476,0.945339
477,0.941391
478,0.940628
479,0.939023
480,0.940787
481,0.945001
482,0.944414
483,0.940908
484,0.940004
485,0.939404
486,0.942189
487,0.945160
488,0.945806
489,0.940859
490,0.941286
491,0.939888
492,0.939887
493,0.937684
494,0.943986
495,0.939019
496,0.940456
497,0.937538
498,0.944599
499,0.937215
average,0.943303
