frame,value
0,30.877140
1,30.660074
2,30.711271
3,30.990868
4,31.267111
5,31.244801
6,31.246931
7,31.260859
8,31.489582
9,31.848335
10,31.936720
11,31.918669
12,32.327717
13,32.500931
14,32.488907
15,32.525639
16,32.536247
17,32.599743
18,32.556198
19,32.610683
20,32.649273
21,32.636261
22,32.666885
23,32.661804
24,33.059975
25,33.084663
26,32.572914
27,32.797020
28,32.485397
29,32.771381
30,32.630257
31,33.109051
32,32.737286
33,32.831944
34,32.757915
35,32.691578
36,33.086231
37,33.170700
38,33.163570
39,32.813400
40,32.784706
41,32.533684
42,32.760712
43,32.750900
44,33.182629
45,33.093040
46,32.905304
47,32.749832
48,32.732204
49,32.651691
50,32.777466
51,33.355991
52,33.179176
53,32.818192
54,32.755718
55,32.574371
56,32.795876
57,32.814648
58,33.422325
59,33.244259
60,32.909641
61,32.882591
62,32.558949
63,32.806839
64,32.668938
65,32.706802
66,32.602146
67,32.831051
68,32.402378
69,33.130348
70,32.789772
71,32.844406
72,33.435726
73,34.225906
74,33.624977
75,32.887840
76,33.023193
77,32.826748
78,32.918919
79,32.805035
80,32.716316
81,33.163567
82,33.530937
83,33.230499
84,32.989174
85,32.943554
86,32.894566
87,32.837360
88,33.023624
89,33.148190
90,34.231716
91,33.536369
92,32.857101
93,32.930241
94,32.893917
95,32.798046
96,33.217365
97,33.787598
98,33.549522
99,33.250919
100,32.784565
101,33.133537
102,32.605083
103,33.220451
104,33.571301
105,33.634560
106,33.154045
107,32.709198
108,32.895752
109,32.694397
110,33.305485
111,33.661400
112,33.253513
113,33.258404
114,32.913933
115,32.932281
116,32.775299
117,32.801605
118,32.769627
119,33.112606
120,33.790337
121,33.349869
122,32.924240
123,32.932930
124,32.840199
125,32.841434
126,33.176563
127,33.630474
128,33.303879
129,32.923912
130,32.810047
131,32.761013
132,32.808777
133,32.884735
134,33.177433
135,33.668480
136,32.892796
137,33.017006
138,32.866985
139,33.072487
140,33.317318
141,34.390312
142,33.457336
143,32.840534
144,33.160007
145,32.998318
146,32.898090
147,33.184582
148,33.730030
149,33.298176
150,33.977161
151,32.652767
152,33.265442
153,32.606350
154,33.432938
155,34.329018
156,33.746815
157,33.668278
158,33.081554
159,32.956982
160,32.747757
161,32.845039
162,33.223606
163,33.727261
164,33.772869
165,33.979076
166,33.146927
167,33.177002
168,32.799850
169,33.261772
170,33.269386
171,33.826176
172,33.607952
173,33.866531
174,32.990833
175,32.969501
176,32.794643
177,32.888718
178,32.823307
179,33.712246
180,33.307518
181,32.618084
182,33.090076
183,33.185474
184,33.794647
185,32.925808
186,32.961815
187,32.887482
188,32.742214
189,33.241722
190,33.611942
191,32.961445
192,32.858582
193,32.911560
194,33.242336
195,33.214943
196,33.562508
197,33.821114
198,33.293335
199,32.744781
200,33.169674
201,32.966808
202,33.410110
203,33.576683
204,33.683140
205,33.152344
206,32.841591
207,32.944447
208,32.693657
209,33.460571
210,33.505287
211,33.779766
212,32.997871
213,32.906960
214,32.803631
215,33.414104
216,33.308029
217,33.603851
218,32.913025
219,32.858292
220,32.878410
221,32.710217
222,33.213131
223,33.624958
224,33.617382
225,32.988583
226,32.753490
227,32.576710
228,32.786659
229,33.249237
230,33.526936
231,32.866676
232,32.719654
233,32.606953
234,32.796108
235,33.137459
236,33.642303
237,32.868649
238,32.715511
239,32.578793
240,32.786617
241,33.123783
242,33.553223
243,32.920307
244,32.706528
245,32.640297
246,32.759586
247,33.400238
248,33.522999
249,33.014450
250,36.219181
251,32.812012
252,32.376892
253,32.592030
254,32.359745
255,32.485870
256,32.601765
257,32.474678
258,32.337524
259,32.399925
260,32.404644
261,32.640999
262,32.399982
263,32.646904
264,32.697281
265,32.921619
266,32.331596
267,32.096027
268,32.190010
269,33.361832
270,32.745899
271,32.762035
272,33.125816
273,32.569023
274,32.549889
275,32.171795
276,33.144302
277,33.163929
278,33.305332
279,32.939396
280,32.905598
281,32.284859
282,32.574772
283,33.230766
284,33.421101
285,33.165619
286,33.366570
287,32.678852
288,32.337639
289,32.020649
290,31.799305
291,32.282177
292,33.160015
293,33.241058
294,33.195950
295,32.762875
296,32.456558
297,32.300701
298,32.230698
299,32.447861
300,33.207130
301,33.131683
302,33.153469
303,32.584137
304,32.565544
305,32.461987
306,32.488819
307,32.436188
308,33.425182
309,33.305782
310,33.234974
311,33.208092
312,32.650600
313,32.763363
314,32.481426
315,32.642330
316,32.713242
317,33.514519
318,33.213448
319,33.369289
320,32.703934
321,32.487389
322,32.268463
323,32.753574
324,32.754734
325,33.493729
326,32.639473
327,32.422119
328,32.782318
329,32.885448
330,33.517895
331,32.822617
332,32.531528
333,33.644814
334,33.255283
335,33.324940
336,33.156418
337,32.837528
338,32.832901
339,32.587589
340,32.405888
341,32.688335
342,33.478966
343,33.509098
344,33.471577
345,32.742111
346,32.771488
347,32.426006
348,32.973904
349,32.686760
350,33.497105
351,32.637779
352,32.624004
353,32.324615
354,32.706497
355,32.683548
356,33.481560
357,32.854874
358,32.457535
359,32.383511
360,32.800213
361,32.790379
362,33.504734
363,32.873348
364,32.597733
365,32.807499
366,32.981468
367,32.739712
368,32.958538
369,32.698795
370,32.802006
371,32.379620
372,32.722862
373,32.653873
374,32.791821
375,32.523041
376,32.434910
377,32.617603
378,33.411530
379,33.602631
380,33.509953
381,32.896893
382,32.584724
383,32.343838
384,32.431995
385,32.459633
386,32.448837
387,32.732975
388,33.469730
389,33.541195
390,32.972958
391,32.543213
392,32.566811
393,32.504551
394,32.503437
395,32.706047
396,33.408169
397,33.640724
398,33.543011
399,32.775078
400,32.492458
401,32.475712
402,32.212746
403,32.425442
404,32.379269
405,32.820721
406,33.493786
407,32.848351
408,32.846699
409,32.680981
410,32.689266
411,33.448414
412,32.882816
413,32.832027
414,32.584949
415,32.602753
416,32.716263
417,33.686367
418,33.483280
419,32.955582
420,32.525917
421,32.777584
422,32.567432
423,32.442440
424,32.778339
425,33.495773
426,33.508400
427,32.927746
428,32.843613
429,32.604481
430,32.592899
