frame,value
0,30.877140
1,30.662945
2,30.712013
3,31.024578
4,31.281231
5,31.262302
6,31.255075
7,31.276453
8,31.499792
9,31.854120
10,31.935040
11,31.924088
12,32.322880
13,32.936363
14,32.559689
15,32.569229
16,32.325817
17,32.987030
18,32.626358
19,32.659958
20,32.683304
21,32.667183
22,33.370682
23,33.117401
24,33.136341
25,32.633392
26,32.745144
27,32.630981
28,32.702908
29,32.787033
30,33.059170
31,33.145233
32,32.589085
33,32.850960
34,32.533142
35,32.687412
36,32.711464
37,33.162907
38,33.157078
39,32.800949
40,32.775555
41,32.526237
42,33.141594
43,32.802895
44,33.504082
45,33.134193
46,32.953098
47,32.778805
48,32.959145
49,32.697998
50,32.813232
51,33.371918
52,33.491734
53,33.188705
54,32.836296
55,32.650047
56,32.844967
57,32.860107
58,32.763344
59,32.824799
60,33.502102
61,33.536869
62,33.201630
63,32.946529
64,32.571892
65,32.374626
66,32.603531
67,32.836712
68,32.669132
69,32.739540
70,32.756054
71,32.829647
72,33.441353
73,33.510929
74,33.550850
75,32.955250
76,32.828201
77,32.956211
78,32.903118
79,32.791447
80,32.914452
81,33.475288
82,34.250916
83,33.321190
84,33.214336
85,32.862045
86,32.943577
87,33.251217
88,33.133972
89,33.194546
90,33.543400
91,33.204239
92,32.932167
93,32.882866
94,32.853279
95,32.974201
96,33.527233
97,34.517036
98,34.308857
99,33.409531
100,32.957771
101,32.978264
102,32.697227
103,32.895535
104,32.919838
105,32.940594
106,33.359745
107,34.243587
108,33.642078
109,33.389980
110,32.967888
111,33.134403
112,32.729736
113,32.888119
114,32.967228
115,33.266724
116,34.312317
117,33.310047
118,33.061398
119,32.865582
120,33.036495
121,32.958500
122,33.001797
123,33.256176
124,34.230885
125,33.264652
126,32.960445
127,33.052971
128,32.719208
129,33.361145
130,33.509483
131,33.658695
132,32.985851
133,33.011177
134,32.902515
135,33.133865
136,33.240013
137,33.669598
138,33.579144
139,33.251694
140,33.069172
141,33.122124
142,32.815083
143,33.253819
144,33.716240
145,33.649857
146,33.523033
147,32.764004
148,33.155231
149,32.913715
150,33.402210
151,33.154358
152,33.860771
153,33.535233
154,33.549068
155,32.900181
156,33.055599
157,32.956398
158,32.677864
159,33.325825
160,34.232330
161,33.784752
162,33.038925
163,33.039837
164,33.166260
165,33.164879
166,33.361443
167,33.867176
168,33.371376
169,33.848850
170,32.844139
171,33.272293
172,32.739555
173,33.538788
174,34.230400
175,33.752583
176,33.690250
177,33.081448
178,32.779591
179,32.985268
180,33.247696
181,33.184856
182,33.771301
183,33.559635
184,33.302273
185,32.753235
186,33.160969
187,32.707825
188,33.340984
189,33.568966
190,33.650436
191,33.019009
192,32.724785
193,32.925510
194,33.249458
195,33.243256
196,33.567585
197,33.827133
198,33.304794
199,32.930962
200,33.191223
201,32.996773
202,33.428375
203,33.594193
204,33.696102
205,33.461021
206,33.052456
207,32.999187
208,32.942581
209,32.962910
210,33.202301
211,33.749359
212,33.274487
213,33.405331
214,32.928043
215,33.130421
216,32.989243
217,32.975849
218,33.183346
219,34.333538
220,33.633022
221,33.128685
222,32.864819
223,33.062820
224,33.000408
225,32.686577
226,33.240803
227,33.474068
228,33.250679
229,33.333969
230,32.779320
231,32.833435
232,32.666714
