frame,value
0,0.911685
1,0.905798
2,0.901120
3,0.902365
4,0.902900
5,0.900479
6,0.900771
7,0.901188
8,0.905679
9,0.907640
10,0.908815
11,0.907906
12,0.907536
13,0.910049
14,0.909741
15,0.905340
16,0.904653
17,0.904296
18,0.902633
19,0.902663
20,0.902908
21,0.901754
22,0.901776
23,0.901821
24,0.900791
25,0.900829
26,0.899819
27,0.901667
28,0.899338
29,0.901413
30,0.897982
31,0.899788
32,0.898479
33,0.900903
34,0.898660
35,0.897042
36,0.904043
37,0.901744
38,0.905982
39,0.905869
40,0.902494
41,0.901877
42,0.901990
43,0.906588
44,0.908457
45,0.907059
46,0.910130
47,0.908315
48,0.912708
49,0.907786
50,0.911480
51,0.908304
52,0.910433
53,0.909647
54,0.909449
55,0.910111
56,0.913876
57,0.913106
58,0.912983
59,0.914368
60,0.915794
61,0.916573
62,0.914736
63,0.916453
64,0.916435
65,0.924842
66,0.917935
67,0.921681
68,0.916404
69,0.917918
70,0.918399
71,0.920667
72,0.918425
73,0.919693
74,0.920706
75,0.919960
76,0.922880
77,0.922703
78,0.922358
79,0.921019
80,0.924189
81,0.921790
82,0.923156
83,0.922366
84,0.926439
85,0.924393
86,0.927794
87,0.924071
88,0.928041
89,0.923313
90,0.924756
91,0.928451
92,0.925013
93,0.924539
94,0.924017
95,0.927405
96,0.924950
97,0.930295
98,0.924043
99,0.928927
100,0.924880
101,0.928997
102,0.923312
103,0.924251
104,0.924880
105,0.925111
106,0.926568
107,0.923108
108,0.924383
109,0.924265
110,0.926237
111,0.927384
112,0.923752
113,0.924253
114,0.926679
115,0.925255
116,0.926157
117,0.923508
118,0.927463
119,0.922667
120,0.930233
121,0.926333
122,0.927518
123,0.925105
124,0.923392
125,0.928050
126,0.923164
127,0.926237
128,0.924419
129,0.926139
130,0.922407
131,0.925024
132,0.922805
133,0.924836
134,0.923665
135,0.932297
136,0.924185
137,0.927411
138,0.924939
139,0.929305
140,0.927251
141,0.928926
142,0.927783
143,0.925363
144,0.928780
145,0.926859
146,0.929328
147,0.924477
148,0.929828
149,0.925584
150,0.937936
151,0.923531
152,0.932503
153,0.924777
154,0.930412
155,0.927693
156,0.928444
157,0.926460
158,0.925974
159,0.927454
160,0.925889
161,0.928634
162,0.925499
163,0.929543
164,0.930575
165,0.934320
166,0.928518
167,0.932723
168,0.927963
169,0.936488
170,0.926954
171,0.932528
172,0.927408
173,0.932741
174,0.925859
175,0.929066
176,0.927661
177,0.926704
178,0.925662
179,0.930204
180,0.933031
181,0.924602
182,0.931187
183,0.925731
184,0.932120
185,0.925454
186,0.931575
187,0.926729
188,0.929145
189,0.926902
190,0.928012
191,0.926861
192,0.925720
193,0.927096
194,0.936822
195,0.926692
196,0.927116
197,0.931877
198,0.932035
199,0.925657
200,0.931534
201,0.927301
202,0.930205
203,0.927196
204,0.929035
205,0.928835
206,0.927062
207,0.926888
208,0.926862
209,0.930701
210,0.925350
211,0.930560
212,0.925957
213,0.927981
214,0.928302
215,0.930013
216,0.927474
217,0.927535
218,0.925549
219,0.928051
220,0.925806
221,0.926899
222,0.926221
223,0.928447
224,0.927204
225,0.925086
226,0.925813
227,0.924483
228,0.924629
229,0.927122
230,0.925697
231,0.924721
232,0.926159
233,0.924731
234,0.924804
235,0.923754
236,0.927685
237,0.923269
238,0.924572
239,0.923471
240,0.924361
241,0.922906
242,0.924603
243,0.924146
244,0.923920
245,0.924289
246,0.922784
247,0.927708
248,0.923188
249,0.924925
250,0.949933
251,0.943227
252,0.936410
253,0.941282
254,0.940957
255,0.937041
256,0.938802
257,0.936385
258,0.934204
259,0.934044
260,0.933322
261,0.932242
262,0.931528
263,0.931028
264,0.929613
265,0.932843
266,0.927123
267,0.925180
268,0.922913
269,0.926779
270,0.919969
271,0.920230
272,0.917683
273,0.915906
274,0.916190
275,0.912996
276,0.912777
277,0.911185
278,0.912823
279,0.910213
280,0.916169
281,0.910198
282,0.911878
283,0.910581
284,0.910874
285,0.906184
286,0.909422
287,0.904182
288,0.904147
289,0.905614
290,0.903369
291,0.900338
292,0.897151
293,0.898365
294,0.896857
295,0.900734
296,0.901758
297,0.901063
298,0.897784
299,0.897883
300,0.898913
301,0.899615
302,0.899955
303,0.898655
304,0.901628
305,0.899750
306,0.901601
307,0.908556
308,0.903895
309,0.912262
310,0.905960
311,0.902851
312,0.903813
313,0.915601
314,0.912230
315,0.915245
316,0.908713
317,0.908039
318,0.910620
319,0.914465
320,0.911481
321,0.912430
322,0.907363
323,0.908628
324,0.906787
325,0.911212
326,0.909804
327,0.910599
328,0.911786
329,0.911040
330,0.911886
331,0.913601
332,0.912678
333,0.916039
334,0.912584
335,0.916253
336,0.913084
337,0.915389
338,0.916969
339,0.916835
340,0.915662
341,0.913262
342,0.915059
343,0.913991
344,0.919659
345,0.914908
346,0.917877
347,0.915594
348,0.921112
349,0.915243
350,0.916711
351,0.914924
352,0.918739
353,0.915094
354,0.916509
355,0.916010
356,0.915774
357,0.916502
358,0.916238
359,0.916798
360,0.918404
361,0.917619
362,0.916754
363,0.917613
364,0.919293
365,0.918168
366,0.922196
367,0.918456
368,0.922682
369,0.917264
370,0.919470
371,0.918632
372,0.919941
373,0.917625
374,0.920702
375,0.920010
376,0.919463
377,0.918612
378,0.918600
379,0.922555
380,0.919747
381,0.920502
382,0.919891
383,0.919860
384,0.918031
385,0.919675
386,0.920168
387,0.920792
388,0.919540
389,0.920096
390,0.920477
391,0.918687
392,0.918724
393,0.918401
394,0.918946
395,0.919050
396,0.916606
397,0.920862
398,0.917894
399,0.916781
400,0.916849
401,0.921687
402,0.916192
403,0.917615
404,0.917345
405,0.921281
406,0.919124
407,0.918588
408,0.919448
409,0.921857
410,0.918428
411,0.918719
412,0.918955
413,0.922961
414,0.919888
415,0.921362
416,0.918727
417,0.924415
418,0.919324
419,0.920557
420,0.919635
421,0.922830
422,0.920794
423,0.919301
424,0.921261
425,0.920743
426,0.919958
427,0.919731
428,0.925311
429,0.920607
430,0.922135
431,0.923540
432,0.925119
433,0.922039
434,0.921274
435,0.922413
436,0.925417
437,0.923750
438,0.923436
439,0.922593
440,0.923988
441,0.921557
442,0.922039
443,0.923364
444,0.926814
445,0.922797
