frame,value
0,0.932764
1,0.928809
2,0.927531
3,0.929788
4,0.930509
5,0.930654
6,0.931369
7,0.932515
8,0.932046
9,0.933224
10,0.935972
11,0.934539
12,0.934513
13,0.936148
14,0.938505
15,0.937664
16,0.939069
17,0.939014
18,0.938924
19,0.939384
20,0.942799
21,0.941830
22,0.942625
23,0.940468
24,0.940860
25,0.940434
26,0.942354
27,0.943591
28,0.942402
29,0.944106
30,0.942436
31,0.941253
32,0.940299
33,0.942410
34,0.943641
35,0.942455
36,0.944750
37,0.944416
38,0.943976
39,0.943655
40,0.943166
41,0.943409
42,0.941403
43,0.941900
44,0.942204
45,0.942730
46,0.944760
47,0.942717
48,0.946293
49,0.942013
50,0.944770
51,0.942322
52,0.943925
53,0.943121
54,0.943181
55,0.943488
56,0.944591
57,0.944998
58,0.943573
59,0.944950
60,0.944993
61,0.944658
62,0.944064
63,0.944993
64,0.945055
65,0.947340
66,0.941693
67,0.946791
68,0.941101
69,0.943625
70,0.943720
71,0.944760
72,0.943700
73,0.944370
74,0.945001
75,0.943794
76,0.945928
77,0.945380
78,0.945103
79,0.944966
80,0.946485
81,0.944361
82,0.945778
83,0.945148
84,0.947639
85,0.945479
86,0.948344
87,0.945489
88,0.948125
89,0.946173
90,0.945517
91,0.948255
92,0.945563
93,0.945793
94,0.945191
95,0.947428
96,0.945504
97,0.950009
98,0.947080
99,0.949030
100,0.946139
101,0.949796
102,0.944826
103,0.946259
104,0.946247
105,0.948500
106,0.948245
107,0.945702
108,0.946016
109,0.947478
110,0.949539
111,0.948757
112,0.945674
113,0.945505
114,0.947950
115,0.947822
116,0.949324
117,0.944677
118,0.950199
119,0.944481
120,0.951314
121,0.947172
122,0.948964
123,0.948259
124,0.947285
125,0.949414
126,0.945781
127,0.947763
128,0.946756
129,0.949449
130,0.945490
131,0.947497
132,0.945524
133,0.946589
134,0.945296
135,0.954096
136,0.945968
137,0.948232
138,0.945831
139,0.951254
140,0.948705
141,0.948973
142,0.947251
143,0.946280
144,0.948462
145,0.947066
146,0.950391
147,0.947401
148,0.950345
149,0.946264
150,0.955930
151,0.944673
152,0.951028
153,0.944609
154,0.950553
155,0.948150
156,0.947981
157,0.945994
158,0.947380
159,0.949176
160,0.947644
161,0.948730
162,0.945198
163,0.949056
164,0.949634
165,0.952595
166,0.948905
167,0.952852
168,0.948989
169,0.955757
170,0.946645
171,0.950826
172,0.946942
173,0.952086
174,0.947577
175,0.949564
176,0.947078
177,0.946403
178,0.946009
179,0.948709
180,0.951318
181,0.946216
182,0.951852
183,0.946918
184,0.951915
185,0.944887
186,0.950607
187,0.946184
188,0.947679
189,0.946185
190,0.948684
191,0.948203
192,0.946622
193,0.946702
194,0.953959
195,0.946360
196,0.946473
197,0.950032
198,0.949873
199,0.945529
200,0.951008
201,0.948398
202,0.950067
203,0.947381
204,0.947871
205,0.948292
206,0.945784
207,0.946030
208,0.947612
209,0.951767
210,0.945532
211,0.949809
212,0.945640
213,0.947597
214,0.947839
215,0.950250
216,0.947962
217,0.948322
218,0.945617
219,0.947189
220,0.944896
221,0.945861
222,0.945582
223,0.949152
224,0.946276
225,0.944522
226,0.945852
227,0.944571
228,0.944812
229,0.945733
230,0.945744
231,0.944590
232,0.946533
233,0.944593
234,0.945188
235,0.944339
236,0.948516
237,0.943621
238,0.945648
239,0.944162
240,0.946249
241,0.944199
242,0.945594
243,0.946010
244,0.946157
245,0.946924
246,0.945207
247,0.949638
248,0.945352
249,0.947664
250,0.972918
251,0.948800
252,0.942032
253,0.946938
254,0.947061
255,0.943296
256,0.945475
257,0.946450
258,0.945226
259,0.945742
260,0.945484
261,0.943644
262,0.943386
263,0.943186
264,0.944663
265,0.948602
266,0.945214
267,0.945986
268,0.945219
269,0.947957
270,0.942926
271,0.944290
272,0.945075
273,0.944606
274,0.945615
275,0.944762
276,0.945303
277,0.943001
278,0.944563
279,0.943302
280,0.947570
281,0.944904
282,0.946010
283,0.945715
284,0.949672
285,0.943972
286,0.944985
287,0.941141
288,0.941979
289,0.946684
290,0.944699
291,0.944421
292,0.944187
293,0.945582
294,0.943012
295,0.942894
296,0.942204
297,0.944225
298,0.945227
299,0.946122
300,0.945458
301,0.944351
302,0.941756
303,0.940557
304,0.945678
305,0.945462
306,0.944243
307,0.944274
308,0.943788
309,0.943698
310,0.942098
311,0.941903
312,0.943679
313,0.948753
314,0.944817
315,0.947039
316,0.944706
317,0.945906
318,0.942303
319,0.944539
320,0.941667
321,0.944452
322,0.943723
323,0.944887
324,0.944366
325,0.945088
326,0.941256
327,0.941442
328,0.941870
329,0.946005
330,0.945148
331,0.946123
332,0.945648
333,0.947793
334,0.943071
335,0.944304
336,0.944065
337,0.946641
338,0.947599
339,0.946973
340,0.945628
341,0.942451
342,0.942406
343,0.944018
344,0.947555
345,0.943960
346,0.946703
347,0.944806
348,0.946377
349,0.941972
350,0.942987
351,0.943593
352,0.946583
353,0.943164
354,0.944544
355,0.944694
356,0.942406
357,0.941804
358,0.941400
359,0.942459
360,0.946187
361,0.944852
362,0.944813
363,0.945343
364,0.946582
365,0.943070
366,0.946113
367,0.943181
368,0.948129
369,0.943911
370,0.947714
371,0.945272
372,0.946397
373,0.942464
374,0.944584
375,0.943467
376,0.945085
377,0.944587
378,0.946521
379,0.948377
380,0.945381
381,0.944288
382,0.943395
383,0.943322
384,0.943905
385,0.945491
386,0.947424
387,0.946448
388,0.945554
389,0.944402
390,0.944916
391,0.943376
392,0.945279
393,0.945203
394,0.947897
395,0.946012
396,0.944760
397,0.946196
398,0.943032
399,0.941754
400,0.944659
401,0.948957
402,0.946654
403,0.945859
404,0.945079
405,0.946386
406,0.944667
407,0.943494
408,0.946054
409,0.947820
410,0.947482
411,0.945818
412,0.945931
413,0.946625
414,0.943914
415,0.947343
416,0.945450
417,0.949749
418,0.945210
419,0.946900
420,0.946107
421,0.947842
422,0.946424
423,0.945317
424,0.947386
425,0.947046
426,0.946210
427,0.945537
428,0.949618
