frame,value
0,32.090630
1,31.585768
2,31.522966
3,31.644537
4,31.789347
5,31.970354
6,32.024006
7,32.068771
8,32.106270
9,32.461090
10,32.537037
11,32.509441
12,32.524483
13,32.645264
14,32.595890
15,32.605675
16,32.994846
17,33.075413
18,33.055664
19,33.102726
20,33.151749
21,32.822086
22,33.136639
23,33.124580
24,33.149532
25,33.141521
26,33.146923
27,33.220886
28,33.154339
29,33.239738
30,33.115990
31,33.194077
32,33.165085
33,33.268200
34,33.203079
35,33.158291
36,33.179031
37,33.239761
38,33.207359
39,33.180103
40,33.176777
41,33.174778
42,33.203896
43,33.216599
44,33.262745
45,33.155586
46,33.542023
47,33.198097
48,33.389893
49,33.138176
50,33.267128
51,33.138474
52,33.495693
53,33.209850
54,33.185131
55,33.208012
56,33.263741
57,33.289665
58,33.488232
59,33.569054
60,33.586716
61,33.329231
62,33.230297
63,33.291775
64,33.201702
65,33.295605
66,33.151897
67,33.365883
68,33.196095
69,33.242924
70,33.247494
71,33.311825
72,33.494308
73,33.562210
74,33.599541
75,33.287514
76,33.368206
77,33.360764
78,33.333145
79,33.254780
80,33.636566
81,33.548515
82,33.618301
83,33.307652
84,33.501091
85,33.364223
86,33.506676
87,33.307457
88,33.731899
89,33.530258
90,33.610203
91,33.796467
92,33.362125
93,33.334812
94,33.306812
95,33.452480
96,33.299473
97,33.843338
98,33.583344
99,33.825584
100,33.646572
101,33.646313
102,33.575462
103,33.646626
104,33.430485
105,33.442532
106,33.489300
107,33.289639
108,33.600578
109,33.362434
110,33.674671
111,33.753056
112,33.340992
113,33.591099
114,33.468220
115,33.366711
116,33.666615
117,33.294552
118,33.745388
119,33.522820
120,33.893845
121,33.445854
122,33.746529
123,33.648113
124,33.598057
125,33.569481
126,33.319336
127,33.442863
128,33.352962
129,33.696987
130,33.276844
131,33.672863
132,33.325249
133,33.641457
134,33.322708
135,34.010601
136,33.346714
137,33.725601
138,33.359547
139,33.821663
140,33.463120
141,33.785316
142,33.472443
143,33.618355
144,33.544785
145,33.674156
146,33.554310
147,33.580585
148,33.568661
149,33.617729
150,34.061382
151,33.528221
152,33.718937
153,33.558006
154,33.578041
155,33.696064
156,33.486446
157,33.636753
158,33.357464
159,33.692600
160,33.347713
161,33.746189
162,33.319115
163,33.778133
164,33.575485
165,33.987820
166,33.454166
167,33.683647
168,33.663036
169,34.133068
170,33.644810
171,33.924969
172,33.666454
173,33.702835
174,33.582405
175,33.502838
176,33.655216
177,33.373798
178,33.587887
179,33.566162
180,33.924908
181,33.287319
182,33.830116
183,33.335609
184,33.875042
185,33.309170
186,33.837490
187,33.385338
188,33.701832
189,33.383041
190,33.680679
191,33.369083
192,33.542484
193,33.379093
194,34.100697
195,33.349655
196,33.621536
197,33.863377
198,33.870060
199,33.330463
200,33.837402
201,33.691956
202,33.791725
203,33.675377
204,33.754108
205,33.522343
206,33.380455
207,33.373226
208,33.624207
209,33.601295
210,33.567860
211,33.823582
212,33.607643
213,33.493984
214,33.708256
215,33.549442
216,33.405991
217,33.402870
218,33.553291
219,33.452370
220,33.580799
221,33.653061
222,33.630524
223,33.467888
224,33.657669
225,33.326893
226,33.337910
227,33.235836
228,33.544811
229,33.366661
230,33.318665
231,33.240860
232,33.604740
233,33.548248
234,33.319717
235,33.529530
236,33.478626
237,33.238659
238,33.325352
239,33.519886
240,33.324188
241,33.533092
242,33.350025
243,33.599518
244,33.366665
245,33.657578
246,33.328815
247,33.817505
248,33.346622
249,33.702145
250,37.889549
251,33.292221
252,32.838696
253,33.064350
254,33.039146
255,32.904503
256,33.008282
257,33.267326
258,33.189873
259,33.240215
260,33.270771
261,33.246147
262,33.252605
263,33.241093
264,33.257828
265,33.479362
266,33.261868
267,33.259972
268,33.285027
269,33.529190
270,33.247490
271,33.292728
272,33.247261
273,33.238750
274,33.271313
275,33.217182
276,33.263466
277,33.257538
278,33.383278
279,33.327450
280,33.526134
281,33.253277
282,33.347286
283,33.340149
284,33.513927
285,33.232235
286,33.416100
287,33.228680
288,33.247337
289,33.341263
290,32.840256
291,32.873695
292,32.836414
293,33.289326
294,33.239693
295,33.294655
296,33.274864
297,33.261707
298,33.251511
299,33.326942
300,33.333351
301,33.236614
302,33.230278
303,33.154549
304,33.351391
305,33.334908
306,33.270119
307,33.258179
308,33.205326
309,33.370308
310,33.275261
311,33.239025
312,33.206196
313,33.510880
314,33.322456
315,33.415638
316,33.269398
317,33.262840
318,33.242691
319,33.387749
320,33.226673
321,33.245796
322,33.181080
323,33.298607
324,33.272160
325,33.273411
326,33.196972
327,33.223007
328,33.282505
329,33.388134
330,33.300934
331,33.354980
332,33.316948
333,33.470951
334,33.303467
335,33.363255
336,33.195740
337,33.354546
338,33.437695
339,33.394264
340,33.308468
341,33.248146
342,33.251343
343,33.243080
344,33.459404
345,33.209656
346,33.347069
347,33.244926
348,33.459576
349,33.210991
350,33.276550
351,33.180061
352,33.377907
353,33.186111
354,33.254658
355,33.232243
356,33.248165
357,33.256573
358,33.247482
359,33.283031
360,33.344368
361,33.319202
362,33.281208
363,33.279541
364,33.344364
365,33.297222
366,33.462669
367,33.252979
368,33.468666
369,33.207024
370,33.586758
371,33.285389
372,33.319450
373,33.226547
374,33.356522
375,33.315769
376,33.274052
377,33.230064
378,33.219761
379,33.404533
380,33.256100
381,33.314957
382,33.276978
383,33.283798
384,33.200340
385,33.275597
386,33.298241
387,33.329659
388,33.268658
389,33.306198
390,33.323277
391,33.265125
392,33.275547
393,33.272598
394,33.312977
395,33.298241
396,33.198860
397,33.400589
398,33.253178
399,33.200825
400,33.199444
401,33.441002
402,33.197273
403,33.265629
404,33.242882
405,33.422562
406,33.305611
407,33.268986
408,33.303097
409,33.375820
410,33.226273
411,33.242729
412,33.270710
413,33.438969
414,33.273335
415,33.350849
416,33.243694
417,33.510216
418,33.242748
419,33.297626
420,33.250549
421,33.409931
422,33.305061
423,33.222546
424,33.331356
425,33.291519
426,33.260109
427,33.256092
428,33.502949
429,33.265743
430,33.316795
431,33.390911
432,33.465801
433,33.316231
434,33.256527
435,33.343662
436,33.488247
437,33.400787
438,33.344208
439,33.311214
440,33.342426
441,33.252106
442,33.274261
443,33.318604
444,33.520489
445,33.296295
446,33.501610
447,33.384727
448,33.605812
449,33.533802
450,33.627052
451,33.457924
452,33.408474
453,33.218895
454,33.397083
455,33.286453
456,33.232304
457,33.187035
458,33.260803
459,33.157227
460,33.164665
461,32.793652
462,32.906311
463,32.712326
464,32.712437
465,33.079731
466,33.086182
467,33.234737
468,33.176296
469,33.204464
470,33.176437
471,33.256931
472,33.223545
473,33.203617
474,33.230354
475,33.265686
476,33.188648
477,33.188625
478,33.222980
479,33.138943
480,33.166824
481,33.228943
482,33.409595
483,33.178291
484,33.243637
485,33.240334
486,33.343910
487,33.223888
488,33.271000
489,33.205933
490,33.382858
491,33.286446
492,33.302132
493,33.131413
494,33.436005
495,33.174000
496,33.237293
497,33.151543
498,33.567215
499,33.183441
average,33.342354
