frame,value
0,0.990034
1,0.989897
2,0.991174
3,0.991469
4,0.989204
5,0.987028
6,0.985465
7,0.984710
8,0.986041
9,0.986598
10,0.984839
11,0.984789
12,0.986672
13,0.985071
14,0.986201
15,0.984160
16,0.984225
17,0.984763
18,0.985641
19,0.986293
20,0.986428
21,0.986931
22,0.985476
23,0.984988
24,0.985019
25,0.985800
26,0.986611
27,0.986687
28,0.986624
29,0.987187
30,0.987930
31,0.989593
32,0.989752
33,0.989687
34,0.989568
35,0.988790
36,0.988404
37,0.988276
38,0.988398
39,0.988186
40,0.987844
41,0.988069
42,0.988307
43,0.988578
44,0.988714
45,0.988368
46,0.987972
47,0.988276
48,0.988315
49,0.988390
50,0.988764
51,0.988511
52,0.987497
53,0.987393
54,0.987310
55,0.988977
56,0.988355
57,0.989117
58,0.989112
59,0.988767
60,0.988394
61,0.988354
62,0.987017
63,0.987228
64,0.987869
65,0.995376
66,0.995348
67,0.995899
68,0.995767
69,0.995870
70,0.995854
71,0.996350
72,0.996510
73,0.996497
74,0.996431
75,0.996505
76,0.996666
77,0.996689
78,0.996600
79,0.996625
80,0.996749
81,0.996910
82,0.996569
83,0.995796
84,0.996108
85,0.996228
86,0.996320
87,0.995982
88,0.995898
89,0.995566
90,0.995093
91,0.994834
92,0.994696
93,0.994451
94,0.994544
95,0.994341
96,0.994296
97,0.993673
98,0.994136
99,0.994291
100,0.994296
101,0.994117
102,0.994026
103,0.994031
104,0.994043
105,0.994059
106,0.994215
107,0.994200
108,0.994098
109,0.994530
110,0.994716
111,0.995044
112,0.995629
113,0.995732
114,0.995827
115,0.996414
116,0.995348
117,0.995245
118,0.995115
119,0.995043
120,0.995005
121,0.995103
122,0.995141
123,0.995176
124,0.995254
125,0.995254
126,0.995350
127,0.995422
128,0.995512
129,0.995498
130,0.995519
131,0.995466
132,0.995501
133,0.995601
134,0.995656
135,0.995612
136,0.995655
137,0.995665
138,0.995709
139,0.995752
140,0.995721
141,0.995768
142,0.995774
143,0.995802
144,0.995896
145,0.995976
146,0.995937
147,0.995869
148,0.995895
149,0.995850
150,0.995825
151,0.995758
152,0.995839
153,0.995835
154,0.995829
155,0.995844
156,0.996009
157,0.996124
158,0.996131
159,0.996186
160,0.996236
161,0.996270
162,0.996574
163,0.996604
164,0.996507
165,0.996093
166,0.996040
167,0.995955
168,0.996123
169,0.996040
170,0.996042
171,0.995913
172,0.995516
173,0.995608
174,0.995638
175,0.995716
176,0.995586
177,0.995832
178,0.995808
179,0.995812
180,0.995973
181,0.996056
182,0.996137
183,0.992948
184,0.991629
185,0.992116
186,0.992047
187,0.991986
188,0.993128
189,0.993419
190,0.993591
191,0.993876
192,0.994332
193,0.994548
194,0.994595
195,0.994665
196,0.994664
197,0.994801
198,0.994720
199,0.994583
200,0.994661
201,0.994406
202,0.994382
203,0.993580
204,0.994111
205,0.994169
206,0.993987
207,0.993801
208,0.993968
209,0.993865
210,0.993561
211,0.993299
212,0.993154
213,0.993291
214,0.993026
215,0.992715
216,0.992231
217,0.992000
218,0.991448
219,0.991074
220,0.990553
221,0.990292
222,0.990196
223,0.990118
224,0.989952
225,0.989959
226,0.989756
227,0.990029
228,0.990181
229,0.991147
230,0.991735
231,0.992124
232,0.992309
233,0.992355
234,0.992617
235,0.992889
236,0.993095
237,0.993309
238,0.993544
239,0.993611
240,0.993710
241,0.993676
242,0.994091
243,0.994160
244,0.994306
245,0.994493
246,0.994524
247,0.994497
248,0.994481
249,0.994420
250,0.994276
251,0.994179
252,0.994042
253,0.993780
254,0.993562
255,0.993371
256,0.993355
257,0.993442
258,0.993431
259,0.993428
260,0.993352
261,0.993710
262,0.993649
263,0.993561
