frame,value
0,32.544720
1,31.405016
2,30.728823
3,31.113632
4,30.732016
5,30.773596
6,31.130190
7,31.260401
8,31.115921
9,31.008617
10,31.002851
11,30.836060
12,30.209087
13,30.187590
14,30.083141
15,29.839312
16,29.417559
17,29.420515
18,29.504076
19,29.590727
20,29.705528
21,29.403830
22,29.291401
23,29.244217
24,29.335585
25,29.737387
26,29.969723
27,29.304581
28,29.343359
29,29.306576
30,29.624140
31,30.449358
32,29.901402
33,29.762806
34,29.514536
35,29.240137
36,29.257694
37,29.221359
38,29.071058
39,29.052795
40,29.309919
41,29.353628
42,29.299608
43,29.388372
44,29.400049
45,29.264164
46,29.625677
47,29.789482
48,29.840664
49,29.783636
50,29.719852
51,29.621197
52,29.325821
53,29.172094
54,28.991756
55,28.593824
56,29.053928
57,29.328493
58,28.944012
59,28.759405
60,28.860085
61,28.586697
62,28.580330
63,28.855646
64,28.522461
65,33.033142
66,31.939198
67,31.500006
68,31.408442
69,31.187855
70,31.616600
71,30.931067
72,30.950691
73,31.510317
74,31.809278
75,32.938889
76,32.411953
77,32.576832
78,32.499802
79,32.366840
80,32.324581
81,31.379951
82,30.936117
83,30.992643
84,31.555559
85,31.108316
86,31.744072
87,30.711506
88,30.211727
89,29.934319
90,29.870327
91,30.240881
92,29.633364
93,29.436329
94,30.245825
95,30.046165
96,30.004862
97,29.833639
98,29.916548
99,29.737722
100,29.963358
101,29.904127
102,29.569353
103,29.386644
104,30.123886
105,29.714678
106,30.215322
107,30.602800
108,30.034996
109,30.714020
110,30.459467
111,31.301882
112,31.558590
113,31.509020
114,31.309633
115,30.853701
116,28.685562
117,28.967749
118,28.937323
119,28.469025
120,28.846832
121,28.504574
122,29.152420
123,28.694593
124,29.336609
125,28.931536
126,28.858253
127,29.441139
128,28.882929
129,28.647852
130,28.384047
131,28.107983
132,28.065041
133,28.154573
134,28.124647
135,28.063307
136,28.087122
137,28.050074
138,27.975718
139,27.831493
140,27.657112
141,27.341963
142,27.372444
143,27.406034
144,27.456980
145,27.563932
146,27.648735
147,27.690107
148,27.795572
149,27.794298
150,27.810564
151,27.794525
152,27.843018
153,27.817942
154,27.948349
155,28.068071
156,31.731707
157,29.906185
158,29.853111
159,29.712875
160,29.800150
161,29.863367
162,29.860020
163,29.760714
164,29.849335
165,29.810011
166,29.622158
167,29.936279
168,30.729046
169,30.309031
170,30.900589
171,30.267128
172,30.075844
173,29.968801
174,30.296610
175,31.243582
176,31.125851
177,30.335897
178,31.223986
179,30.428764
180,30.360283
181,31.002441
182,30.197659
183,27.098135
184,26.980196
185,27.325541
186,28.084793
187,28.447962
188,28.586788
189,29.150295
190,28.879408
191,29.521950
192,29.659920
193,30.579451
194,30.539719
195,30.835329
196,30.209084
197,30.788343
198,29.828367
199,30.188238
200,30.224974
201,29.257595
202,29.771355
203,28.952129
204,29.603615
205,29.205536
206,28.657341
207,29.200930
208,29.099680
209,28.926321
210,28.645491
211,27.795023
212,27.749834
213,27.798840
214,27.626217
215,27.450260
216,27.367092
217,27.074041
218,27.244179
219,26.745340
220,26.956776
221,26.983721
222,26.957527
223,26.874559
224,26.854832
225,26.804205
226,26.635084
227,26.656986
228,26.780285
229,27.163033
230,27.387171
231,27.646612
232,27.863701
233,27.822893
234,28.171335
235,27.963797
236,27.968170
237,28.458937
238,28.349087
239,28.820127
240,28.391636
241,28.775665
242,28.403004
243,28.757206
244,28.494164
245,28.764372
246,28.789314
247,28.797729
248,29.197412
249,29.147657
250,29.002024
251,28.881731
252,28.795576
253,27.968496
254,27.928102
255,28.251598
256,28.367149
257,28.135517
258,28.375862
259,28.146170
260,28.318048
261,28.330257
262,28.206873
263,27.859724
264,28.287951
265,31.795767
266,30.372429
267,29.862577
268,29.159189
269,29.419411
270,29.055105
271,29.508749
272,29.610697
273,29.658737
274,29.587154
275,29.611679
276,29.939505
277,29.933722
278,29.825054
279,29.407984
280,29.448368
281,29.426460
282,29.264677
283,28.965256
284,28.821339
285,28.726955
286,28.644487
287,28.528566
288,28.440981
289,28.340172
290,28.319365
291,28.281738
292,28.231298
293,28.209667
294,28.150986
295,28.386066
296,28.422750
297,28.408899
298,28.335762
299,28.692856
300,28.774441
301,28.788511
302,28.806505
303,28.807194
304,29.317701
305,29.108170
306,29.412010
307,29.456221
308,29.498751
309,29.534170
310,29.531136
311,29.528156
312,29.552011
313,29.608852
314,29.648485
315,29.668329
316,29.338470
317,29.595610
318,29.588221
319,29.588509
320,29.586214
321,29.573545
322,29.584301
323,29.583841
324,29.578791
325,29.278475
326,29.179981
327,29.518726
328,29.541071
329,29.550142
330,29.591673
331,29.586397
332,29.618872
333,29.607870
334,29.601183
335,29.585505
336,29.584309
337,29.596886
338,29.583525
339,29.602148
340,29.620605
341,29.636541
342,29.645485
343,29.642464
344,29.625425
345,29.614437
346,29.569445
347,29.860693
348,29.930561
349,29.969250
350,29.783913
351,29.759262
352,29.961193
353,30.000206
354,30.032333
355,29.817286
356,29.778234
357,29.735233
358,29.702751
359,29.704765
360,29.691135
361,29.661753
362,35.315300
363,34.080002
364,33.746468
365,33.643257
366,33.181740
367,33.462360
368,33.340836
369,33.181637
370,33.113266
371,32.920425
372,32.646599
373,32.743534
374,32.681850
375,32.555439
376,32.444969
377,32.348434
378,32.230713
379,32.116684
380,32.080280
381,32.479633
382,32.646690
383,32.765663
384,32.929077
385,33.106247
386,33.346733
387,33.545383
388,34.244438
389,34.549641
390,34.655766
391,34.223747
392,34.047203
393,33.643585
394,33.402443
395,32.878120
396,33.009121
397,32.422085
398,32.128559
399,31.972818
400,31.973471
401,31.870659
402,31.646250
403,30.856262
404,29.883163
405,29.506525
406,29.569603
407,29.632038
408,29.759632
409,29.836414
410,29.883814
411,29.920567
412,30.156647
413,30.295561
414,30.410950
415,30.962658
416,30.880005
417,31.302053
418,37.079647
419,34.238266
420,33.852268
421,33.912067
422,32.750923
423,32.036167
424,31.274998
425,30.586485
426,30.053106
427,29.755203
428,29.761599
429,29.871452
430,29.998724
431,30.184097
432,30.629747
433,30.540222
434,30.296396
435,30.212908
436,30.349104
437,30.800531
438,30.872185
439,30.818619
440,31.285679
441,31.860769
442,31.967791
443,31.750811
444,31.418901
445,31.567886
446,31.895767
447,31.669752
448,32.044201
449,31.871401
450,31.551069
451,31.518934
452,31.911978
453,31.934036
454,32.113728
455,32.111149
456,32.685970
457,33.063068
458,33.608341
459,33.887878
460,33.768261
461,33.556908
462,33.284454
463,32.980309
464,32.876324
465,32.840252
466,32.528332
467,32.504738
468,32.259071
469,31.982613
470,31.592913
471,31.182945
472,30.935328
473,30.619499
474,30.358433
475,30.145859
476,29.978762
477,29.878855
478,29.803120
479,29.812096
480,29.835047
481,30.180632
482,30.311501
483,30.378904
484,30.461060
485,31.015915
486,31.592943
487,31.837975
488,31.998947
489,31.878866
490,32.150692
491,32.183784
492,32.213203
493,32.238159
494,32.196583
495,32.132893
496,31.782495
497,31.717125
498,31.609243
499,31.547123
average,30.067781
