frame,value
0,0.990034
1,0.989941
2,0.990963
3,0.988161
4,0.985414
5,0.982722
6,0.981009
7,0.982488
8,0.980870
9,0.981681
10,0.980311
11,0.980320
12,0.981044
13,0.980830
14,0.980286
15,0.979417
16,0.979715
17,0.980234
18,0.981344
19,0.979727
20,0.979765
21,0.980704
22,0.978560
23,0.977696
24,0.977851
25,0.979061
26,0.980251
27,0.980221
28,0.982638
29,0.983418
30,0.984267
31,0.984778
32,0.985186
33,0.984950
34,0.984796
35,0.983819
36,0.983202
37,0.983088
38,0.983164
39,0.982560
40,0.982025
41,0.982294
42,0.982743
43,0.983282
44,0.984543
45,0.984056
46,0.983668
47,0.983926
48,0.983969
49,0.984190
50,0.984475
51,0.984045
52,0.982800
53,0.982580
54,0.982409
55,0.982808
56,0.983841
57,0.984719
58,0.983690
59,0.983288
60,0.982716
61,0.982839
62,0.982710
63,0.983276
64,0.984105
65,0.993595
66,0.992865
67,0.992851
68,0.992573
69,0.993142
70,0.993304
71,0.993331
72,0.993488
73,0.993456
74,0.993241
75,0.994931
76,0.994926
77,0.994962
78,0.994810
79,0.994869
80,0.995094
81,0.994793
82,0.994168
83,0.993241
84,0.993885
85,0.994304
86,0.994404
87,0.993895
88,0.993726
89,0.993044
90,0.992193
91,0.991505
92,0.991382
93,0.990952
94,0.991239
95,0.990861
96,0.990764
97,0.990580
98,0.990462
99,0.990659
100,0.990508
101,0.990265
102,0.989883
103,0.989864
104,0.990005
105,0.990012
106,0.991119
107,0.990946
108,0.990863
109,0.991615
110,0.991994
111,0.992699
112,0.993070
113,0.993981
114,0.993451
115,0.994968
116,0.992955
117,0.992821
118,0.992511
119,0.992376
120,0.992480
121,0.992622
122,0.992659
123,0.992665
124,0.992783
125,0.992876
126,0.993050
127,0.991620
128,0.993285
129,0.993230
130,0.993186
131,0.993145
132,0.993099
133,0.993180
134,0.993319
135,0.993231
136,0.993197
137,0.993200
138,0.993253
139,0.993322
140,0.993322
141,0.993345
142,0.993456
143,0.993456
144,0.993642
145,0.993732
146,0.993727
147,0.993599
148,0.993609
149,0.993556
150,0.993489
151,0.993392
152,0.993500
153,0.993551
154,0.993541
155,0.993486
156,0.994422
157,0.993975
158,0.993762
159,0.993904
160,0.994540
161,0.994636
162,0.994708
163,0.994679
164,0.994451
165,0.994288
166,0.994215
167,0.993971
168,0.993752
169,0.993567
170,0.993545
171,0.993278
172,0.993231
173,0.993433
174,0.993551
175,0.993718
176,0.993515
177,0.993128
178,0.993084
179,0.993179
180,0.993446
181,0.993643
182,0.993849
183,0.988007
184,0.986170
185,0.987143
186,0.987951
187,0.987932
188,0.989825
189,0.990268
190,0.990592
191,0.990959
192,0.991699
193,0.992059
194,0.992195
195,0.992355
196,0.992503
197,0.992611
198,0.992452
199,0.992424
200,0.992405
201,0.991873
202,0.991910
203,0.990870
204,0.991502
205,0.991535
206,0.991022
207,0.990829
208,0.991145
209,0.990966
210,0.990515
211,0.990097
212,0.989786
213,0.990168
214,0.989739
215,0.988977
216,0.988423
217,0.988209
218,0.987404
219,0.986361
220,0.985809
221,0.985432
222,0.985419
223,0.985175
224,0.984867
225,0.984840
226,0.984540
227,0.985062
228,0.985274
229,0.986669
230,0.987607
231,0.988128
232,0.988544
233,0.988591
234,0.989311
235,0.989579
236,0.989734
237,0.990122
238,0.990345
239,0.990578
240,0.990643
241,0.990494
242,0.990282
243,0.991166
244,0.991424
245,0.991724
246,0.991850
247,0.991841
248,0.991796
249,0.991620
250,0.991421
251,0.991184
252,0.990982
253,0.990615
254,0.990232
255,0.989897
256,0.989872
257,0.989977
258,0.989993
259,0.989916
260,0.990649
261,0.990643
262,0.990420
263,0.990245
264,0.990163
265,0.994855
266,0.993392
267,0.992957
268,0.992642
269,0.992358
270,0.992134
271,0.991989
272,0.991901
273,0.991924
274,0.992381
275,0.992367
276,0.992323
277,0.992408
278,0.992515
279,0.992486
280,0.992385
281,0.992153
282,0.992138
283,0.991541
284,0.991594
285,0.991639
286,0.991624
287,0.991461
288,0.991448
289,0.991548
290,0.991476
291,0.992060
292,0.992150
293,0.992162
294,0.992143
295,0.992103
296,0.992098
297,0.992805
298,0.992867
299,0.992969
300,0.992927
301,0.992935
302,0.992917
303,0.992913
304,0.992939
305,0.993584
306,0.993663
307,0.993708
308,0.993749
309,0.993780
310,0.993776
311,0.993800
312,0.993838
313,0.993870
314,0.994001
315,0.993964
316,0.993964
317,0.993960
318,0.993953
319,0.994009
320,0.993992
321,0.993672
322,0.993941
323,0.994033
324,0.994024
325,0.994027
326,0.994059
327,0.994064
328,0.994054
329,0.994042
330,0.994037
331,0.994034
332,0.994152
333,0.994098
334,0.994111
335,0.994073
336,0.994074
337,0.994079
338,0.994077
339,0.994078
340,0.994077
341,0.994458
342,0.994526
343,0.994595
344,0.994622
345,0.994646
346,0.994650
347,0.994653
348,0.994621
349,0.994653
350,0.994749
351,0.994740
352,0.994742
353,0.994720
354,0.994725
355,0.994730
356,0.994448
357,0.994374
358,0.994338
359,0.994633
360,0.994683
361,0.994393
362,0.996036
363,0.995801
364,0.995787
365,0.995847
366,0.995795
367,0.995743
368,0.995676
369,0.996296
370,0.995690
371,0.995530
372,0.995395
373,0.995276
374,0.995294
375,0.995253
376,0.995198
377,0.995172
378,0.995150
379,0.995080
380,0.995071
381,0.995069
382,0.995047
383,0.995066
384,0.995070
385,0.995792
386,0.995913
387,0.996152
388,0.996244
389,0.996111
390,0.996085
391,0.996114
392,0.995382
393,0.995277
394,0.995252
395,0.995199
396,0.995206
397,0.995141
398,0.994960
399,0.994971
400,0.994629
401,0.994600
402,0.994370
403,0.993647
404,0.992706
405,0.992397
406,0.992868
407,0.993092
408,0.993205
409,0.993249
410,0.993345
411,0.993367
412,0.993476
413,0.993944
414,0.994118
415,0.994247
416,0.994378
417,0.994382
418,0.997826
419,0.997092
420,0.996969
421,0.997026
422,0.996883
423,0.996748
424,0.996567
425,0.996390
426,0.996202
427,0.995739
428,0.995572
429,0.995491
430,0.995379
431,0.995258
432,0.995202
433,0.995076
434,0.994984
435,0.994939
436,0.994882
437,0.994818
438,0.994746
439,0.994760
440,0.994764
441,0.994721
442,0.994691
443,0.994676
444,0.994707
445,0.995192
446,0.995341
447,0.995137
448,0.995148
449,0.995089
450,0.995095
451,0.995202
452,0.995256
453,0.995239
454,0.995266
455,0.995328
456,0.995501
457,0.995652
458,0.995800
459,0.996118
460,0.995929
461,0.995813
462,0.995983
463,0.995861
464,0.995679
465,0.995554
466,0.995362
467,0.994842
468,0.994610
469,0.995058
470,0.994545
471,0.994588
472,0.994593
473,0.994638
474,0.994625
475,0.994685
476,0.994371
477,0.994290
478,0.994245
479,0.994248
480,0.994215
481,0.994583
482,0.994643
483,0.994701
484,0.994736
485,0.994752
486,0.995148
487,0.994942
488,0.994933
489,0.995252
490,0.995303
491,0.995308
492,0.995309
493,0.995297
494,0.994965
495,0.994896
496,0.994860
497,0.994837
498,0.994836
499,0.994800
average,0.991816
