frame,value
0,30.098852
1,28.019751
2,26.278706
3,25.561066
4,25.831444
5,26.019285
6,26.314638
7,26.334806
8,26.441986
9,26.712269
10,26.640123
11,26.497173
12,26.351772
13,26.390644
14,26.278160
15,26.214033
16,26.067457
17,26.197685
18,26.201708
19,26.291088
20,26.316750
21,26.629721
22,26.648964
23,26.613945
24,26.740108
25,27.019773
26,27.071712
27,27.018345
28,26.927351
29,27.017874
30,26.968781
31,27.672798
32,27.591133
33,27.559429
34,27.350424
35,27.222122
36,27.229929
37,27.113327
38,27.251038
39,26.973503
40,27.192532
41,27.179796
42,27.105814
43,27.103640
44,27.351131
45,27.230873
46,27.185110
47,27.321203
48,27.271496
49,27.237448
50,27.306271
51,26.880121
52,26.773527
53,26.512854
54,26.616896
55,26.392437
56,26.245287
57,26.667345
58,26.723984
59,26.716785
60,26.726723
61,26.667229
62,26.695419
63,26.943176
64,26.844667
65,31.187428
66,29.992012
67,29.708323
68,29.263340
69,28.810560
70,29.679539
71,29.252522
72,28.433535
73,28.882092
74,29.527542
75,31.027044
76,30.432081
77,30.831676
78,30.911486
79,30.622761
80,30.293516
81,29.518385
82,29.197836
83,29.429499
84,29.669498
85,29.618856
86,29.444984
87,29.044369
88,28.789581
89,28.906294
90,28.439186
91,28.485447
92,28.471817
93,28.555420
94,28.473833
95,28.363781
96,27.922922
97,27.854910
98,28.039761
99,27.925642
100,28.036404
101,27.922749
102,27.603285
103,27.482380
104,27.628546
105,27.811710
106,27.945463
107,27.984467
108,27.903427
109,28.245823
110,28.272295
111,28.692009
112,28.594215
113,28.761703
114,28.743214
115,28.424282
116,26.690554
117,26.680668
118,26.655552
119,26.696455
120,26.629505
121,26.796303
122,26.951443
123,26.798470
124,26.911947
125,26.912966
126,26.990475
127,27.028149
128,27.015846
129,26.915611
130,26.518122
131,26.402433
132,26.434374
133,26.379314
134,26.394470
135,26.536465
136,26.343645
137,26.502218
138,26.482552
139,26.147362
140,26.260063
141,25.754461
142,25.944723
143,25.786575
144,25.994173
145,25.935038
146,25.987921
147,26.049257
148,26.062307
149,26.058929
150,26.080425
151,26.083721
152,26.019653
153,26.047016
154,26.179588
155,26.310648
156,30.124002
157,28.763733
158,27.922602
159,27.792881
160,27.498543
161,27.758665
162,27.702393
163,28.012014
164,27.921707
165,27.622133
166,27.965061
167,28.035690
168,28.194555
169,28.302071
170,28.372200
171,28.478033
172,28.231531
173,27.954718
174,27.872307
175,28.690125
176,28.421663
177,28.459616
178,28.586382
