frame,value
0,0.982159
1,0.981886
2,0.982588
3,0.977230
4,0.973777
5,0.968994
6,0.966849
7,0.964800
8,0.967979
9,0.970091
10,0.967500
11,0.968049
12,0.969736
13,0.969328
14,0.968518
15,0.966977
16,0.966666
17,0.962717
18,0.964216
19,0.965451
20,0.965774
21,0.967879
22,0.964335
23,0.962735
24,0.962962
25,0.964672
26,0.966096
27,0.966125
28,0.965754
29,0.966965
30,0.969019
31,0.970274
32,0.971285
33,0.970885
34,0.971049
35,0.969939
36,0.968540
37,0.968143
38,0.967552
39,0.966178
40,0.964876
41,0.964245
42,0.964551
43,0.965802
44,0.971104
45,0.970276
46,0.969572
47,0.970220
48,0.970736
49,0.970691
50,0.971262
51,0.970856
52,0.969033
53,0.968210
54,0.968007
55,0.968577
56,0.970351
57,0.972058
58,0.967845
59,0.966957
60,0.966654
61,0.966670
62,0.966477
63,0.967756
64,0.969688
65,0.987395
66,0.985035
67,0.984341
68,0.983867
69,0.983830
70,0.984914
71,0.985089
72,0.984872
73,0.984978
74,0.986400
75,0.987011
76,0.987012
77,0.987548
78,0.987089
79,0.987399
80,0.987626
81,0.986664
82,0.985257
83,0.983845
84,0.985520
85,0.986378
86,0.986801
87,0.985770
88,0.986036
89,0.983985
90,0.982077
91,0.980561
92,0.979989
93,0.979502
94,0.979906
95,0.979039
96,0.979209
97,0.979075
98,0.978643
99,0.978881
100,0.978329
101,0.977843
102,0.976846
103,0.976445
104,0.978900
105,0.979342
106,0.979563
107,0.978945
108,0.978794
109,0.980171
110,0.981511
111,0.985533
112,0.986291
113,0.987012
114,0.986933
115,0.988404
116,0.984142
117,0.984029
118,0.983856
119,0.983486
120,0.983600
121,0.984157
122,0.984202
123,0.984454
124,0.984957
125,0.983240
126,0.983717
127,0.983700
128,0.984271
129,0.983965
130,0.983661
131,0.983440
132,0.983486
133,0.983510
134,0.983795
135,0.983646
136,0.983479
137,0.983579
138,0.983699
139,0.983754
140,0.985297
141,0.985726
142,0.985745
143,0.985804
144,0.984624
145,0.984414
146,0.984267
147,0.983974
148,0.984222
149,0.983810
150,0.983797
151,0.983665
152,0.983912
153,0.984017
154,0.984111
155,0.983873
156,0.988965
157,0.986062
158,0.985343
159,0.987190
160,0.987491
161,0.987681
162,0.987682
163,0.987615
164,0.986858
165,0.986677
166,0.986445
167,0.986081
168,0.985310
169,0.985088
170,0.985235
171,0.986403
172,0.984728
173,0.984758
174,0.985288
175,0.985182
176,0.984850
177,0.984069
178,0.984190
179,0.983714
180,0.984460
181,0.984847
182,0.985288
183,0.974499
184,0.971654
185,0.974005
186,0.976173
187,0.977371
188,0.978087
189,0.978582
190,0.981075
191,0.981901
192,0.983310
193,0.983982
194,0.984372
195,0.985049
196,0.985343
197,0.985322
198,0.985230
199,0.984713
200,0.984811
201,0.982028
202,0.981758
203,0.979567
204,0.980982
205,0.980738
206,0.979909
207,0.978637
208,0.979893
209,0.979846
210,0.978963
211,0.977408
212,0.977026
213,0.977197
214,0.978448
215,0.974625
216,0.975643
217,0.972922
218,0.971687
219,0.969793
220,0.968289
221,0.967390
222,0.966863
223,0.966810
224,0.966719
225,0.969100
226,0.968677
227,0.970009
228,0.970852
229,0.973395
230,0.974975
231,0.976256
232,0.977604
233,0.978107
234,0.978705
235,0.979265
236,0.979702
237,0.980697
238,0.981036
239,0.981518
240,0.981267
241,0.981249
242,0.980867
243,0.982466
244,0.982951
245,0.983517
246,0.983755
247,0.983885
248,0.983764
249,0.983335
250,0.982889
251,0.982441
252,0.981689
253,0.980970
254,0.980351
255,0.979948
256,0.979790
257,0.980030
258,0.979887
259,0.979778
260,0.981108
261,0.981023
262,0.980590
263,0.982297
264,0.982378
265,0.989542
266,0.987040
267,0.985960
268,0.984971
269,0.984515
270,0.983878
271,0.983781
272,0.983606
273,0.984590
274,0.984469
275,0.984336
276,0.984201
277,0.984525
278,0.984812
279,0.984556
280,0.984473
281,0.984038
282,0.983918
283,0.983975
284,0.984302
285,0.984450
286,0.984500
287,0.983202
288,0.984134
289,0.984050
290,0.984037
291,0.984009
292,0.983731
293,0.983787
294,0.983643
295,0.985005
296,0.985240
297,0.985272
298,0.985223
299,0.985286
300,0.985124
301,0.985024
302,0.984922
303,0.985580
304,0.985779
305,0.986064
306,0.987618
307,0.987873
308,0.988102
309,0.988216
310,0.988293
311,0.988343
312,0.987619
313,0.987355
314,0.987300
315,0.988270
316,0.988428
317,0.988475
318,0.987653
319,0.987567
320,0.987317
321,0.987140
322,0.987021
323,0.987098
324,0.988306
325,0.988517
326,0.988621
327,0.988675
328,0.988805
329,0.988815
330,0.988843
331,0.988840
332,0.988977
333,0.988973
334,0.988982
335,0.988996
336,0.988983
337,0.989012
338,0.988985
339,0.988992
340,0.989035
341,0.989040
342,0.989029
343,0.989039
344,0.989025
345,0.989035
346,0.989026
347,0.988995
348,0.988966
349,0.989002
350,0.989074
351,0.989069
352,0.989098
353,0.989036
354,0.989778
355,0.989929
356,0.990047
357,0.989621
358,0.989504
359,0.989454
360,0.990002
361,0.990142
362,0.994578
363,0.992766
364,0.992607
365,0.992684
366,0.992417
367,0.992892
368,0.992897
369,0.992831
370,0.992647
371,0.992636
372,0.992365
373,0.992076
374,0.991273
375,0.991113
376,0.990983
377,0.990875
378,0.990851
379,0.990639
380,0.990664
381,0.990753
382,0.990670
383,0.991422
384,0.991652
385,0.991776
386,0.991917
387,0.991965
388,0.992803
389,0.993017
390,0.992444
391,0.992390
392,0.992436
393,0.992246
394,0.991383
395,0.991239
396,0.991069
397,0.990758
398,0.990528
399,0.990511
400,0.990574
401,0.990708
402,0.988829
403,0.986810
404,0.986842
405,0.986314
406,0.985454
407,0.985400
408,0.985419
409,0.985456
410,0.985584
411,0.987373
412,0.987644
413,0.987864
414,0.988073
415,0.988319
416,0.988575
417,0.988630
418,0.996325
419,0.994606
420,0.994345
421,0.994726
422,0.994271
423,0.993853
424,0.993306
425,0.992862
426,0.991381
427,0.990879
428,0.990544
429,0.990356
430,0.990305
431,0.990215
432,0.990122
433,0.989840
434,0.989469
435,0.989433
436,0.990552
437,0.989599
438,0.989355
439,0.989190
440,0.990284
441,0.990377
442,0.990362
443,0.990414
444,0.990532
445,0.990724
446,0.990961
447,0.991205
448,0.991347
449,0.991245
450,0.991288
451,0.991497
452,0.991683
453,0.991724
454,0.991624
455,0.991728
456,0.992433
457,0.992724
458,0.993080
459,0.993369
460,0.993289
461,0.993097
462,0.992961
463,0.992407
464,0.992030
465,0.991563
466,0.991218
467,0.990952
468,0.990709
469,0.990488
470,0.990367
471,0.990345
472,0.990437
473,0.990568
474,0.990607
475,0.989628
476,0.989493
477,0.989395
478,0.989261
479,0.989292
480,0.990382
481,0.990579
482,0.990709
483,0.990820
484,0.990853
485,0.990908
486,0.990967
487,0.991079
488,0.991119
489,0.991109
490,0.991687
491,0.991798
492,0.991874
493,0.991890
494,0.991863
495,0.991875
496,0.991339
497,0.991194
498,0.991127
499,0.991037
average,0.983657
