frame,value
0,32.544720
1,31.484850
2,30.083372
3,29.596569
4,29.660563
5,29.762791
6,30.161154
7,29.650713
8,29.393555
9,29.756966
10,29.325375
11,28.625813
12,28.486927
13,27.917906
14,27.259989
15,27.064327
16,26.223423
17,26.230621
18,26.379648
19,26.373646
20,26.430914
21,26.747597
22,26.654913
23,26.696363
24,26.718065
25,26.918144
26,26.982609
27,26.932026
28,26.945293
29,27.043980
30,26.805531
31,27.266842
32,27.387342
33,27.439457
34,27.179337
35,26.945559
36,27.082155
37,27.036474
38,27.131710
39,27.011553
40,27.177294
41,27.318058
42,27.166100
43,27.097097
44,27.403410
45,27.293934
46,27.146307
47,27.355591
48,27.317804
49,27.257736
50,27.113508
51,27.007694
52,26.711630
53,26.424440
54,26.624142
55,26.552799
56,26.370859
57,26.653120
58,26.502338
59,26.640076
60,26.737181
61,26.561611
62,26.652031
63,26.892025
64,26.774878
65,31.182613
66,29.934408
67,29.641016
68,29.739412
69,29.064541
70,29.408180
71,28.968740
72,28.784067
73,29.061747
74,29.601025
75,31.253267
76,30.688499
77,30.610205
78,30.892916
79,30.633617
80,30.324293
81,29.399166
82,29.137337
83,29.307100
84,29.560577
85,29.723154
86,29.161566
87,28.893108
88,28.632736
89,28.860521
90,28.121365
91,28.602823
92,28.696007
93,28.434715
94,28.601542
95,28.140965
96,27.953831
97,27.787933
98,27.928970
99,27.627066
100,27.748257
101,27.570288
102,27.616396
103,27.846678
104,27.761913
105,27.906773
106,28.115856
107,28.219639
108,28.088591
109,28.381132
110,28.294115
111,28.755444
112,28.781363
113,28.668379
114,29.028885
115,28.424282
116,26.592628
117,26.699369
118,26.607586
119,26.642288
120,26.686258
121,26.856216
122,27.015699
123,26.832752
124,26.953825
125,26.925577
126,26.857672
127,26.909191
128,26.943232
129,26.673834
130,26.301361
131,26.152288
132,26.179613
133,26.180426
134,26.212767
135,26.319561
136,26.267849
137,26.246857
138,26.311691
139,26.118795
140,26.298306
141,25.810892
142,26.078751
143,25.895607
144,26.125608
145,26.068392
146,26.078440
147,26.225912
148,26.343050
149,26.296080
150,26.319317
151,26.246702
152,26.144699
153,26.169903
154,26.250027
155,26.355684
156,30.102507
157,28.788752
158,28.062065
159,27.878908
160,27.710279
161,27.800459
162,27.811235
163,28.109537
164,27.851482
165,27.885109
166,27.740946
167,28.168896
168,28.092815
169,28.285534
170,28.049505
171,28.331635
172,28.005653
173,27.688015
174,28.059988
175,28.188873
176,28.338457
177,28.539547
178,28.190416
179,28.562325
180,28.467060
181,28.251394
182,28.133888
183,25.735838
184,25.674438
185,26.050686
186,26.580889
187,26.906033
188,27.001265
189,27.040733
190,27.277561
191,27.228708
192,27.889547
193,28.105412
194,27.782328
195,28.038271
196,28.217447
197,28.168737
198,28.181149
199,27.621639
200,27.701479
201,27.375965
202,27.427397
203,27.227644
204,27.236395
205,26.587019
206,26.496429
207,26.247597
208,26.348997
209,26.518560
210,26.262325
211,25.902674
212,26.101673
213,26.246668
214,26.170799
215,26.096457
216,25.922335
217,25.733564
218,25.506693
219,25.281904
220,25.171671
221,25.118715
222,25.146437
223,25.060036
224,25.066538
225,25.004427
226,24.818872
227,24.768242
228,24.898705
229,25.214895
230,25.499744
231,25.695522
232,25.824774
233,25.848639
234,25.658581
235,25.562801
236,25.672651
237,25.922964
238,26.023767
239,26.030087
240,26.180387
241,26.219120
242,26.137444
243,26.107056
244,26.152887
245,26.127811
246,26.165424
247,26.190319
248,26.083515
249,26.125069
250,25.925802
251,25.880243
252,25.885309
253,25.759027
254,25.613214
255,25.591705
256,25.554899
257,25.536369
258,25.582283
259,25.558847
260,25.546843
261,25.512550
262,25.381296
263,25.275391
264,25.206266
265,26.830809
266,26.137167
267,25.902161
268,25.551144
269,25.551565
270,25.648912
271,25.716702
272,25.816141
273,25.755245
274,25.643599
275,25.760241
276,25.724600
277,25.658222
278,25.516953
279,25.526001
280,25.548141
281,25.583014
282,25.445093
283,25.230209
284,24.991302
285,25.037271
286,24.923140
287,24.868940
288,24.767990
289,24.689697
290,24.722443
291,24.663490
292,24.635689
293,24.615324
294,24.602270
295,24.525719
296,24.460552
297,24.471516
298,24.410160
299,24.408283
300,24.449284
301,24.374750
302,24.333818
303,24.281200
304,24.274818
305,24.276445
306,24.240465
307,24.538759
308,24.608429
309,24.912388
310,24.967297
311,25.008604
312,25.017502
313,25.114748
314,25.444788
315,25.513393
316,25.561722
317,25.579826
318,25.586990
319,25.603645
320,25.589586
321,25.604933
322,25.591143
323,25.641718
324,25.620340
325,25.658882
326,25.682575
327,25.694561
328,25.690809
329,25.683353
330,25.725832
331,25.993504
332,26.072536
333,25.882717
334,25.848726
335,26.076181
336,26.078728
337,25.929714
338,25.912376
339,26.087027
340,26.130112
341,26.160400
342,26.174511
343,26.202864
344,26.573919
345,26.652128
346,26.687563
347,26.715744
348,26.730207
349,26.734400
350,26.792826
351,26.774401
352,26.813322
353,26.826265
354,26.814327
355,26.796185
356,26.552673
357,26.513929
358,26.462862
359,26.433149
360,26.392214
361,26.367712
362,32.656281
363,29.504148
364,28.887653
365,28.494373
366,28.345953
367,28.158041
368,27.701214
369,27.561073
370,27.372543
371,27.434677
372,27.190699
373,27.163469
374,26.943310
375,26.760885
376,26.587309
377,26.465246
378,26.245501
379,26.173258
380,26.072584
381,26.097198
382,26.073999
383,26.134356
384,27.085457
385,27.622919
386,27.527136
387,27.565605
388,27.629299
389,27.869474
390,28.102791
391,28.669455
392,28.055346
393,27.539234
394,27.308628
395,27.045973
396,26.991028
397,26.733282
398,26.647593
399,26.836390
400,26.712170
401,26.590702
402,26.324656
403,25.767799
404,25.030966
405,24.689260
406,24.665462
407,24.647881
408,24.742846
409,24.726961
410,24.682583
411,24.642689
412,24.618380
413,24.716627
414,24.850731
415,24.914272
416,24.955467
417,25.423260
418,31.263487
419,28.448389
420,28.284908
421,27.796183
422,27.314892
423,27.058344
424,26.552496
425,26.070118
426,25.739950
427,25.537020
428,25.508898
429,25.523249
430,25.683563
431,25.750845
432,25.799072
433,25.777500
434,25.541859
435,25.478052
436,25.536009
437,25.613499
438,25.577528
439,25.484859
440,25.427763
441,25.792841
442,25.821445
443,25.794514
444,26.062132
445,26.087633
