frame,value
0,30.098852
1,28.078945
2,26.840931
3,26.807386
4,26.345585
5,26.213390
6,26.535172
7,27.021482
8,26.539602
9,26.896309
10,26.902950
11,26.654568
12,26.519089
13,26.473522
14,26.309528
15,26.165840
16,26.036572
17,26.120224
18,26.359730
19,26.374342
20,26.398058
21,26.764435
22,26.756870
23,26.674089
24,26.818466
25,27.141802
26,27.132042
27,27.017027
28,26.935453
29,26.947157
30,27.136547
31,27.428627
32,27.261597
33,27.558809
34,27.377626
35,27.210228
36,27.320827
37,27.095657
38,27.136871
39,27.123901
40,27.353045
41,27.402380
42,27.299206
43,27.333050
44,27.474365
45,27.225395
46,27.229509
47,27.512901
48,27.287254
49,27.250538
50,27.275978
51,27.086189
52,26.957272
53,26.684082
54,26.709946
55,26.458290
56,26.337347
57,26.546402
58,26.538424
59,26.698851
60,26.734915
61,26.645569
62,26.786478
63,27.045286
64,27.162098
65,30.994135
66,30.007990
67,29.810156
68,29.615391
69,29.030699
70,29.524252
71,28.999945
72,28.642344
73,29.282887
74,29.774363
75,30.869314
76,30.688801
77,30.690268
78,30.428057
79,30.363453
80,30.570148
81,29.533115
82,29.094416
83,29.464586
84,29.719679
85,29.702532
86,29.738119
87,28.223345
88,28.563364
89,28.740662
90,28.715919
91,28.801334
92,28.806494
93,28.573380
94,28.721142
95,28.295851
96,28.326283
97,28.095779
98,28.334093
99,28.147165
100,28.335365
101,28.193098
102,28.115675
103,27.892242
104,27.889545
105,28.148720
106,28.363459
107,28.404510
108,28.112169
109,28.289495
110,28.333157
111,28.570669
112,28.903072
113,28.891691
114,28.888582
115,28.424282
116,26.718145
117,26.828535
118,26.763779
119,26.756393
120,26.691652
121,26.933897
122,27.103689
123,26.929655
124,27.000557
125,27.036087
126,27.077080
127,27.218130
128,27.158165
129,26.936079
130,26.649067
131,26.594490
132,26.530636
133,26.541643
134,26.511692
135,26.551422
136,26.395435
137,26.404078
138,26.297482
139,26.108234
140,26.514826
141,25.881987
142,26.148327
143,26.148998
144,26.093737
145,26.126801
146,26.311403
147,26.360775
148,26.414843
149,26.346416
150,26.463737
151,26.372181
152,26.346300
153,26.370028
154,26.495195
155,26.659163
156,30.081617
157,28.737837
158,28.204330
159,27.848633
160,27.961306
161,27.826849
162,27.942932
163,27.941521
164,27.903688
165,28.000217
166,27.900743
167,28.067238
168,28.125658
169,28.360397
170,28.348568
171,28.482477
172,28.334757
173,28.321934
174,28.096321
175,28.594265
176,28.746002
177,28.667995
178,28.664192
179,28.610992
180,28.512793
181,28.423267
182,28.067642
183,25.917034
184,25.897865
185,26.119110
186,26.708044
187,27.123787
188,27.191578
189,27.300203
190,27.412775
191,27.427319
192,27.963627
193,28.295639
194,27.962227
195,28.561304
196,28.419069
197,28.304512
198,28.114792
199,27.783535
200,27.950478
201,27.760506
202,27.733116
203,27.245045
204,27.404530
205,26.905937
206,26.748800
207,26.407904
208,26.906656
209,26.625900
210,26.271132
211,26.154360
212,26.216805
213,26.430563
214,26.318420
215,26.247108
216,26.064087
217,25.913157
218,25.622723
219,25.511019
