frame,value
0,0.928513
1,0.890041
2,0.879196
3,0.880874
4,0.889398
5,0.893734
6,0.891062
7,0.894351
8,0.896184
9,0.908983
10,0.913051
11,0.914464
12,0.909010
13,0.906955
14,0.900891
15,0.884043
16,0.881542
17,0.880561
18,0.875309
19,0.873428
20,0.879146
21,0.886513
22,0.866345
23,0.850811
24,0.852833
25,0.855502
26,0.856608
27,0.831302
28,0.814166
29,0.821148
30,0.827661
31,0.837369
32,0.846951
33,0.851711
34,0.853192
35,0.855965
36,0.855233
37,0.844734
38,0.842376
39,0.834149
40,0.828883
41,0.829656
42,0.823770
43,0.824629
44,0.831429
45,0.822318
46,0.824194
47,0.836309
48,0.837344
49,0.841264
50,0.846275
51,0.844574
52,0.835440
53,0.826116
54,0.831371
55,0.826078
56,0.827539
57,0.829850
58,0.840738
59,0.837327
60,0.837656
61,0.840172
62,0.844933
63,0.846574
64,0.846433
65,0.921470
66,0.890185
67,0.887523
68,0.882580
69,0.876637
70,0.885307
71,0.880008
72,0.873851
73,0.881027
74,0.880972
75,0.897665
76,0.885618
77,0.897207
78,0.902947
79,0.902289
80,0.902187
81,0.882786
82,0.878792
83,0.882927
84,0.887804
85,0.893680
86,0.897394
87,0.887622
88,0.894145
89,0.885112
90,0.874820
91,0.873343
92,0.876710
93,0.876554
94,0.876956
95,0.872466
96,0.868094
97,0.864278
98,0.871758
99,0.866185
100,0.863437
101,0.866268
102,0.859073
103,0.853572
104,0.851780
105,0.855676
106,0.856813
107,0.859085
108,0.860072
109,0.866259
110,0.862100
111,0.869819
112,0.873607
113,0.873176
114,0.867723
115,0.913072
116,0.851523
117,0.860662
118,0.855529
119,0.854908
120,0.852359
121,0.859297
122,0.861855
123,0.855289
124,0.863142
125,0.863062
126,0.869149
127,0.875916
128,0.879144
129,0.879026
130,0.879686
131,0.881089
132,0.879784
133,0.883683
134,0.879261
135,0.883729
136,0.882108
137,0.884962
138,0.885634
139,0.885884
140,0.892104
141,0.885960
142,0.885186
143,0.884224
144,0.883881
145,0.881961
146,0.878650
147,0.878251
148,0.880841
149,0.878147
150,0.876182
151,0.873632
152,0.876063
153,0.875622
154,0.874977
155,0.877983
156,0.924627
157,0.898784
158,0.885214
159,0.884466
160,0.883428
161,0.891888
162,0.886871
163,0.890136
164,0.885715
165,0.881967
166,0.883446
167,0.882921
168,0.874190
169,0.878100
170,0.878928
171,0.879237
172,0.876502
173,0.872329
174,0.874881
175,0.884998
176,0.884580
177,0.883256
178,0.875032
179,0.875756
180,0.874680
181,0.878990
182,0.874124
183,0.862785
184,0.860186
185,0.865733
186,0.862593
187,0.860709
188,0.864029
189,0.861800
190,0.863842
191,0.860251
192,0.871387
193,0.868156
194,0.865129
195,0.871928
196,0.877743
197,0.873683
198,0.861425
199,0.870545
200,0.879739
201,0.879991
202,0.879567
203,0.872900
204,0.872809
205,0.860090
206,0.859993
207,0.857339
208,0.857227
209,0.860661
210,0.861123
211,0.852352
