frame,value
0,0.992643
1,0.963545
2,0.952026
3,0.937034
4,0.918540
5,0.911518
6,0.903800
7,0.895873
8,0.896423
9,0.909554
10,0.913039
11,0.903443
12,0.908920
13,0.907541
14,0.892438
15,0.883171
16,0.880849
17,0.882422
18,0.887353
19,0.889197
20,0.895237
21,0.900194
22,0.891769
23,0.871675
24,0.879510
25,0.883562
26,0.886806
27,0.881777
28,0.878283
29,0.880439
30,0.900585
31,0.906624
32,0.926373
33,0.926676
34,0.929010
35,0.925132
36,0.924794
37,0.923071
38,0.922171
39,0.916573
40,0.897991
41,0.896619
42,0.893845
43,0.907727
44,0.911555
45,0.910286
46,0.908098
47,0.911041
48,0.914397
49,0.923055
50,0.925833
51,0.927305
52,0.920296
53,0.918217
54,0.910446
55,0.911731
56,0.911449
57,0.916804
58,0.906203
59,0.915779
60,0.916668
61,0.918480
62,0.918875
63,0.922110
64,0.914944
65,0.964965
66,0.943195
67,0.941142
68,0.936038
69,0.935142
70,0.951708
71,0.950757
72,0.945005
73,0.946813
74,0.956655
75,0.960661
76,0.956765
77,0.959586
78,0.961894
79,0.961232
80,0.962132
81,0.956371
82,0.951503
83,0.951101
84,0.956666
85,0.959776
86,0.966751
87,0.963932
88,0.967113
89,0.961641
90,0.958396
91,0.965129
92,0.965540
93,0.968777
94,0.969050
95,0.967028
96,0.961840
97,0.967038
98,0.962993
99,0.962290
100,0.967048
101,0.959553
102,0.965540
103,0.964503
104,0.968329
105,0.960131
106,0.968427
107,0.971418
108,0.970988
109,0.975823
110,0.975513
111,0.976052
112,0.979621
113,0.982079
114,0.980390
115,0.981905
116,0.963853
117,0.958113
118,0.955965
119,0.952361
120,0.950976
121,0.958903
122,0.959899
123,0.954972
124,0.956739
125,0.957856
126,0.959049
127,0.959909
128,0.955448
129,0.953778
130,0.952968
131,0.951072
132,0.951274
133,0.952846
134,0.948331
135,0.945821
136,0.951447
137,0.952309
138,0.952774
139,0.951690
140,0.951806
141,0.950504
142,0.949634
143,0.955866
144,0.957854
145,0.953559
146,0.952194
147,0.951115
148,0.951665
149,0.950344
150,0.951375
151,0.950063
152,0.949892
153,0.955878
154,0.957050
155,0.958477
156,0.972253
157,0.967251
158,0.962892
159,0.966510
160,0.968602
161,0.972814
162,0.972183
163,0.971753
164,0.974576
165,0.975301
166,0.977669
167,0.977878
168,0.974041
169,0.974529
170,0.973021
171,0.975199
172,0.968149
173,0.974434
174,0.969130
175,0.975914
176,0.975489
177,0.967024
178,0.970843
179,0.970349
180,0.970582
181,0.967621
182,0.973068
183,0.956168
184,0.949461
185,0.949350
186,0.954569
187,0.972863
188,0.966409
189,0.976794
190,0.969024
191,0.979446
192,0.974233
193,0.981530
194,0.974607
195,0.976980
196,0.975216
197,0.969473
198,0.973870
199,0.968703
200,0.966432
201,0.963889
202,0.963596
203,0.960024
204,0.961759
205,0.961507
206,0.968082
207,0.967305
208,0.963040
209,0.959411
210,0.960529
211,0.958382
212,0.957541
213,0.958407
214,0.950145
215,0.961167
216,0.952504
217,0.957102
218,0.948350
219,0.947108
220,0.950296
221,0.942173
222,0.958874
223,0.946869
224,0.943895
225,0.949467
226,0.949656
227,0.950258
228,0.955240
229,0.954491
230,0.968385
231,0.961128
232,0.966489
233,0.964895
234,0.970862
235,0.966961
236,0.972522
237,0.968999
238,0.973816
239,0.972055
240,0.979827
241,0.973691
242,0.972690
243,0.979223
244,0.975063
245,0.976243
246,0.978507
247,0.975049
248,0.978477
249,0.975920
250,0.972215
251,0.979252
252,0.974935
253,0.975904
254,0.974907
255,0.971832
256,0.968670
257,0.976189
258,0.972357
259,0.980480
260,0.977583
261,0.975778
262,0.983549
263,0.980424
264,0.978847
265,0.977353
266,0.970941
267,0.966728
268,0.962802
269,0.962595
270,0.964714
271,0.961765
272,0.964175
273,0.963714
274,0.963022
275,0.968583
276,0.967303
277,0.967434
278,0.970532
279,0.967984
280,0.967792
281,0.964937
282,0.969399
283,0.964591
284,0.966717
285,0.969850
286,0.962679
287,0.969099
288,0.965232
289,0.969523
290,0.972374
291,0.968041
292,0.974534
293,0.970671
294,0.977167
295,0.972768
296,0.979715
297,0.975568
298,0.974450
299,0.982479
300,0.978460
301,0.977491
302,0.977329
303,0.986539
304,0.984498
305,0.983611
306,0.983390
307,0.983640
308,0.984664
309,0.984770
310,0.984890
311,0.983822
312,0.983621
313,0.983350
314,0.983241
315,0.983144
316,0.982261
317,0.981736
318,0.981461
319,0.981209
320,0.981036
321,0.980901
322,0.980724
323,0.980565
324,0.983787
325,0.982358
326,0.981992
327,0.981793
328,0.987345
329,0.985341
330,0.986039
331,0.985855
332,0.984953
333,0.984590
334,0.984223
335,0.985197
336,0.985255
337,0.985341
338,0.984322
339,0.983972
340,0.983637
341,0.984787
342,0.984974
343,0.985087
344,0.985025
345,0.985175
346,0.985067
347,0.985203
348,0.985164
349,0.985236
350,0.985355
351,0.985336
352,0.985314
353,0.985316
354,0.985255
355,0.985250
356,0.984346
357,0.983992
358,0.983635
359,0.984781
360,0.983940
361,0.985683
362,0.989680
363,0.982747
364,0.982804
365,0.982825
366,0.983622
367,0.983635
368,0.983410
369,0.983048
370,0.982935
371,0.982346
372,0.984316
373,0.981969
374,0.983671
375,0.981816
376,0.983445
377,0.983466
378,0.983308
379,0.984502
380,0.982558
381,0.989823
382,0.986960
383,0.985342
384,0.989864
385,0.987675
386,0.990378
387,0.989566
388,0.987010
389,0.989468
390,0.986612
391,0.989296
392,0.986508
393,0.983076
394,0.982009
395,0.979674
396,0.979084
397,0.975660
398,0.974183
399,0.970952
400,0.970362
401,0.970422
402,0.969231
403,0.962693
404,0.954983
405,0.956054
406,0.957479
407,0.956538
408,0.967858
409,0.962837
410,0.962808
411,0.977844
412,0.973804
413,0.973795
414,0.973821
415,0.977025
416,0.976443
417,0.979639
418,0.992101
419,0.984285
420,0.984706
421,0.984336
422,0.982968
423,0.980942
424,0.978538
425,0.974411
426,0.971765
427,0.969839
428,0.966702
429,0.968533
430,0.970716
431,0.969916
432,0.969614
433,0.982910
434,0.977274
435,0.975328
436,0.976067
437,0.977487
438,0.977380
439,0.977186
440,0.978487
441,0.980332
442,0.980687
443,0.979702
444,0.982799
445,0.981331
446,0.982262
447,0.982741
448,0.982846
449,0.981656
450,0.980128
451,0.980182
452,0.979795
453,0.980789
454,0.979457
455,0.981638
456,0.982247
457,0.983111
458,0.989087
459,0.987590
460,0.988234
461,0.987439
462,0.987481
463,0.985114
464,0.982324
465,0.980909
466,0.979830
467,0.974181
468,0.971892
469,0.970463
470,0.972386
471,0.969076
472,0.968188
473,0.971968
474,0.969030
475,0.968503
476,0.975546
477,0.972449
478,0.971195
479,0.977689
480,0.974981
481,0.984951
482,0.983147
483,0.981601
484,0.981604
485,0.982109
486,0.983056
487,0.983378
488,0.988943
489,0.987440
490,0.986789
491,0.986694
492,0.986296
493,0.987343
494,0.986263
495,0.984994
496,0.983394
497,0.982918
498,0.982413
499,0.982105
average,0.963757
