frame,value
0,41.180347
1,37.128571
2,35.508045
3,34.879513
4,34.218056
5,33.375443
6,33.052036
7,33.184612
8,33.449337
9,33.179703
10,33.226486
11,33.160049
12,33.032108
13,33.048328
14,32.501503
15,32.268982
16,32.226166
17,32.341469
18,32.470695
19,32.572128
20,32.635521
21,32.926556
22,32.791279
23,33.340652
24,33.506100
25,33.933010
26,34.289417
27,34.406040
28,34.490017
29,34.711266
30,34.938274
31,35.703857
32,35.598099
33,35.469597
34,35.206089
35,34.751625
36,34.678936
37,34.725140
38,34.665691
39,34.600895
40,34.793991
41,34.865917
42,34.871826
43,35.638168
44,35.778099
45,35.606861
46,35.450836
47,35.976528
48,35.502594
49,35.420815
50,35.321411
51,35.132080
52,34.748528
53,33.886509
54,33.788071
55,33.822823
56,34.111702
57,34.380901
58,34.348011
59,33.566685
60,33.477310
61,33.298325
62,33.982765
63,34.274040
64,34.556328
65,39.559116
66,38.940392
67,38.728809
68,39.131447
69,39.280560
70,39.468449
71,40.218895
72,39.400284
73,39.572987
74,40.722515
75,41.227821
76,41.562260
77,41.507236
78,41.368134
79,41.424656
80,42.321075
81,41.577564
82,40.726566
83,40.580334
84,40.759991
85,41.685925
86,41.018974
87,41.026882
88,40.801807
89,39.833073
90,39.844234
91,39.531952
92,38.906185
93,38.777088
94,39.414043
95,39.230740
96,39.222561
97,39.182709
98,39.180714
99,39.104137
100,38.684952
101,38.479458
102,38.379002
103,38.283928
104,38.373669
105,38.909233
106,39.001247
107,38.852322
108,38.725899
109,39.830524
110,40.225048
111,41.036362
112,41.301929
113,42.375874
114,42.549782
115,41.499310
116,37.955143
117,38.023254
118,37.781364
119,37.716457
120,37.122074
121,37.193047
122,37.290009
123,37.304573
124,37.431908
125,37.448254
126,37.010826
127,36.983631
128,36.793869
129,36.526932
130,36.281456
131,36.018475
132,35.920341
133,35.971371
134,36.038528
135,35.996323
136,35.988655
137,35.999622
138,35.943283
139,36.456326
140,36.407478
141,36.417255
142,36.445709
143,36.520535
144,36.163773
145,36.253571
146,36.251244
147,36.260059
148,36.233948
149,36.167465
150,36.155968
151,36.177765
152,36.216591
153,36.279449
154,36.850674
155,36.925495
156,39.842003
157,38.937725
158,38.868401
159,38.907597
160,38.892765
161,38.865673
162,39.532207
163,39.434013
164,40.020008
165,39.433853
166,39.418205
167,39.887325
168,39.760368
169,39.884911
170,40.046162
171,39.918919
172,39.761242
173,39.764011
174,39.824287
175,40.236660
176,40.364277
177,40.217239
178,40.345623
179,40.303596
180,40.385616
181,40.254406
182,40.409618
183,34.918079
184,34.328728
185,35.111992
186,35.720589
187,36.604061
188,37.107410
189,37.991806
190,38.270065
191,38.631535
192,39.902798
193,40.275875
194,40.293392
195,40.427368
196,40.493359
197,40.516880
198,40.346939
199,39.985085
200,39.122055
201,38.759193
202,38.726177
203,37.747250
204,38.189674
205,37.996426
206,37.799385
207,37.545731
208,37.522728
209,37.336884
210,36.982880
211,36.674156
212,36.528915
213,36.713398
214,36.019234
215,35.767464
216,35.580578
217,35.332886
218,35.057453
219,34.717464
220,34.562775
221,34.501556
222,34.450119
223,34.406414
224,34.362381
225,34.704357
226,34.187668
227,34.767712
228,34.956642
229,35.166595
230,35.793983
231,35.971565
232,36.561619
233,36.606094
234,36.641857
235,36.662159
236,36.659248
237,36.769234
238,36.850132
239,36.884811
240,37.547958
241,37.510075
242,37.474575
243,37.458298
244,37.863110
245,38.001049
246,38.014992
247,37.978275
248,37.966206
249,37.853405
250,37.726765
251,37.596619
252,37.504414
253,37.375584
254,37.253395
255,37.178123
256,37.172832
257,37.242722
258,37.280750
259,38.106724
260,38.668102
261,38.746529
262,38.642597
263,38.113697
264,38.483025
265,39.990131
266,38.422390
267,37.889721
268,37.398521
269,37.583160
270,37.562565
271,38.063164
272,38.126820
273,38.168430
274,38.166729
275,38.428204
276,39.139027
277,39.267811
278,38.770618
279,38.651196
280,38.349430
281,38.198669
282,38.069302
283,37.946712
284,37.842350
285,37.775620
286,37.200100
287,37.039581
288,36.903156
289,36.830208
290,37.248413
291,37.276794
292,37.560368
293,37.618095
294,38.327560
295,38.435429
296,38.497959
297,38.912849
298,39.001945
299,39.094765
300,39.150383
301,39.127918
302,39.150570
303,39.156338
304,39.166080
305,39.616123
306,40.438660
307,41.172104
308,40.555618
309,40.389816
310,39.974751
311,40.174595
312,40.708874
313,40.837132
314,40.863873
315,40.516998
316,40.105968
317,39.908546
318,40.154213
319,40.734116
320,40.094715
321,39.894638
322,39.774220
323,40.014313
324,40.730759
325,40.355015
326,39.960567
327,39.827019
328,40.083839
329,40.720654
330,41.387470
331,40.732796
332,40.149723
333,39.842587
334,39.921753
335,40.207008
336,40.790977
337,40.881931
338,40.287533
339,40.383080
340,40.283318
341,40.843410
342,41.455055
343,41.579041
344,40.941120
345,40.727180
346,41.063602
347,41.532780
348,41.608177
349,41.674725
350,40.894073
351,40.834743
352,41.150253
353,41.597664
354,41.644211
355,41.759117
356,41.054878
357,40.582794
358,40.272911
359,40.533714
360,41.039909
361,41.572388
362,43.505291
363,41.849506
364,41.867001
365,41.959740
366,42.279095
367,42.703426
368,42.725716
369,42.696484
370,42.650337
371,42.577492
372,42.433010
373,42.284321
374,42.193703
375,42.063610
376,40.926247
377,40.731098
378,41.199703
379,41.662758
380,40.748562
381,41.135414
382,41.130432
383,41.796448
384,41.933868
385,42.760113
386,43.458050
387,43.177361
388,43.261478
389,43.337845
390,43.441376
391,42.745579
392,42.615402
393,41.780560
394,41.613178
395,40.920448
396,40.775127
397,39.635265
398,39.015980
399,38.857227
400,38.850624
401,38.067749
402,37.753643
403,36.996658
404,35.986401
405,35.675087
406,35.903725
407,36.095646
408,36.263298
409,36.356983
410,36.443359
411,37.025356
412,37.154953
413,37.572647
414,38.507801
415,38.821350
416,38.962757
417,39.141273
418,43.621761
419,40.894058
420,40.971676
421,40.686554
422,40.335938
423,39.939320
424,39.389191
425,38.616920
426,38.233280
427,37.364101
428,37.270344
429,37.188313
430,37.217369
431,37.245708
432,37.264114
433,37.787956
434,37.804680
435,38.294044
436,38.011478
437,37.958424
438,37.901585
439,37.907211
440,37.880512
441,38.249969
442,38.237854
443,39.072334
444,39.780415
445,38.983215
446,38.883499
447,38.855865
448,38.504604
449,38.436737
450,38.809715
451,38.902866
452,38.952946
453,38.964909
454,39.048306
455,39.229595
456,39.302166
457,39.823612
458,40.192699
459,40.308910
460,40.419495
461,41.109894
462,41.138660
463,41.591736
464,41.098839
465,40.251247
466,40.054550
467,40.053394
468,39.500816
469,39.269257
470,38.286774
471,38.626945
472,38.480576
473,37.677841
474,37.524967
475,37.332512
476,37.158825
477,37.044533
478,36.941067
479,36.928261
480,36.994400
481,37.580524
482,37.729553
483,38.208603
484,38.328518
485,38.411686
486,38.461910
487,39.199631
488,39.841103
489,40.546154
490,39.959587
491,39.785057
492,39.137306
493,38.935112
494,38.789505
495,38.609158
496,38.656994
497,38.565865
498,38.111351
499,38.038319
average,38.308235
