frame,value
0,0.987018
1,0.939921
2,0.913304
3,0.895380
4,0.894030
5,0.874982
6,0.868603
7,0.858822
8,0.855613
9,0.856109
10,0.847688
11,0.846238
12,0.848382
13,0.843702
14,0.833091
15,0.825868
16,0.820174
17,0.822180
18,0.826368
19,0.829772
20,0.837797
21,0.850488
22,0.839480
23,0.826764
24,0.830264
25,0.835339
26,0.832414
27,0.827118
28,0.813667
29,0.820604
30,0.829293
31,0.839814
32,0.849484
33,0.854592
34,0.854433
35,0.856116
36,0.851782
37,0.846584
38,0.842360
39,0.840073
40,0.830407
41,0.827079
42,0.825278
43,0.819646
44,0.827911
45,0.825532
46,0.822782
47,0.834683
48,0.837407
49,0.841953
50,0.846792
51,0.843206
52,0.832543
53,0.821587
54,0.829176
55,0.825885
56,0.824071
57,0.827697
58,0.830503
59,0.833115
60,0.836413
61,0.837575
62,0.841804
63,0.846350
64,0.848991
65,0.924692
66,0.890809
67,0.887282
68,0.884923
69,0.877829
70,0.890791
71,0.883682
72,0.872320
73,0.877302
74,0.880923
75,0.895683
76,0.888396
77,0.894448
78,0.902473
79,0.901375
80,0.900207
81,0.883366
82,0.879893
83,0.881653
84,0.886867
85,0.891017
86,0.889173
87,0.878381
88,0.890570
89,0.879459
90,0.872178
91,0.872967
92,0.869276
93,0.868016
94,0.870315
95,0.871123
96,0.867151
97,0.869693
98,0.870056
99,0.862471
100,0.859980
101,0.858338
102,0.858235
103,0.849642
104,0.847094
105,0.846931
106,0.854953
107,0.857425
108,0.855212
109,0.875709
110,0.883387
111,0.889334
112,0.898211
113,0.892126
114,0.901708
115,0.925434
116,0.861771
117,0.864342
118,0.856349
119,0.851744
120,0.852820
121,0.862509
122,0.863149
123,0.857509
124,0.864782
125,0.867495
126,0.871994
127,0.877289
128,0.882886
129,0.884558
130,0.887538
131,0.883718
132,0.882841
133,0.884245
134,0.880586
135,0.884712
136,0.886473
137,0.888283
138,0.889023
139,0.890172
140,0.891576
141,0.881542
142,0.881768
143,0.881290
144,0.883881
145,0.883013
146,0.879437
147,0.877640
148,0.880440
149,0.877490
150,0.878088
151,0.874472
152,0.873604
153,0.872210
154,0.874541
155,0.877050
156,0.922680
157,0.899649
158,0.888833
159,0.883298
160,0.883483
161,0.883955
162,0.883420
163,0.887093
164,0.877722
165,0.877505
166,0.878518
167,0.873192
168,0.877260
169,0.877783
170,0.897041
171,0.893138
172,0.890009
173,0.871856
174,0.890826
175,0.899113
176,0.902864
177,0.898363
178,0.894766
179,0.908045
180,0.909615
181,0.912625
182,0.913915
183,0.883111
184,0.869674
185,0.870306
186,0.877677
187,0.901538
188,0.925446
189,0.938009
190,0.940655
191,0.943327
192,0.947904
193,0.945455
194,0.942237
195,0.945330
196,0.946281
197,0.932674
198,0.932043
199,0.924529
200,0.915858
201,0.906158
202,0.899622
203,0.915908
204,0.917630
205,0.913936
206,0.917872
207,0.913107
208,0.910120
209,0.910433
210,0.905325
211,0.904269
212,0.905626
213,0.889137
214,0.897913
215,0.903801
216,0.905789
217,0.904802
218,0.899514
219,0.900454
220,0.899167
221,0.902239
222,0.903461
223,0.905955
224,0.907435
225,0.908945
226,0.910549
227,0.910898
228,0.914373
229,0.921027
230,0.926617
231,0.929353
232,0.936689
233,0.940050
234,0.940374
235,0.942968
236,0.946719
237,0.947825
238,0.948428
239,0.950893
240,0.952255
241,0.952369
242,0.951834
243,0.950836
244,0.951689
245,0.952766
246,0.951489
247,0.951090
248,0.949529
249,0.949222
250,0.948217
251,0.946427
252,0.944646
253,0.943594
254,0.943441
255,0.944909
256,0.946581
257,0.948653
258,0.950975
259,0.952736
260,0.954868
261,0.956558
262,0.957701
263,0.959416
264,0.960643
265,0.947305
266,0.934389
267,0.924272
268,0.920116
269,0.915590
270,0.918957
271,0.917444
272,0.931769
273,0.934150
274,0.937225
275,0.938246
276,0.937335
277,0.933186
278,0.932524
279,0.936408
280,0.927107
281,0.930963
282,0.925512
283,0.924323
284,0.923245
285,0.926253
286,0.927060
287,0.928761
288,0.929277
289,0.929381
290,0.935508
291,0.936648
292,0.940420
293,0.943586
294,0.944564
295,0.946227
296,0.948153
297,0.949766
298,0.950397
299,0.950714
300,0.951749
301,0.952406
302,0.954666
303,0.957671
304,0.959465
305,0.960787
306,0.962060
307,0.963805
308,0.964115
309,0.964475
310,0.964521
311,0.964599
312,0.964841
313,0.964790
314,0.962922
315,0.964862
316,0.962737
317,0.962202
318,0.964623
319,0.961219
320,0.960215
321,0.961229
322,0.961235
323,0.961194
324,0.961259
325,0.962455
326,0.963587
327,0.964919
328,0.965247
329,0.965416
330,0.965665
331,0.965825
332,0.966100
333,0.966285
334,0.966219
335,0.966273
336,0.966299
337,0.966501
338,0.966366
339,0.966706
340,0.967095
341,0.967666
342,0.968373
343,0.968870
344,0.968869
345,0.969582
346,0.969699
347,0.969801
348,0.969819
349,0.969841
350,0.970046
351,0.970703
352,0.970384
353,0.969790
354,0.969376
355,0.968876
356,0.968541
357,0.968316
358,0.968231
359,0.968079
360,0.968256
361,0.968159
362,0.984742
363,0.969994
364,0.967124
365,0.966376
366,0.968266
367,0.964735
368,0.968893
369,0.969612
370,0.970402
371,0.970914
372,0.971158
373,0.967732
374,0.967541
375,0.966976
376,0.966408
377,0.966720
378,0.966941
379,0.966727
380,0.967164
381,0.969031
382,0.971522
383,0.973693
384,0.975616
385,0.976523
386,0.978118
387,0.978806
388,0.978797
389,0.981023
390,0.974388
391,0.976622
392,0.971338
393,0.965442
394,0.961034
395,0.959097
396,0.956950
397,0.950640
398,0.941628
399,0.939920
400,0.940032
401,0.939967
402,0.933857
403,0.929784
404,0.923295
405,0.923651
406,0.927784
407,0.932272
408,0.953423
409,0.942841
410,0.942039
411,0.939990
412,0.943909
413,0.949550
414,0.952961
415,0.954811
416,0.956991
417,0.959004
418,0.982194
419,0.963044
420,0.961898
421,0.962621
422,0.953329
423,0.949514
424,0.945204
425,0.939872
426,0.934288
427,0.930975
428,0.929125
429,0.930394
430,0.939047
431,0.946337
432,0.950710
433,0.952855
434,0.952209
435,0.953742
436,0.956888
437,0.959848
438,0.961101
439,0.961658
440,0.962453
441,0.963852
442,0.964719
443,0.965120
444,0.965952
445,0.966376
446,0.965986
447,0.966407
448,0.964301
449,0.964022
450,0.963697
451,0.964311
452,0.964724
453,0.964221
454,0.964431
455,0.965619
456,0.967318
457,0.972613
458,0.976486
459,0.976989
460,0.977071
461,0.975650
462,0.973784
463,0.968920
464,0.963422
465,0.961087
466,0.958169
467,0.957107
468,0.955928
469,0.953272
470,0.951738
471,0.949738
472,0.949740
473,0.948330
474,0.946553
475,0.947975
476,0.948344
477,0.948187
478,0.950653
479,0.952968
480,0.955693
481,0.957998
482,0.961029
483,0.962839
484,0.965151
485,0.967125
486,0.968549
487,0.970133
488,0.981504
489,0.978982
490,0.977824
491,0.977438
492,0.974646
493,0.973426
494,0.972304
495,0.974272
496,0.970473
497,0.969033
498,0.967647
499,0.966916
average,0.919923
