frame,value
0,33.989529
1,30.469503
2,28.716759
3,28.434896
4,26.388670
5,26.445517
6,26.552677
7,26.124071
8,26.242811
9,26.359940
10,26.418762
11,26.101162
12,25.930511
13,25.845058
14,25.662710
15,25.567801
16,25.556608
17,25.608370
18,25.744434
19,25.886152
20,25.950809
21,26.135714
22,26.102680
23,26.037493
24,26.220818
25,26.516180
26,26.686792
27,26.752640
28,26.865250
29,26.729591
30,26.737144
31,27.088514
32,27.069990
33,27.059238
34,26.865686
35,26.670324
36,26.765551
37,26.687113
38,26.715561
39,26.634277
40,26.834179
41,27.085115
42,26.889441
43,26.917797
44,26.996500
45,27.003706
46,26.736279
47,27.035187
48,27.011921
49,26.888393
50,26.774355
51,26.633715
52,26.327295
53,26.225016
54,26.158024
55,26.048885
56,25.920889
57,26.203131
58,26.238791
59,26.325413
60,26.402559
61,26.162689
62,26.177689
63,26.425165
64,26.527580
65,30.961760
66,29.535738
67,29.251806
68,29.333216
69,28.843956
70,28.894381
71,29.251705
72,28.821344
73,28.980751
74,29.869072
75,31.167898
76,30.606888
77,30.795620
78,30.932886
79,30.457867
80,30.300983
81,29.240532
82,28.879223
83,29.303276
84,29.247440
85,29.476675
86,29.057688
87,28.592491
88,28.404875
89,28.583204
90,27.897715
91,27.796829
92,28.183937
93,27.924850
94,27.734648
95,27.548660
96,27.381823
97,27.198950
98,27.391472
99,26.842859
100,26.766148
101,26.517883
102,26.518137
103,26.556868
104,26.822880
105,27.025209
106,27.205280
107,27.824963
108,27.667320
109,27.802475
110,28.293755
111,28.352472
112,28.533108
113,28.668488
114,28.747599
115,28.074394
116,26.145969
117,26.368345
118,26.260981
119,26.311428
120,26.279222
121,26.500216
122,26.590878
123,26.516197
124,26.591848
125,26.588223
126,26.697172
127,26.722954
128,26.680288
129,26.570492
130,26.388712
131,26.006569
132,26.102570
133,26.094385
134,25.949284
135,26.026310
136,25.958246
137,25.940102
138,25.843712
139,25.783176
140,25.764778
141,25.480804
142,25.553961
143,25.582417
144,25.632696
145,25.598207
146,25.568369
147,25.637304
148,25.672701
149,25.688711
150,25.711369
151,25.590267
152,25.639309
153,25.653261
154,25.731323
155,25.861765
156,29.400341
157,28.208395
158,27.378414
159,27.083549
160,27.077492
161,27.365175
162,27.234486
163,27.246233
164,27.311134
165,27.272261
166,27.381727
167,27.461040
168,27.607985
169,27.608118
170,27.554932
171,27.651411
172,27.519121
173,27.195362
174,27.069590
175,27.566446
176,28.092651
177,28.199757
178,28.318012
179,28.280861
180,27.864796
181,27.729673
182,27.570024
183,24.896883
184,25.022007
185,25.362068
186,25.976259
187,26.528286
188,26.751974
189,26.912428
190,26.833048
191,27.068863
192,27.379953
193,27.681297
194,27.619043
195,28.163054
196,28.072533
197,27.862501
198,27.681166
199,27.259199
200,27.175108
201,26.886961
202,26.853432
203,26.628031
204,26.802805
205,26.406477
206,26.250475
207,26.269899
208,26.188423
209,25.923431
210,25.794638
211,25.453554
212,25.491526
213,25.647024
214,25.538889
215,25.459805
216,25.313585
217,25.098892
218,24.921080
219,24.804289
220,24.724674
221,24.675707
222,24.711012
223,24.599615
224,24.594339
225,24.481779
226,24.355215
227,24.299841
228,24.417562
229,24.722908
230,25.008966
231,25.167356
232,25.293419
233,25.378250
234,25.344061
235,25.445738
236,25.519373
237,25.599298
238,25.833290
239,25.976141
240,25.884665
241,25.964300
242,25.925568
243,25.911674
244,25.907593
245,25.892408
246,25.871176
247,25.847363
248,25.828777
249,25.739260
250,25.623283
251,25.557762
252,25.466806
253,25.297142
254,25.232437
255,25.194845
256,25.195930
257,25.248617
258,25.225546
259,25.200932
260,25.152081
261,25.094816
262,24.938005
263,24.819052
264,24.871979
265,26.471006
266,25.719065
267,25.440159
268,25.006203
269,24.985199
270,25.057323
271,25.058437
272,25.224009
273,25.195827
274,25.113653
275,25.193718
276,25.212610
277,25.087017
278,24.936651
279,24.951460
280,25.028000
281,25.113287
282,24.908176
283,24.691044
284,24.558048
285,24.507906
286,24.480152
287,24.380087
288,24.231485
289,24.107906
290,24.160830
291,24.118196
292,24.080898
293,24.023651
294,24.029844
295,24.011263
296,23.974327
