frame,value
0,0.991288
1,0.984672
2,0.982662
3,0.981140
4,0.980152
5,0.973423
6,0.974460
7,0.972604
8,0.975235
9,0.976665
10,0.974036
11,0.974207
12,0.977883
13,0.977642
14,0.977077
15,0.976059
16,0.976394
17,0.974329
18,0.977977
19,0.979207
20,0.979370
21,0.980316
22,0.978201
23,0.977482
24,0.977416
25,0.978797
26,0.979808
27,0.979852
28,0.979705
29,0.980832
30,0.984093
31,0.984635
32,0.984925
33,0.984807
34,0.984603
35,0.983586
36,0.983123
37,0.983009
38,0.982894
39,0.982444
40,0.982002
41,0.983261
42,0.983630
43,0.984110
44,0.984443
45,0.986642
46,0.986196
47,0.986533
48,0.986665
49,0.986844
50,0.987158
51,0.986725
52,0.982713
53,0.982579
54,0.982415
55,0.982810
56,0.982488
57,0.983436
58,0.983514
59,0.983067
60,0.982519
61,0.982644
62,0.982513
63,0.983156
64,0.981837
65,0.993580
66,0.992855
67,0.993265
68,0.993045
69,0.994597
70,0.994714
71,0.995206
72,0.995918
73,0.995958
74,0.996374
75,0.996467
76,0.996456
77,0.996643
78,0.996571
79,0.996580
80,0.996884
81,0.996857
82,0.996520
83,0.995724
84,0.996135
85,0.996198
86,0.996282
87,0.995948
88,0.995845
89,0.995542
90,0.994588
91,0.994757
92,0.994126
93,0.993827
94,0.993013
95,0.992717
96,0.992604
97,0.992470
98,0.992390
99,0.992506
100,0.992435
101,0.992220
102,0.992101
103,0.992045
104,0.992047
105,0.992011
106,0.992218
107,0.992185
108,0.991980
109,0.993565
110,0.993945
111,0.994936
112,0.995203
113,0.995346
114,0.995399
115,0.996414
116,0.994054
117,0.993796
118,0.994156
119,0.994068
120,0.993400
121,0.993472
122,0.993517
123,0.992704
124,0.993569
125,0.992892
126,0.992998
127,0.993201
128,0.993189
129,0.993180
130,0.993155
131,0.993121
132,0.993130
133,0.993167
134,0.993309
135,0.993252
136,0.993268
137,0.994036
138,0.994074
139,0.994165
140,0.993433
141,0.993440
142,0.993444
143,0.993497
144,0.994356
145,0.993888
146,0.993761
147,0.993620
148,0.993684
149,0.993628
150,0.993572
151,0.993482
152,0.994121
153,0.993717
154,0.994178
155,0.994229
156,0.994935
157,0.994401
158,0.994425
159,0.995039
160,0.995086
161,0.995178
162,0.995820
163,0.995874
164,0.995708
165,0.995593
166,0.994853
167,0.995458
168,0.995213
169,0.995128
170,0.995539
171,0.995011
172,0.994911
173,0.995029
174,0.995120
175,0.995223
176,0.995049
177,0.994819
178,0.995264
179,0.995306
180,0.995446
181,0.995589
182,0.995754
183,0.987926
184,0.986830
185,0.988199
186,0.990116
187,0.990686
188,0.991083
189,0.992135
190,0.992399
191,0.992826
192,0.994190
193,0.994448
194,0.994506
195,0.994558
196,0.994633
197,0.995144
198,0.995137
199,0.994606
200,0.994709
201,0.993653
202,0.993517
203,0.992632
204,0.992373
205,0.992417
206,0.992178
207,0.991800
208,0.992948
209,0.991868
210,0.992417
211,0.991169
212,0.990890
213,0.991075
214,0.989731
215,0.989121
216,0.988441
217,0.987876
218,0.987073
219,0.986634
220,0.985948
221,0.985649
222,0.985442
223,0.985201
224,0.984892
225,0.985003
226,0.984626
227,0.985067
228,0.985356
229,0.986731
230,0.987673
231,0.989099
232,0.990523
233,0.990995
234,0.991248
235,0.991655
236,0.991945
237,0.992193
238,0.992395
239,0.992510
240,0.993517
241,0.994097
242,0.994050
243,0.994139
244,0.994303
245,0.994889
246,0.994985
247,0.994993
248,0.994970
249,0.994949
250,0.994793
251,0.994259
252,0.994100
253,0.993795
254,0.993559
255,0.993373
256,0.993369
257,0.993458
258,0.993917
259,0.993945
260,0.993914
261,0.993855
262,0.993698
263,0.994616
264,0.994720
265,0.995522
266,0.994070
267,0.993497
268,0.993567
269,0.993304
270,0.993747
271,0.993161
272,0.993674
273,0.993732
274,0.993688
275,0.994145
276,0.994148
277,0.994215
278,0.994342
279,0.994303
280,0.993826
281,0.993586
282,0.993521
283,0.993553
284,0.993623
285,0.993084
286,0.992948
287,0.992751
288,0.992739
289,0.993409
290,0.993496
291,0.993549
292,0.993530
293,0.994014
294,0.994099
295,0.994503
296,0.994630
297,0.994333
298,0.994594
299,0.995407
300,0.995511
301,0.995100
302,0.994960
303,0.994917
304,0.995487
305,0.995928
306,0.996197
307,0.996087
308,0.995915
309,0.995874
310,0.996068
311,0.996285
312,0.996347
313,0.996059
314,0.995639
315,0.995933
316,0.996144
317,0.996174
318,0.995983
319,0.995573
320,0.995418
321,0.995827
322,0.995834
323,0.995891
324,0.995464
325,0.995338
326,0.995796
327,0.996094
328,0.996146
329,0.995988
330,0.995575
331,0.996129
332,0.996236
333,0.996233
334,0.996060
335,0.995655
336,0.996178
337,0.996229
338,0.996242
339,0.996081
340,0.996026
341,0.996207
342,0.996231
343,0.996247
344,0.996434
345,0.996321
346,0.996304
347,0.996299
348,0.996278
349,0.996294
350,0.996353
351,0.996316
352,0.996483
353,0.996343
354,0.996343
355,0.996316
356,0.996309
357,0.996130
358,0.996083
359,0.996048
360,0.996231
361,0.996279
362,0.996322
363,0.995623
364,0.995774
365,0.996459
366,0.996692
367,0.996682
368,0.996643
369,0.996648
370,0.996617
371,0.996594
372,0.996524
373,0.996487
374,0.996251
375,0.996224
376,0.995491
377,0.995336
378,0.995982
379,0.995996
380,0.996017
381,0.996019
382,0.996013
383,0.996229
384,0.996321
385,0.996944
386,0.996980
387,0.997031
388,0.996657
389,0.996622
390,0.996648
391,0.996645
392,0.996203
393,0.996152
394,0.996097
395,0.995366
396,0.994870
397,0.994600
398,0.994390
399,0.994438
400,0.994046
401,0.994067
402,0.993053
403,0.992871
404,0.990490
405,0.991257
406,0.990883
407,0.991026
408,0.990989
409,0.991042
410,0.991113
411,0.992056
412,0.992279
413,0.992932
414,0.993166
415,0.993355
416,0.994013
417,0.994156
418,0.997826
419,0.996935
420,0.996812
421,0.996802
422,0.996847
423,0.996750
424,0.996564
425,0.996419
426,0.995889
427,0.995349
428,0.994619
429,0.993944
430,0.994168
431,0.994007
432,0.993888
433,0.993717
434,0.993606
435,0.993507
436,0.994044
437,0.993439
438,0.993283
439,0.993249
440,0.993186
441,0.993120
442,0.993728
443,0.994263
444,0.994436
445,0.994633
446,0.994417
447,0.994468
448,0.993994
449,0.993800
450,0.993798
451,0.994445
452,0.994572
453,0.994593
454,0.994040
455,0.994111
456,0.994384
457,0.994984
458,0.995483
459,0.995917
460,0.996001
461,0.995984
462,0.996469
463,0.996441
464,0.995841
465,0.995639
466,0.995023
467,0.994513
468,0.994302
469,0.994193
470,0.993345
471,0.993240
472,0.993216
473,0.992574
474,0.992449
475,0.992405
476,0.992416
477,0.993037
478,0.992509
479,0.993028
480,0.992597
481,0.993037
482,0.993128
483,0.993160
484,0.993187
485,0.993834
486,0.993963
487,0.994447
488,0.994953
489,0.994778
490,0.994750
491,0.994739
492,0.994441
493,0.994353
494,0.994263
495,0.994223
496,0.993674
497,0.993578
498,0.993479
499,0.993406
average,0.992438
